time	rss	kernel
0	692224	229376
100531703	22749184	2756608
200558080	41369600	2850816
300561729	46268416	3063808
400558779	61665280	3616768
500523785	80048128	3690496
600514640	139350016	5222400
700509966	150880256	5898240
800559815	168579072	6635520
900545345	179310592	6701056
1000641815	189992960	6856704
1100572523	192782336	6934528
1200551015	208166912	7061504
1300517096	231702528	7180288
1400546148	239992832	7278592
1501102027	240758784	7282688
1600713305	241037312	7303168
1700522524	257273856	7557120
1800521003	269602816	7520256
1900514859	278986752	7630848
2000686065	281022464	7671808
2100702661	280854528	7671808
2200692965	280854528	7671808
2300691244	280854528	7671808
2400542036	281071616	7671808
2500697007	281116672	7671808
2600535262	284246016	7725056
2700702322	292524032	7741440
2800724226	292777984	7741440
2900698870	293040128	7741440
3000544428	293031936	7741440
3100536730	293687296	7827456
3200718340	293867520	7831552
3300695548	293818368	7831552
3400690811	293818368	7831552
3500800858	293818368	7831552
3600696299	294473728	7831552
3700799444	294563840	7831552
3800804066	294514688	7831552
3900799274	294457344	7831552
4000511715	304517120	7864320
4100524920	310398976	7876608
4200538508	330158080	7917568
4300525078	338837504	7933952
4400525788	362065920	7983104
4500545758	369229824	7995392
4600544076	379023360	8019968
4700553865	389517312	8052736
4800558866	404353024	8069120
4900544047	409239552	8077312
5000561961	411131904	8089600
5100564942	415326208	8097792
5200562353	422592512	8110080
5300562648	424955904	8114176
5400543793	426254336	8122368
5500577668	428072960	8130560
5600537126	439349248	8159232
5700560448	441225216	8167424
5800561699	449089536	8179712
5900527824	459567104	8212480
6000529005	465047552	8224768
6100542932	468541440	8237056
6200560449	469463040	8241152
6300562832	482848768	8290304
6400561066	481173504	8294400
6500555169	489086976	8306688
6600543028	492412928	8310784
6700554327	494379008	8318976
6800549445	498135040	8323072
6900559047	504410112	8327168
7000548036	477659136	8327168
7100562161	479195136	8327168
7200562113	480956416	8331264
7300562238	489078784	8335360
7400562272	496943104	8351744
7500566455	503951360	8364032
7600563385	506507264	8372224
7700537517	512790528	8376320
7800546540	515035136	8384512
7900525798	515588096	8384512
8000528400	515866624	8413184
8100542825	517619712	8417280
8200553299	518369280	8417280
8300533219	510406656	8433664
8400564205	507531264	8433664
8500527788	460779520	8425472
8600544835	458207232	8425472
8700563977	458678272	8425472
8800562589	459726848	8437760
8900562882	465936384	8437760
9000527697	470753280	8437760
9100555079	477675520	8441856
9200545034	470732800	8445952
9300577136	472612864	8445952
9400510036	474079232	8445952
9500507166	477130752	8450048
9600565383	477515776	8450048
9700544798	473575424	8450048
9800529318	474320896	8450048
9900545494	476811264	8450048
10000560676	479281152	8450048
10100561392	482381824	8450048
10200559797	485511168	8450048
10300551404	509386752	8454144
10400545598	510246912	8458240
10500548885	519213056	8458240
10600535240	519606272	8458240
10700549615	521224192	8458240
10800562384	525373440	8462336
10900553860	519303168	8466432
11000544865	486158336	8466432
11100561615	486682624	8466432
11200566443	487993344	8466432
11300555234	491638784	8466432
11400544267	493559808	8466432
11500565690	493977600	8466432
11600575674	496119808	8466432
11700817263	493883392	8482816
11800536369	494276608	8482816
11900569039	496029696	8482816
12000507965	497405952	8482816
12100541823	501473280	8486912
12200545935	503201792	8486912
12300552822	507514880	8486912
12400508789	500727808	8486912
12500541196	500908032	8486912
12600549113	500809728	8486912
12700551736	501858304	8486912
12800554855	502120448	8486912
12900558891	504610816	8486912
13000513176	504995840	8486912
13100541361	505389056	8486912
13200560889	505962496	8486912
13300577085	504020992	8503296
13400554239	504463360	8503296
13500564574	504680448	8503296
13600562235	504893440	8503296
13700556443	503877632	8503296
13800575680	496271360	8536064
13900539280	495906816	8536064
14000561943	496693248	8540160
14100545446	497135616	8540160
14200558912	497659904	8540160
14300583852	474943488	8540160
14400546719	476299264	8540160
14500560286	484548608	8560640
14600544010	482512896	8560640
