time	rss	kernel
0	589824	143360
100562988	30449664	3108864
200582743	43294720	3031040
300750372	48615424	3137536
400582178	62742528	3874816
500565098	84271104	4014080
600571668	104030208	5128192
700597164	155938816	5869568
800609662	260231168	7401472
900599397	183140352	6897664
1000599316	193110016	7032832
1100591475	202301440	7094272
1200600145	213422080	7299072
1300546100	224518144	7372800
1400547438	239853568	7540736
1500737526	253808640	7589888
1600737670	253136896	7589888
1700735628	253509632	7622656
1800650901	283643904	7884800
1900603968	287014912	7770112
2000548550	315006976	7999488
2100738767	291147776	7938048
2200740035	302907392	7979008
2300731543	302866432	7979008
2400732953	303198208	7979008
2500734780	303202304	7979008
2600731553	303210496	7979008
2700732867	303403008	7979008
2800731697	303300608	7979008
2900732081	303587328	7983104
3000731355	303738880	7983104
3100728899	304259072	7987200
3200578074	306249728	8052736
3300758463	306741248	8081408
3400735365	304996352	8081408
3500729342	304975872	8081408
3600727332	304975872	8081408
3700834818	304975872	8081408
3800734240	305401856	8085504
3900839541	305532928	8085504
4000581251	308305920	8290304
4100552571	318525440	8327168
4200569462	327852032	8343552
4300583205	350736384	8179712
4400599094	358207488	8392704
4500575212	379424768	8241152
4600598544	386342912	8257536
4700577984	396898304	8290304
4800576793	411287552	8323072
4900564117	421523456	8335360
5000615563	422060032	8544256
5100585875	428417024	8355840
5200632735	431005696	8359936
5300582478	434655232	8376320
5400587414	434978816	8380416
5500573868	436678656	8388608
5600554515	445345792	8536064
5700589156	449814528	8486912
5800600468	457965568	8429568
5900591232	467816448	8450048
6000581968	474247168	8466432
6100590182	474103808	8474624
6200572371	475439104	8482816
6300554650	495935488	8724480
6400571605	490819584	8540160
6500580080	502063104	8548352
6600588748	506294272	8556544
6700557326	500289536	8564736
6800595930	512458752	8572928
6900597924	524242944	8597504
7000596538	498253824	8601600
7100591623	472797184	8687616
7200600174	482004992	8699904
7300574528	485801984	8699904
7400573661	491507712	8699904
7500593333	498868224	8699904
7600594314	508739584	8699904
7700561887	514113536	8704000
7800582404	517689344	8708096
7900590330	520658944	8708096
8000548143	521211904	8802304
8100578436	504565760	8921088
8200591084	503443456	8921088
8300629846	465551360	9101312
8400618684	408375296	9093120
8500569094	410816512	9203712
8600579898	400314368	9261056
8700568339	395612160	9359360
8800601589	394612736	9367552
8900596615	403152896	9375744
9000598967	413818880	9416704
9100602565	422105088	9424896
9200603432	420163584	9584640
9300592727	411090944	9797632
9400552317	417914880	9809920
9500580715	423469056	9887744
9600573197	439885824	9728000
9700565189	453931008	9736192
9800591196	452587520	9740288
9900579562	432431104	9736192
10000561539	446554112	9830400
10100597315	463618048	9834496
10200594359	480362496	9846784
10300567941	477470720	9904128
10400546662	474411008	9920512
10500741517	470401024	9928704
10600549632	440709120	9920512
10700580988	449175552	9928704
10800602806	455610368	9928704
10900596852	456138752	9932800
11000596931	451141632	9981952
11100599279	444170240	9990144
11200568378	445493248	9998336
11300548725	441139200	9998336
11400576605	446140416	10002432
11500586245	454684672	10002432
11600581819	467755008	10002432
11700723223	453619712	10014720
11800728122	450375680	10014720
11900750383	448200704	10031104
12000601434	443936768	10043392
12100550619	448651264	10043392
12200549489	452067328	10043392
12300586431	451887104	10043392
12400591621	462495744	10043392
12500598539	463314944	10047488
12600590222	478601216	10199040
12700630639	481435648	10207232
12800603622	494559232	10108928
12900602878	499056640	10117120
13000634332	495489024	10133504
13100588383	501780480	10145792
13200562177	501805056	10149888
13300563255	509734912	10182656
13400557594	503328768	10227712
13500578219	501829632	10199040
13600593348	503693312	10199040
13700600326	504229888	10199040
13800550052	507740160	10211328
13900547173	502718464	10211328
14000598364	505356288	10215424
14100598474	501280768	10244096
14200582954	501297152	10264576
14300584647	501501952	10461184
14400549433	507465728	10264576
14500590579	517718016	10272768
14600576773	516878336	10285056
14700566709	521207808	10285056
14800575707	515919872	10293248
14900600647	533499904	10547200
15000603373	522358784	10371072
15100617442	516997120	10575872
15200560877	520699904	10379264
15300599243	525004800	10379264
15400589590	533741568	10383360
15500564261	533458944	10387456
15600580320	536702976	10391552
15700599928	543543296	10391552
15800548348	546418688	10407936
15900565142	551882752	10391552
16000596528	557887488	10399744
16100602332	564539392	10399744
16200600785	575066112	10399744
16300597429	578043904	10399744
16400563988	581033984	10403840
16500603531	584310784	10407936
16600584227	582324224	10407936
16700600864	588398592	10727424
16800583555	589139968	10559488
16900598039	584663040	10600448
17000548144	598220800	10719232
17100564785	596901888	10817536
17200574689	601075712	10850304
17300599851	602783744	10870784
17400571180	606134272	10960896
17500571737	621715456	11120640
