time	rss	kernel
0	720896	176128
8453443	2199552	630784
16397319	2097152	630784
24540938	2097152	630784
32328471	2097152	630784
40026238	2097152	630784
47901002	2097152	630784
55753848	2097152	630784
63621013	2097152	630784
71595005	2097152	630784
79527045	2097152	630784
87463006	2097152	630784
95095044	7077888	647168
103019571	14942208	655360
110890757	19791872	663552
118763084	24641536	675840
126603558	29360128	684032
134461622	34078720	692224
142372229	38797312	700416
150260002	43515904	712704
158133915	48234496	720896
166008922	52822016	729088
173884211	57409536	737280
181752299	61997056	745472
189595908	66453504	757760
197451512	71041024	765952
205362010	75497472	774144
213254899	79953920	782336
221127576	84410368	790528
228999385	88866816	798720
236878519	93323264	806912
244746881	97648640	815104
252588078	101974016	823296
260451305	106299392	835584
268353672	110624768	843776
276245133	115081216	851968
284117791	119406592	860160
291991984	122683392	864256
299864386	126222336	872448
307739769	130547712	880640
315579078	134742016	888832
323448699	139067392	897024
331336619	143130624	905216
339220866	147456000	913408
347109907	151519232	921600
354983064	155713536	929792
362859051	159776768	937984
370725763	163971072	946176
378572349	168034304	954368
386447424	172097536	962560
394337121	176160768	970752
402230540	180224000	978944
410105094	184287232	987136
417976201	188350464	995328
425850102	192413696	1003520
433716327	196345856	1007616
441563051	200278016	1015808
449448041	204210176	1024000
457329175	208273408	1032192
465202571	212205568	1040384
473082087	216137728	1048576
480968889	220069888	1056768
488840235	223870976	1064960
496712870	227672064	1069056
504555600	231604224	1077248
512451297	235405312	1085440
520320345	239337472	1093632
528211308	243138560	1101824
536086216	246939648	1105920
543959725	250871808	1114112
551837111	252313600	1122304
559705282	252313600	1122304
567553094	252313600	1122304
575456492	252313600	1122304
583317709	252313600	1122304
591208428	252313600	1122304
599100866	252313600	1122304
606948986	252313600	1122304
614836093	252313600	1122304
622699235	252313600	1122304
630545904	252313600	1122304
638474853	252313600	1122304
646316688	252313600	1122304
654199199	252313600	1122304
662073793	252313600	1122304
669949499	252313600	1122304
677821802	252313600	1122304
685690273	252313600	1122304
693535766	252313600	1122304
701464155	252313600	1122304
709303943	252313600	1122304
717192662	252313600	1122304
725066720	252313600	1122304
732939842	252313600	1122304
740818160	252313600	1122304
748682357	252313600	1122304
756529064	252313600	1122304
764458046	252313600	1122304
772299720	252313600	1122304
780185021	252313600	1122304
788057906	252313600	1122304
795932261	252313600	1122304
803806246	252313600	1122304
811673181	252313600	1122304
819840632	252313600	1122304
827452740	252313600	1122304
835287451	252313600	1122304
843176504	252313600	1122304
851049754	252313600	1122304
859210786	252313600	1122304
866798450	252313600	1122304
874667385	252313600	1122304
882511525	252313600	1122304
890441619	252313600	1122304
898286378	252313600	1122304
906168168	252313600	1122304
914329456	252313600	1122304
922209755	252313600	1122304
929790171	252313600	1122304
937656477	252313600	1122304
945666365	252313600	1122304
953415427	252313600	1122304
961285245	252313600	1122304
969159607	252313600	1122304
977032330	252313600	1122304
985192566	252313600	1122304
992780659	252313600	1122304
1000622074	252313600	1122304
1008451389	252313600	1122304
1016393237	252313600	1122304
1024284280	252313600	1122304
1032150341	252313600	1122304
1040025824	252313600	1122304
1047898374	252313600	1122304
1055774715	252313600	1122304
1063613880	252313600	1122304
1071450976	252313600	1122304
1079379273	252313600	1122304
1087272525	252313600	1122304
1095145227	252313600	1122304
1103016312	252313600	1122304
1110891697	252313600	1122304
1118767739	252313600	1122304
1126607856	252313600	1122304
1134452425	252313600	1122304
1142370884	252313600	1122304
1150246093	252313600	1122304
1158138734	252313600	1122304
1166014677	252313600	1122304
1173884319	252313600	1122304
1181756962	252313600	1122304
1189598697	252313600	1122304
1197463083	252313600	1122304
1205372496	252313600	1122304
1213264875	252313600	1122304
1221130325	255459328	1130496
1229000500	259653632	1138688
1236868916	263847936	1146880
1244747123	268042240	1155072
1252586986	272236544	1163264
1260448894	276561920	1171456
1268350184	280756224	1179648
1276242521	284950528	1187840
