time	rss	kernel
0	675840	143360
8441323	1941504	544768
16326069	1826816	544768
24383603	1826816	544768
32234142	1826816	544768
40071279	1826816	544768
47811222	1826816	544768
55680862	1826816	544768
63789375	1826816	544768
71625966	1826816	544768
79392959	1826816	544768
87358547	1826816	544768
95058873	6676480	565248
102952656	15065088	573440
110813233	20307968	581632
118659537	25550848	593920
126553562	30793728	602112
134444866	36036608	614400
142316893	41148416	622592
150188173	46391296	634880
158066351	51503104	643072
165936305	56614912	655360
173805200	61726720	663552
181651537	66707456	671744
189581918	71688192	684032
197416135	76800000	692224
205305524	81780736	704512
213180631	86761472	712704
221054584	91742208	720896
228931241	96722944	733184
236795518	101572608	741376
244632035	106422272	749568
252533460	111403008	761856
260426383	116252672	770048
268297834	121102336	778240
276172140	125952000	790528
284048030	130801664	798720
291923087	135651328	806912
299760070	140369920	815104
307586445	145219584	827392
315525123	150069248	835584
323417287	154787840	843776
331293115	159506432	856064
339164127	164225024	864256
347038326	168943616	872448
354912391	173662208	880640
362752419	178249728	888832
370585487	182837248	901120
378517735	187555840	909312
386409169	192274432	917504
394282600	196861952	925696
402158304	201449472	937984
410030071	206036992	946176
417906340	210624512	954368
425744913	215080960	962560
433588375	219668480	970752
441508749	224124928	978944
449399690	228712448	991232
457274937	233299968	999424
465148836	237756416	1007616
473021103	242212864	1015808
480896382	246669312	1024000
488735604	251125760	1032192
496597861	255451136	1040384
504506046	259907584	1048576
512390820	264364032	1056768
520265436	268820480	1069056
528139331	273145856	1077248
535997022	277602304	1085440
543889550	279699456	1093632
551730221	279699456	1093632
559597379	279699456	1093632
567496719	279699456	1093632
575384830	279699456	1093632
583258963	279699456	1093632
591132994	279699456	1093632
599007768	279699456	1093632
606879688	279699456	1093632
614720510	279699456	1093632
622621344	279699456	1093632
630484366	279699456	1093632
638375270	279699456	1093632
646251156	279699456	1093632
654123666	279699456	1093632
661997758	279699456	1093632
669866351	279699456	1093632
677713060	279699456	1093632
685586374	279699456	1093632
693477908	279699456	1093632
701369807	279699456	1093632
709239781	279699456	1093632
717097175	279699456	1093632
724987835	279699456	1093632
732857411	279699456	1093632
740704843	279699456	1093632
748626722	279699456	1093632
756468963	279699456	1093632
764363979	279699456	1093632
772233689	279699456	1093632
780106218	279699456	1093632
787983882	279699456	1093632
795851186	279699456	1093632
803697320	279699456	1093632
811586192	279699456	1093632
819459814	279699456	1093632
827352703	279699456	1093632
835231315	279699456	1093632
843100165	279699456	1093632
850977350	279699456	1093632
858842009	279699456	1093632
866689229	279699456	1093632
874589719	279699456	1093632
882454631	279699456	1093632
890345290	279699456	1093632
898206366	279699456	1093632
906100954	279699456	1093632
913968910	279699456	1093632
921846581	279699456	1093632
929682603	279699456	1093632
937608544	279699456	1093632
945448274	279699456	1093632
953339438	279699456	1093632
961195941	279699456	1093632
969085762	279699456	1093632
976955297	279699456	1093632
984827415	279699456	1093632
992655892	279699456	1093632
1000605898	279699456	1093632
1008442855	279699456	1093632
1016326811	279699456	1093632
1024210693	279830528	1093632
1032086128	279830528	1093632
1039958484	279830528	1093632
1047827823	279830528	1093632
1055665218	279830528	1093632
1063575563	279830528	1093632
1071421291	279830528	1093632
1079318352	279830528	1093632
1087207330	279830528	1093632
1095080581	279830528	1093632
1102957411	279830528	1093632
