time	rss	kernel
0	618496	180224
8540184	2547712	667648
16423487	2527232	667648
24284676	2527232	667648
32138567	2527232	667648
40093591	2527232	667648
48075077	2527232	667648
55794019	2527232	667648
63683153	2527232	667648
71729446	2527232	667648
79552472	2527232	667648
87245342	2527232	667648
95121785	11202560	684032
103017496	16445440	716800
110937979	21286912	733184
118772918	26243072	741376
126665998	31092736	753664
134535628	35909632	761856
142410834	40759296	770048
150287866	45461504	778240
158160153	50311168	790528
165998357	55029760	798720
173890486	59813888	806912
181790380	64401408	815104
189655301	68988928	823296
197528941	73674752	831488
205403490	78262272	843776
213278114	82980864	851968
221153102	87699456	860160
229028785	92286976	868352
236901404	96874496	876544
244775966	101462016	884736
252646588	105918464	892928
260521321	110374912	905216
268394237	114962432	913408
276269746	119418880	921600
284108872	123875328	929792
291952087	128331776	937984
299873756	132788224	950272
307764569	137179136	958464
315639229	141635584	966656
323514342	146092032	974848
331387113	150417408	983040
339279497	154873856	991232
347086832	159199232	999424
354961998	163524608	1007616
362868163	167981056	1015808
370756411	172175360	1028096
378628773	176500736	1032192
386505483	180826112	1044480
394377348	185020416	1048576
402252727	189476864	1060864
410093185	193540096	1064960
417956294	197865472	1073152
425858613	202059776	1081344
433748701	206254080	1089536
441623753	210448384	1097728
449497022	214642688	1105920
457369793	218836992	1114112
465244212	223031296	1122304
473085011	227225600	1130496
480952460	231288832	1138688
488850403	235483136	1146880
496742254	239677440	1155072
504613673	243740672	1163264
512488762	247803904	1171456
520362856	251998208	1179648
528230185	256061440	1187840
536077973	259993600	1196032
543953099	262598656	1249280
551845661	262762496	1249280
559734479	262762496	1249280
567612126	262762496	1249280
575482172	262893568	1249280
583356591	262893568	1249280
591224242	262893568	1249280
599071575	262893568	1249280
607107781	262893568	1249280
614857063	263024640	1249280
622728801	263024640	1249280
630603923	263024640	1261568
638473684	263024640	1261568
646347935	263024640	1261568
654215096	263024640	1261568
662062195	263024640	1261568
669954840	263024640	1261568
677826913	263024640	1261568
685718783	263024640	1261568
693590244	263024640	1261568
701464822	263024640	1261568
709341398	263024640	1261568
717210263	263024640	1261568
725055949	263024640	1261568
732968127	263155712	1261568
740821408	263155712	1261568
748709366	263155712	1261568
756584207	263155712	1261568
764457068	263155712	1261568
772332897	263155712	1261568
780199260	263155712	1261568
788044799	263155712	1261568
795958899	263155712	1261568
803819498	263155712	1261568
811700957	263155712	1261568
819577107	263155712	1261568
827449792	263155712	1261568
835325906	263155712	1261568
843193624	263155712	1261568
851038387	263155712	1261568
858948161	263155712	1261568
866819472	263155712	1261568
874694766	263155712	1261568
882567344	263155712	1261568
890443621	263155712	1261568
898317597	263155712	1261568
906183256	263155712	1261568
914030684	263155712	1261568
921959390	263155712	1261568
929796626	263155712	1261568
937686016	263155712	1261568
945560317	263155712	1261568
953432942	263155712	1261568
961307779	263155712	1261568
969177711	263155712	1261568
977021609	263155712	1261568
984948636	263155712	1261568
992789465	263155712	1261568
1000679848	263155712	1261568
1008551880	263155712	1261568
1016426187	263155712	1261568
1024301777	263155712	1261568
1032168533	263155712	1261568
1040052293	263155712	1261568
1047945071	263155712	1261568
1055780329	263155712	1261568
1063617535	263155712	1261568
1071542870	263155712	1261568
1079412591	263155712	1261568
1087276274	263155712	1261568
1095160601	263155712	1261568
1102950834	263155712	1261568
1110898526	263155712	1261568
1118791459	263155712	1261568
1126662295	263155712	1261568
1134535437	264859648	1265664
1142410237	269045760	1273856
1150285363	272961536	1282048
1158106183	276893696	1290240
1165952852	280924160	1298432
1173887367	284987392	1306624
1181777487	289050624	1314816
1189654311	293113856	1323008
1197528330	297177088	1331200
1205411822	300912640	1335296
1213290552	304713728	1343488
1221119796	308645888	1351680
1229097890	309432320	1351680
1237049242	309432320	1351680
1244902371	309432320	1351680
