time	rss	kernel
0	692224	176128
8426737	2678784	716800
16315826	2560000	716800
24358519	2560000	716800
32230098	2560000	716800
40076768	2560000	716800
47813786	2560000	716800
55658388	2560000	716800
63679931	2560000	716800
71629285	2560000	716800
79476746	2560000	716800
87322602	2560000	716800
95067863	10424320	729088
102939569	15667200	761856
110812494	20246528	770048
118652581	24817664	778240
126483403	29265920	786432
134418264	33722368	794624
142274271	38146048	802816
150165374	42717184	811008
158047565	47173632	819200
165911629	51499008	827392
173802395	55824384	835584
181641501	60215296	843776
189481130	64409600	851968
197409587	68734976	860160
205299847	72896512	868352
213174615	77090816	876544
221046037	81416192	888832
228919301	85610496	897024
236786820	89673728	905216
244633961	93736960	913408
252483724	97931264	921600
260399020	102256640	929792
268290923	106319872	937984
276162676	110514176	946176
284037743	114708480	954368
291911768	118771712	962560
299785078	122966016	970752
307625545	127029248	978944
315483714	131092480	987136
323389470	135155712	991232
331281245	139153408	999424
339155247	143216640	1007616
347029155	147279872	1015808
354869418	151212032	1024000
362768242	155275264	1032192
370618453	159207424	1040384
378484298	163139584	1048576
386382100	167071744	1052672
394274355	171134976	1060864
402150761	175067136	1069056
410027084	178999296	1077248
417895535	182931456	1085440
425763220	186863616	1093632
433608832	190664704	1097728
441482821	194465792	1105920
449374398	198397952	1114112
457265908	202199040	1122304
465137989	206131200	1130496
473013842	209932288	1134592
480886708	213602304	1142784
488757786	217403392	1150976
496601304	221204480	1163264
504483926	225005568	1167360
512371834	228413440	1175552
520270552	231952384	1183744
528136237	235622400	1187840
536004802	239292416	1196032
543880385	243093504	1204224
551746114	246763520	1212416
559594215	250433536	1216512
567487160	254103552	1224704
575378026	257773568	1232896
583232095	261443584	1241088
591126111	262656000	1245184
599003200	262590464	1245184
606874658	262721536	1245184
614743100	262721536	1245184
622588306	262721536	1245184
630489659	262852608	1245184
638370316	262852608	1245184
646244277	262852608	1245184
654118602	262852608	1245184
661993302	262852608	1245184
669833149	262852608	1245184
677716499	262983680	1245184
685581236	262983680	1249280
693488184	262893568	1249280
701348722	263024640	1249280
709237144	263024640	1249280
717111834	263024640	1249280
724985224	263024640	1249280
732860076	263024640	1249280
740726036	263024640	1249280
748572928	263024640	1249280
756499729	263024640	1249280
764339282	263024640	1249280
772230341	263024640	1249280
780102324	263024640	1249280
787979475	263188480	1249280
795853773	263073792	1249280
803718072	263073792	1249280
811564887	263073792	1249280
819501834	263073792	1249280
827329529	263073792	1249280
835221371	263073792	1249280
843095466	263073792	1249280
850935200	263073792	1249280
858844692	263073792	1249280
866710330	263073792	1249280
874556661	263073792	1249280
