time	rss	kernel
0	704512	229376
100562573	24698880	401408
200583478	45015040	438272
300587725	61923328	475136
400584330	76734464	503808
500582869	90759168	528384
600584374	106225664	561152
700589815	119595008	585728
800591034	135585792	618496
900589846	149086208	643072
1000590800	164552704	671744
1100588842	178970624	700416
1200585120	185524224	716800
1300573810	186179584	720896
1400572485	186966016	737280
1500552093	187752448	745472
1600568401	188145664	749568
1700553207	188801024	753664
1800522890	189325312	757760
1900521667	189849600	761856
2000568433	190373888	770048
2100569748	190898176	774144
2200571995	191553536	778240
2300574592	192077824	778240
2400571395	192602112	782336
2500571764	193126400	790528
2600570079	193650688	794624
2700552122	194174976	798720
2800591424	194699264	802816
2900552268	195223552	806912
3000553971	195747840	815104
3100568245	196272128	819200
3200569816	196796416	819200
3300569154	197320704	823296
3400571786	197844992	827392
3500571126	198369280	831488
3600570810	198893568	839680
3700554535	199417856	843776
3800570827	199942144	847872
3900570503	200597504	851968
4000572556	201121792	856064
4100571346	201646080	864256
4200571297	202170368	868352
4300892579	202694656	872448
4400566884	203218944	872448
4500573971	203743232	876544
4600572153	204267520	880640
4700573109	204791808	888832
4800575744	205316096	892928
4900573338	205840384	897024
5000574506	206364672	901120
5100572524	206888960	905216
5200574117	207413248	909312
5300572595	207937536	917504
5400573664	208461824	917504
5500572115	208855040	921600
5600574515	209379328	925696
5700567644	209903616	929792
5800541559	210427904	937984
5900574620	210952192	942080
6000585552	211476480	946176
6100575611	212000768	950272
6200575698	212525056	954368
6300575040	213049344	958464
6400578161	213573632	966656
6500578808	213966848	970752
6600570695	214228992	974848
6700551739	214753280	983040
6800540791	215277568	995328
6900572339	215539712	995328
7000568418	215801856	999424
7100570099	216064000	1003520
7200563022	216326144	1007616
7300568435	216457216	1011712
7400569654	216719360	1015808
7500551926	216981504	1019904
7600560170	217243648	1024000
7700561524	217505792	1028096
7800574144	217767936	1032192
7900572927	217899008	1032192
8000569960	218161152	1036288
8100570727	218423296	1040384
8200574448	218685440	1044480
8300555263	218947584	1052672
8400568945	219078656	1056768
8500561313	219340800	1060864
8600570374	219602944	1060864
8700570489	219865088	1064960
8800553578	220127232	1069056
8900570199	220389376	1073152
9000573627	220520448	1077248
9100571138	220782592	1081344
9200571503	221044736	1085440
9300919323	221306880	1089536
9400562628	221569024	1089536
9500573770	221831168	1093632
9600573828	221962240	1097728
9700557057	222224384	1101824
9800537690	222486528	1105920
9900572033	222748672	1110016
10000573973	223010816	1114112
10100572015	223272960	1118208
10200571756	223535104	1122304
10300573217	223797248	1126400
10400573894	223928320	1130496
10500573980	224190464	1134592
10600570970	224452608	1138688
10700574400	224714752	1142784
10800573949	224976896	1146880
10900574526	225239040	1150976
11000572459	225370112	1155072
11100566667	225632256	1159168
11200560644	225894400	1163264
11300578726	226156544	1167360
11400573516	226418688	1171456
11500574295	226680832	1171456
11600578371	226942976	1175552
11700540573	227205120	1179648
11800542997	227467264	1183744
11900577420	227598336	1187840
12000571756	227991552	1191936
12100569526	228384768	1204224
12200551702	228909056	1212416
12300568474	229171200	1216512
12400534496	229433344	1220608
12500569500	229695488	1224704
12600552228	229957632	1232896
12700571641	230219776	1236992
12800571950	230350848	1236992
12900567895	230612992	1241088
13000552712	230875136	1245184
13100570171	231137280	1249280
13200569081	231399424	1253376
13300569510	231661568	1257472
13400555129	231792640	1261568
13500570911	232054784	1261568
13600568941	232316928	1265664
13700558128	232579072	1269760
13800519707	232710144	1273856
13900574083	232972288	1277952
14000569697	233234432	1282048
14100569992	233496576	1286144
14200572211	233758720	1286144
14300920143	233889792	1290240
14400559705	234151936	1294336
14500574141	234414080	1298432
14600574891	234676224	1302528
14700573901	234938368	1306624
14800572670	235200512	1314816
14900572369	235331584	1318912
15000555139	235593728	1318912
15100571267	235855872	1323008
15200559217	236118016	1327104
15300559089	236380160	1331200
15400554624	236642304	1335296
15500572744	236773376	1339392
15600571721	237035520	1343488
15700555438	237297664	1347584
15800554088	237559808	1351680
15900572364	237821952	1355776
16000557341	238084096	1355776
16100575401	238215168	1359872
16200559001	238477312	1363968
16300573769	238739456	1368064
16400573955	239001600	1372160
16500566138	239263744	1376256
16600573324	239525888	1380352
16700577430	239788032	1384448
16800544488	239919104	1388544
16900578540	240181248	1388544
17000557025	240443392	1396736
17100575064	240705536	1400832
17200575197	240967680	1404928
17300575151	241229824	1409024
17400572176	241491968	1413120
17500571647	241754112	1417216
17600552409	242278400	1429504
17700540258	242671616	1437696
17800571992	242933760	1441792
17900553296	243195904	1445888
18000552379	243458048	1449984
18100572912	243720192	1449984
18200555226	243982336	1454080
18300570539	244113408	1458176
18400551555	244375552	1462272
18500569758	244637696	1466368
18600568846	244899840	1470464
18700551699	245161984	1474560
18800537645	245293056	1474560
18900553714	245555200	1478656
19000560143	245817344	1482752
19100555816	246079488	1486848
19200552545	246210560	1495040
19300873032	246472704	1495040
19400566701	246603776	1499136
19500556066	246865920	1503232
19600552339	247128064	1507328
19700556244	247259136	1511424
19800559368	247521280	1511424
19900556043	247783424	1515520
20000553769	247914496	1519616
20100558146	248176640	1523712
20200518770	248438784	1527808
20300554621	248700928	1531904
20400556181	248963072	1536000
20500561000	249094144	1536000
20600553500	249356288	1540096
20700559422	249618432	1544192
20800554152	249880576	1548288
20900557993	250011648	1552384
21000563925	250273792	1556480
21100554714	250535936	1556480
21200555516	250798080	1560576
21300557991	251060224	1564672
21400556368	251191296	1568768
21500555232	251453440	1576960
21600559027	251715584	1581056
21700559665	251846656	1581056
21800524649	252108800	1585152
21900562354	252370944	1589248
22000557103	252502016	1593344
22100558147	252764160	1597440
22200557099	253026304	1601536
22300559338	253288448	1605632
22400559418	253550592	1605632
22500559179	253681664	1609728
22600560122	253943808	1613824
22700559587	254205952	1617920
22800561841	254468096	1622016
22900557778	254599168	1626112
23000559249	254861312	1626112
23100558247	255123456	1630208
23200557260	255385600	1634304
23300551978	255778816	1642496
23400551620	256303104	1654784
23500552606	256565248	1658880
23600553152	256827392	1662976
23700555728	257089536	1667072
23800551487	257220608	1675264
23900555758	257482752	1675264
24000555599	257744896	1679360
24100552300	258007040	1683456
24200553472	258138112	1687552
24300504841	258400256	1691648
24400559199	258531328	1691648
24500557476	258793472	1695744
