time	rss	kernel
0	765952	151552
100549058	9953280	307200
200576997	16257024	319488
300581296	22155264	331776
400580836	27398144	339968
500581592	32116736	352256
600580920	36573184	360448
700581866	40636416	368640
800583154	44699648	376832
900581813	48496640	380928
1000581613	52002816	389120
1100585085	55332864	397312
1200585105	58490880	401408
1300581683	61689856	409600
1400584736	64499712	413696
1500586026	67096576	417792
1600581907	69795840	421888
1700583145	71991296	425984
1800584157	73920512	430080
1900583732	76181504	434176
2000582559	78041088	438272
2100583841	79896576	442368
2200592022	81825792	446464
2300584615	83775488	450560
2400585214	85442560	454656
2500584922	87040000	458752
2600583548	88473600	458752
2700587742	89948160	462848
2800587277	91389952	466944
2900583369	93167616	471040
3000585513	94875648	471040
3100587965	95809536	475136
3200584950	97259520	479232
3300585122	98959360	479232
3400586460	99807232	483328
3500584824	101015552	483328
3600585635	102461440	487424
3700586504	103583744	491520
3800586242	104681472	491520
3900588079	105680896	495616
4000585290	107270144	495616
4100585107	108482560	499712
4200587903	109367296	499712
4300581849	110264320	503808
4400586360	111570944	503808
4500588098	112959488	507904
4600585544	113668096	507904
4700595129	115179520	512000
4800581506	115986432	512000
4900585923	117080064	516096
5000596577	118157312	516096
5100585569	118759424	520192
5200586177	120258560	520192
5300585417	120516608	524288
5400585195	121688064	524288
5500583569	122511360	528384
5600584290	123383808	528384
5700586167	124719104	532480
5800584470	128569344	536576
5900577212	131584000	544768
6000577199	133419008	548864
6100559644	134860800	548864
6200587488	136171520	552960
6300582072	137351168	557056
6400579486	138399744	557056
6500580573	139579392	561152
6600581309	140627968	561152
6700583016	141545472	565248
6800581852	142462976	565248
6900581881	143249408	565248
7000582245	144035840	569344
7100586990	144822272	569344
7200582948	145477632	569344
7300581510	146132992	573440
7400585117	146657280	573440
7500585166	147312640	573440
7600586972	147968000	577536
7700582989	148492288	577536
7800583965	149147648	577536
7900581735	149671936	577536
8000579262	150327296	581632
8100581092	150851584	581632
8200579823	151375872	581632
8300579606	151900160	585728
8400584939	152424448	585728
8500576085	152817664	585728
8600586329	153341952	585728
8700584770	153735168	585728
8800571247	154259456	589824
8900563320	154783744	589824
9000583041	155308032	589824
9100550116	155570176	589824
9200540259	156225536	593920
9300539728	156487680	593920
9400539852	157011968	593920
9500542329	157274112	593920
9600539516	157798400	593920
9700542945	158322688	598016
9800526371	158453760	598016
9900538802	158978048	598016
10000541246	159371264	598016
10100542472	159764480	598016
10200538687	160288768	598016
10300536125	160681984	602112
10400540598	160944128	602112
10500541129	161337344	602112
10600541204	161730560	602112
10700537323	162123776	602112
10800539700	162385920	602112
10900539202	162779136	606208
11000541051	163041280	606208
11100540666	163434496	606208
11200536929	163696640	606208
11300538880	164089856	606208
11400541411	164483072	606208
11500540594	164745216	610304
11600541001	165138432	610304
11700540630	165400576	610304
11800533631	165793792	610304
11900540708	166055936	610304
12000540095	166318080	610304
12100539476	166711296	614400
12200538438	166973440	614400
12300540284	167497728	614400
12400540337	167759872	614400
12500539125	168022016	614400
12600533307	168415232	614400
12700541252	168677376	618496
12800536990	169070592	618496
12900539234	169463808	618496
13000543990	169725952	618496
13100541750	169857024	618496
13200539120	170250240	618496
13300539195	170643456	618496
13400542183	170905600	622592
13500539408	171167744	622592
13600539501	171429888	622592
13700541781	171692032	622592
13800541017	172085248	622592
13900541305	172478464	622592
14000541268	172740608	622592
14100541683	173133824	626688
14200539156	173395968	626688
14300538747	173527040	626688
14400538645	174051328	626688
14500536245	174182400	626688
14600558785	174575616	626688
14700539983	174837760	626688
14800540307	174968832	630784
14900541386	175362048	630784
15000540907	175624192	630784
15100542208	175886336	630784
15200541990	176148480	630784
15300539019	176410624	630784
15400542213	176672768	630784
15500539451	177065984	630784
15600538587	177065984	634880
15700542017	177328128	634880
15800532994	177721344	634880
15900539805	178114560	634880
16000539026	178376704	634880
16100539124	178638848	634880
16200539455	178769920	634880
16300538752	178900992	634880
16400539325	179294208	638976
16500537552	179556352	638976
16600540108	179818496	638976
16700539471	180080640	638976
16800536131	180211712	638976
16900538470	180342784	638976
17000538811	180736000	638976
17100542396	180998144	638976
17200540024	181129216	638976
17300540489	181522432	643072
17400538165	181915648	643072
17500540204	182046720	643072
17600540087	182308864	643072
17700540793	182439936	643072
17800537869	182702080	643072
17900538424	182964224	643072
18000539430	184799232	647168
18100538448	188338176	655360
18200538225	190828544	659456
18300540738	192925696	663552
18400534594	194629632	667648
18500535937	196333568	671744
18600538467	197775360	671744
18700531162	199086080	675840
18800538990	200396800	679936
18900539152	201707520	679936
19000540518	202887168	684032
19100540653	203804672	684032
19200543512	204853248	688128
19300540511	205770752	688128
19400538123	206557184	692224
19500539280	207474688	692224
19600540997	208130048	692224
19700541999	208916480	696320
19800534675	209702912	696320
19900558470	210358272	696320
20000532023	211013632	700416
20100537968	211668992	700416
20200539222	212193280	700416
20300542872	212848640	704512
20400539661	213504000	704512
20500537260	214159360	704512
20600538525	214683648	704512
20700539843	215339008	708608
20800539371	215863296	708608
20900538674	216387584	708608
21000538967	217042944	712704
21100534461	217436160	712704
21200541477	217960448	712704
21300527109	218484736	712704
21400539069	218877952	712704
21500540261	219402240	716800
21600538416	219926528	716800
21700542688	220319744	716800
21800540432	220844032	716800
21900542247	221237248	720896
22000557192	221761536	720896
22100542708	222154752	720896
22200541031	222547968	720896
22300541906	222941184	720896
22400538754	223465472	724992
22500541318	223858688	724992
22600540035	224251904	724992
22700542765	224645120	724992
22800540202	225169408	724992
22900541570	225431552	729088
23000558747	225955840	729088
23100539442	226349056	729088
23200538623	226611200	729088
23300539379	227004416	729088
23400541175	227397632	729088
23500540225	227659776	733184
23600541694	228184064	733184
23700540086	228446208	733184
23800540115	228839424	733184
23900538554	229232640	733184
24000560228	229625856	737280
24100543400	229888000	737280
24200541694	230281216	737280
24300540522	230543360	737280
24400540568	230936576	737280
24500541388	231460864	737280
24600538208	231723008	741376
24700542615	232116224	741376
24800537535	232509440	741376
24900539482	232771584	741376
25000558437	233164800	741376
25100540361	233558016	741376
25200539625	233820160	741376
25300534121	234213376	745472
25400533084	234606592	745472
25500575654	234868736	745472
25600584723	235261952	745472
25700588481	235524096	745472
25800582442	235786240	745472
25900575652	236048384	745472
26000566292	236441600	749568
26100596166	236834816	749568
26200585166	237096960	749568
26300599544	237490176	749568
26400592086	237752320	749568
26500583853	238014464	749568
26600583683	238276608	753664
26700585990	238669824	753664
26800584627	238931968	753664
26900550446	239194112	753664
27000583335	239587328	753664
27100584434	239849472	753664
27200583601	240242688	753664
27300583960	240373760	757760
27400582071	240766976	757760
27500585253	241160192	757760
27600580882	241422336	757760
27700585926	241684480	757760
27800584620	242077696	757760
27900546277	242339840	757760
28000579822	242601984	761856
28100585340	242864128	761856
28200583649	243126272	761856
28300584921	243519488	761856
28400587117	243781632	761856
28500582922	244043776	761856
28600584176	244305920	761856
28700583380	244699136	765952
28800583574	244830208	765952
28900544213	245223424	765952
29000580567	245616640	765952
29100593374	245878784	765952
29200583028	246009856	765952
29300582973	246403072	765952
29400591198	246796288	770048
29500591149	247058432	770048
29600579403	247189504	770048
29700592342	247582720	770048
29800585620	247730176	770048
29900587128	247861248	770048
30000592316	248254464	770048
30100586493	248516608	770048
30200585231	248909824	774144
30300567098	249040896	774144
30400578251	249303040	774144
30500565771	249565184	774144
30600585000	249827328	774144
30700570100	249958400	774144
30800572320	250220544	774144
30900583347	250613760	774144
31000580455	250875904	778240
31100583143	251138048	778240
31200597774	251531264	778240
31300584685	251531264	778240
31400575544	251924480	778240
31500562410	252317696	778240
