time	rss	kernel
0	929792	196608
100597923	10059776	344064
200626230	16482304	356352
300633460	22511616	368640
400627742	27623424	376832
500627616	32473088	385024
600630794	36929536	397312
700630078	40861696	401408
800653056	44924928	409600
900621448	48852992	417792
1000632498	52359168	425984
1100636169	55689216	430080
1200633945	58679296	438272
1300629104	61784064	442368
1400629755	64593920	450560
1500634020	67190784	454656
1600632935	69885952	458752
1700633991	72212480	462848
1800636376	74145792	466944
1900617556	76275712	471040
2000619539	78397440	475136
2100634594	79990784	479232
2200634157	82055168	483328
2300638602	83873792	487424
2400635538	85540864	491520
2500640604	87142400	491520
2600615913	88834048	495616
2700635470	90054656	499712
2800634576	91496448	499712
2900636755	93016064	503808
3000635706	94724096	507904
3100639001	95784960	512000
3200636302	97603584	512000
3300638528	98549760	516096
3400637206	100044800	520192
3500636788	100982784	520192
3600633251	102182912	524288
3700636035	103575552	524288
3800638599	104538112	528384
3900650591	105926656	528384
4000635312	107114496	532480
4100636632	108490752	536576
4200635487	109268992	536576
4300636954	110497792	540672
4400644524	111726592	540672
4500634557	112992256	544768
4600637291	113586176	544768
4700636472	115093504	548864
4800637135	116170752	548864
4900642673	116752384	552960
5000629133	117846016	552960
5100635163	118706176	552960
5200634414	119844864	557056
5300637246	120549376	557056
5400632811	121823232	561152
5500636046	122736640	561152
5600638121	123543552	565248
5700634924	124604416	565248
5800624811	127098880	569344
5900626910	131031040	577536
6000630638	132997120	581632
6100629197	134701056	585728
6200629298	135880704	589824
6300632583	137060352	589824
6400627238	138240000	593920
6500630916	139288576	593920
6600633182	140337152	598016
6700636774	141385728	598016
6800632759	142172160	602112
6900632650	142958592	602112
7000632115	143745024	602112
7100632224	144531456	606208
7200631042	145317888	606208
7300630758	145973248	606208
7400634075	146628608	610304
7500634789	147021824	610304
7600633436	147808256	610304
7700633889	148332544	614400
7800641231	148987904	614400
7900633532	149512192	614400
8000632900	150036480	614400
8100634099	150822912	618496
8200638547	151216128	618496
8300636624	151740416	618496
8400625210	152264704	618496
8500632886	152657920	622592
8600616940	153182208	622592
8700635730	153706496	622592
8800633724	153968640	622592
8900635909	154492928	626688
9000635278	155017216	626688
9100635345	155541504	626688
9200632966	155803648	626688
9300627243	156327936	626688
9400632376	156852224	630784
9500633245	157245440	630784
9600632092	157638656	630784
9700637265	158162944	630784
9800636556	158425088	630784
9900635473	158818304	634880
10000635326	159211520	634880
10100639731	159604736	634880
10200636884	159997952	634880
10300628571	160522240	634880
10400630785	160784384	634880
10500617711	161046528	638976
10600635279	161570816	638976
10700633529	161832960	638976
10800632839	162226176	638976
10900636389	162619392	638976
11000633526	162881536	638976
11100652641	163274752	643072
11200636316	163667968	643072
11300634418	163930112	643072
11400629352	164323328	643072
11500634551	164585472	643072
11600637697	164847616	643072
11700635830	165502976	647168
11800636261	165634048	647168
11900634447	165896192	647168
12000633215	166289408	647168
12100631825	166551552	647168
12200634028	166944768	647168
12300639184	167206912	651264
12400616078	167469056	651264
12500631447	167862272	651264
12600634935	168124416	651264
12700633541	168517632	651264
12800650836	168910848	651264
12900632514	169304064	655360
13000635212	169566208	655360
13100638391	169828352	655360
13200633979	170090496	655360
13300626269	170614784	655360
13400624532	170745856	655360
13500629290	171008000	655360
13600630904	171270144	659456
13700631070	171663360	659456
13800634965	171925504	659456
13900636096	172187648	659456
14000633329	172580864	659456
14100638325	172843008	659456
14200631750	173367296	659456
14300633393	173629440	663552
14400646625	173891584	663552
14500634373	174284800	663552
14600636700	174546944	663552
14700616769	174678016	663552
14800618063	174940160	663552
14900641006	175071232	663552
15000617494	175464448	663552
