time	rss	kernel
0	831488	192512
100606295	33734656	372736
200664642	40419328	385024
300616210	45092864	393216
400620083	48500736	401408
500620513	50728960	405504
600620535	53219328	409600
700617682	55185408	413696
800625623	57675776	417792
900615680	59510784	421888
1000629644	61083648	425984
1100633148	63180800	430080
1200620907	64229376	430080
1300617376	66064384	434176
1400621675	67506176	438272
1500616662	69210112	442368
1600623152	70258688	442368
1700624039	71962624	446464
1800615530	72880128	450560
1900621026	73797632	450560
2000621237	74584064	450560
2100625577	76419072	454656
2200612372	77336576	458752
2300625907	78123008	458752
2400617879	79302656	462848
2500610153	80613376	462848
2600610130	81399808	466944
2700613054	84807680	471040
2800617617	84807680	471040
2900618569	86380544	475136
3000621238	87298048	475136
3100625108	88608768	479232
3200624188	89526272	479232
3300613156	90574848	483328
3400622207	90836992	483328
3500625236	91623424	483328
3600618366	98439168	499712
3700629645	102690816	507904
3800625495	102690816	507904
3900626800	102690816	507904
4000624703	102690816	507904
4100637541	110555136	520192
4200637662	113831936	528384
4300638575	170455040	643072
4400648173	292483072	884736
4500632043	299560960	892928
4600619455	299560960	892928
4700633771	299560960	892928
4800621117	360509440	1019904
4900630583	648605696	1581056
5000632807	879292416	2023424
5100637722	879292416	2023424
5200612431	879292416	2023424
5300621086	879292416	2023424
5400621946	879292416	2023424
5500617380	879292416	2023424
5600612979	881782784	2027520
5700614641	882700288	2027520
5800613098	884142080	2031616
5900609834	885452800	2035712
6000606002	886894592	2035712
6100622409	236818432	778240
6200621452	294490112	888832
6300614900	364482560	1024000
6400620436	375230464	1044480
6500606609	377327616	1048576
6600612018	378245120	1052672
6700612478	382570496	1060864
6800610804	383881216	1060864
6900614625	385323008	1064960
7000615130	386764800	1069056
7100620396	388206592	1073152
7200610214	389517312	1073152
7300624170	408653824	1110016
7400617005	376115200	1048576
7500610562	376115200	1048576
7600607350	376115200	1048576
7700609570	376246272	1048576
7800611343	377294848	1048576
7900615005	377819136	1052672
8000613152	378343424	1052672
8100615889	382668800	1060864
8200610741	382668800	1060864
8300619425	375971840	1048576
8400614311	375971840	1048576
8500616012	378986496	1048576
8600611219	378986496	1048576
8700613659	378986496	1048576
8800608412	378986496	1048576
8900604568	378986496	1048576
9000606485	378986496	1048576
9100604848	378986496	1048576
9200602821	378986496	1048576
9300602725	378986496	1048576
9400605675	378986496	1048576
9500604900	378986496	1048576
9600605572	378986496	1048576
9700609587	378986496	1048576
9800628250	378986496	1048576
9900622329	378986496	1048576
10000630605	378986496	1048576
10100630936	378986496	1048576
10200643998	378986496	1048576
10300642950	378986496	1048576
10400644556	378986496	1048576
10500628889	378986496	1048576
10600619351	378986496	1048576
10700620430	378986496	1048576
10800615349	378986496	1048576
10900629092	378986496	1048576
11000609423	378986496	1048576
11100604475	378986496	1048576
11200614557	378986496	1048576
11300612293	378986496	1048576
11400613640	378986496	1048576
11500609634	378986496	1048576
11600611257	378986496	1048576
11700613613	378986496	1048576
11800607048	378986496	1048576
11900604417	378986496	1048576
12000605189	378986496	1048576
12100606464	378986496	1048576
12200604574	378986496	1048576
12300609808	378986496	1048576
12400607406	378986496	1048576
12500608286	378986496	1048576
12600621785	378986496	1048576
12700629839	378986496	1048576
12800625397	378986496	1048576
12900627855	378986496	1048576
13000649751	378986496	1048576
13100650135	378986496	1048576
13200640756	378986496	1048576
13300644750	378986496	1048576
13400629852	378986496	1048576
13500639378	378986496	1048576
13600644309	378986496	1048576
13700640452	378986496	1048576
13800644013	378986496	1048576
13900618097	379117568	1048576
14000616757	379117568	1048576
14100621778	379117568	1048576
14200617682	379117568	1048576
14300621214	379117568	1048576
14400624030	379117568	1048576
14500608789	379117568	1048576
14600607666	379117568	1048576
14700609118	379117568	1048576
14800607387	379117568	1048576
14900605783	379117568	1048576
15000604417	379117568	1048576
15100612617	379117568	1048576
15200606931	379117568	1048576
15300617433	547938304	1376256
15400623109	379080704	1048576
15500623970	379211776	1048576
15600610006	381702144	1052672
15700605289	383930368	1056768
15800604896	386158592	1060864
15900605147	388386816	1064960
16000601135	390615040	1069056
16100618322	392187904	1073152
16200618433	395857920	1081344
16300614213	395857920	1081344
16400636243	395857920	1081344
16500619634	395857920	1081344
16600620879	395857920	1081344
16700644028	395857920	1081344
16800627327	395857920	1081344
16900634681	395857920	1081344
17000641086	405557248	1101824
17100635534	395960320	1081344
17200622475	395960320	1081344
17300645935	395960320	1081344
17400638852	395960320	1081344
17500631401	395960320	1081344
17600650190	395960320	1081344
17700649759	395960320	1081344
17800648544	395960320	1081344
17900652630	395960320	1081344
18000648406	395960320	1081344
18100651437	395960320	1081344
18200646566	395960320	1081344
18300639853	395960320	1081344
18400649436	395960320	1081344
18500647032	395960320	1081344
18600647293	395960320	1081344
18700652474	395960320	1081344
18800650409	395960320	1081344
18900652523	395960320	1081344
19000649230	395960320	1081344
19100647674	395960320	1081344
19200601272	395960320	1081344
19300594178	395960320	1081344
19400594781	395960320	1081344
19500590696	395960320	1081344
19600590675	395960320	1081344
19700585118	395960320	1081344
19800594819	395960320	1081344
19900594590	395960320	1081344
20000594461	395960320	1081344
20100592320	395960320	1081344
20200594340	395960320	1081344
20300596335	395960320	1081344
20400595650	395960320	1081344
20500591589	395960320	1081344
20600592926	395960320	1081344
20700590088	395960320	1081344
20800591228	395960320	1081344
20900594219	395960320	1081344
21000590724	395960320	1081344
21100590487	395960320	1081344
21200593645	395960320	1081344
21300592327	395960320	1081344
21400586817	395960320	1081344
21500586151	395960320	1081344
21600593775	395960320	1081344
21700591807	395960320	1081344
21800590565	395960320	1081344
21900594289	395960320	1081344
22000595799	395960320	1081344
22100593543	395960320	1081344
22200593587	395960320	1081344
22300592674	395960320	1081344
22400588425	395960320	1081344
22500593737	395960320	1081344
22600592867	395960320	1081344
22700594951	395960320	1081344
22800594616	395960320	1081344
22900595389	395960320	1081344
23000593520	395960320	1081344
23100595582	395960320	1081344
23200593041	395960320	1081344
23300593363	395960320	1081344
23400593095	395960320	1081344
23500593689	395960320	1081344
23600585205	395960320	1081344
23700594349	395960320	1081344
23800593944	395960320	1081344
23900596381	395960320	1081344
24000587593	395960320	1081344
24100590675	395960320	1081344
24200581970	396353536	1085440
24300588829	404742144	1097728
24400590894	408674304	1118208
24500587098	486400000	1253376
24600594639	526901248	1335296
24700584336	531095552	1343488
24800586096	531226624	1343488
24900580977	531619840	1347584
25000583414	531881984	1347584
25100589776	452464640	1191936
25200579648	453120000	1191936
25300574787	453120000	1191936
25400570437	453120000	1191936
25500570877	453120000	1191936
25600567762	453120000	1191936
25700567418	453120000	1191936
25800566778	453120000	1191936
25900567070	453120000	1191936
26000568551	453120000	1191936
26100567010	453120000	1191936
26200566502	453120000	1191936
26300574915	453120000	1191936
26400573179	453120000	1191936
26500569497	453382144	1191936
26600571344	453382144	1191936
26700569935	453382144	1191936
26800567772	453382144	1191936
26900568393	453382144	1191936
27000569011	453382144	1191936
27100569382	453382144	1191936
27200568830	453382144	1191936
27300570452	453382144	1191936
27400570042	453382144	1191936
27500568087	453382144	1191936
27600569655	453382144	1191936
27700569935	453382144	1191936
27800569470	453382144	1191936
27900569033	453382144	1191936
28000569456	453382144	1191936
28100569421	453382144	1191936
28200573200	453382144	1191936
28300573378	453382144	1191936
28400567316	453382144	1191936
28500568637	453382144	1191936
28600567951	453382144	1191936
28700567378	453382144	1191936
28800567911	453382144	1191936
28900566417	453382144	1191936
29000568571	453382144	1191936
29100567725	453382144	1191936
29200567163	453382144	1191936
29300568292	453382144	1191936
29400569893	453382144	1191936
29500567383	453382144	1191936
29600567335	453382144	1191936
29700568570	453382144	1191936
29800569940	453382144	1191936
29900568274	453382144	1191936
30000569662	453382144	1191936
30100570013	453382144	1191936
30200568596	453382144	1191936
30300569568	453382144	1191936
30400569729	453382144	1191936
30500569093	453382144	1191936
30600568091	453382144	1191936
30700567561	453382144	1191936
30800568559	453382144	1191936
30900568702	453382144	1191936
31000570020	453382144	1191936
31100586647	453382144	1191936
31200580018	453382144	1191936
31300583476	453382144	1191936
31400590162	453382144	1191936
31500582063	453382144	1191936
31600574344	453382144	1191936
31700569878	453382144	1191936
31800568761	453382144	1191936
31900583997	453382144	1191936
32000585505	453382144	1191936
32100583420	453382144	1191936
32200583352	466751488	1220608
32300584316	466706432	1220608
32400583760	466706432	1220608
32500579994	466706432	1220608
32600590273	467230720	1224704
32700588670	467230720	1224704
32800592391	468672512	1261568
32900592934	469065728	1273856
33000593489	469065728	1273856
33100593053	469065728	1273856
33200585025	469065728	1273856
