time	rss	kernel
0	700416	229376
100520605	12873728	376832
200528968	12607488	376832
300531254	13393920	380928
400536356	16670720	389120
500533070	17362944	393216
600530271	18989056	393216
700569105	18989056	397312
800526987	19120128	397312
900533646	19120128	397312
1000525681	19120128	397312
1100537799	19251200	401408
1200527868	20692992	405504
1300526992	24363008	413696
1400528694	24363008	417792
1500529633	26066944	417792
1600528463	29081600	425984
1700528816	30654464	430080
1800532902	31440896	430080
1900530178	32018432	434176
2000533368	32673792	434176
2100528615	33853440	442368
2200528270	36474880	450560
2300530745	36474880	450560
2400527524	36605952	450560
2500540147	36605952	450560
2600526517	40013824	462848
2700529432	41324544	462848
2800528336	41586688	466944
2900531073	43552768	466944
3000528530	43683840	471040
3100549794	44339200	475136
3200535282	44339200	475136
3300532390	44339200	475136
3400548318	44470272	475136
3500533369	44732416	479232
3600529658	46698496	483328
3700535411	48926720	491520
3800536176	53628928	499712
3900548758	57847808	507904
4000532686	59813888	512000
4100532340	64663552	520192
4200543837	64925696	520192
4300548741	65056768	524288
4400561400	67305472	528384
4500543498	65122304	524288
4600535215	66109440	528384
4700554509	66109440	528384
4800532945	67551232	532480
4900537419	75808768	548864
5000525589	76333056	548864
5100524614	76333056	548864
5200540474	78036992	552960
5300532450	78430208	557056
5400553253	78430208	561152
5500580908	78430208	561152
5600736689	78561280	561152
5700531590	78561280	561152
5800533252	78692352	565248
5900569111	78692352	565248
6000534193	78692352	565248
6100531220	78692352	565248
6200528254	78823424	569344
6300531560	78823424	569344
6400548849	78823424	569344
6500552383	78954496	569344
6600530291	78954496	573440
6700529033	78954496	573440
6800539809	79085568	573440
6900525990	79085568	573440
7000525339	79347712	577536
7100531778	80527360	577536
7200562496	80527360	577536
7300537224	82100224	585728
7400532743	82231296	585728
7500547348	82231296	585728
7600555751	85245952	589824
7700532121	85901312	598016
7800544361	86032384	598016
7900537234	87736320	602112
8000523490	88522752	602112
8100545830	88653824	606208
8200534632	90357760	610304
8300530184	90357760	610304
8400541733	90750976	610304
8500542405	91930624	614400
8600540269	94027776	618496
8700548535	94289920	618496
8800544996	94814208	626688
8900538708	96518144	630784
9000490037	96780288	630784
9100546891	97042432	630784
9200546883	99532800	638976
9300531082	100188160	638976
9400546437	100450304	638976
