time	rss	kernel
0	724992	192512
100541463	13389824	344064
200553996	33419264	380928
300565324	69201920	454656
400562467	60633088	434176
500557123	65351680	446464
600560825	66269184	446464
700555299	66269184	446464
800566259	66924544	446464
900563696	62222336	462848
1000560531	51261440	417792
1100562726	51261440	417792
1200563487	55586816	425984
1300560297	75116544	462848
1400558045	77475840	466944
1500565314	77475840	466944
1600561223	77475840	466944
1700572648	77475840	466944
1800576203	77475840	466944
1900564993	77475840	466944
2000526979	77869056	475136
2100564588	84291584	487424
2200595137	84291584	487424
2300582031	84291584	487424
2400562179	84291584	487424
2500572775	84291584	487424
2600562263	84291584	487424
2700551711	84291584	487424
2800560686	84553728	491520
2900562583	85471232	495616
3000563550	100020224	524288
3100566672	101855232	528384
3200561031	106049536	536576
3300559578	112553984	548864
3400569120	112553984	548864
3500547829	112553984	548864
3600561840	112553984	548864
3700560802	112553984	548864
3800562320	112553984	548864
3900579417	116092928	557056
4000544405	119107584	561152
4100578422	131821568	585728
4200580278	193949696	708608
4300573749	193949696	708608
4400575463	202469376	729088
4500583359	523202560	1355776
4600581134	580612096	1466368
4700580607	580612096	1466368
4800558875	580612096	1466368
4900559699	583626752	1470464
5000555810	586772480	1474560
5100550005	587427840	1478656
5200558643	408428544	1388544
5300561414	159932416	638976
5400560804	203055104	724992
5500560286	205414400	729088
5600554624	207118336	733184
5700559767	212230144	741376
5800557310	212623360	741376
5900553682	213671936	745472
6000553589	217735168	753664
6100563363	217735168	753664
6200553420	217735168	753664
6300556970	217735168	753664
6400550448	217735168	753664
6500554147	217735168	753664
6600562432	217735168	753664
6700558808	217735168	753664
6800557331	217997312	753664
6900552481	217997312	753664
7000553628	217997312	753664
7100551960	217997312	753664
7200555081	217997312	753664
7300548505	217997312	753664
7400545013	217997312	753664
7500549096	217997312	753664
7600546456	217997312	753664
7700546401	217997312	753664
7800548183	217997312	753664
7900551113	217997312	753664
8000548223	217997312	753664
8100571135	217997312	753664
8200567769	217997312	753664
8300534117	217997312	753664
8400584500	217997312	753664
8500566398	217997312	753664
8600585739	217997312	753664
8700581094	217997312	753664
8800574126	217997312	753664
8900559400	217997312	753664
9000565922	217997312	753664
9100562100	217997312	753664
9200554834	217997312	753664
