time	rss	kernel
0	843776	196608
100535718	33882112	385024
200571700	40435712	397312
300549501	45154304	405504
400541267	48562176	413696
500515437	50790400	417792
600557999	53280768	421888
700547950	55246848	425984
800552472	57737216	430080
900594892	59441152	434176
1000544026	61145088	438272
1100554671	63242240	442368
1200567691	64290816	446464
1300558738	66125824	446464
1400558241	67567616	450560
1500552034	69402624	454656
1600551896	70320128	454656
1700571026	72024064	458752
1800565327	72941568	462848
1900543120	73859072	462848
2000541085	75169792	466944
2100559235	76480512	466944
2200548191	77398016	471040
2300571127	78184448	471040
2400564631	79495168	475136
2500550081	80543744	475136
2600557724	81461248	479232
2700553470	84869120	483328
2800541709	85393408	487424
2900548621	86441984	487424
3000548917	87359488	491520
3100543630	88670208	491520
3200553068	89587712	495616
3300540250	90636288	495616
3400555002	91029504	495616
3500538048	91684864	499712
3600544180	96927744	512000
3700561259	102752256	520192
3800542597	102752256	520192
3900538158	102752256	520192
4000534083	102752256	520192
4100550316	106422272	528384
4200548586	113893376	540672
4300566572	129359872	573440
4400561022	222814208	753664
4500561575	299622400	901120
4600557970	299622400	901120
4700559365	299622400	901120
4800555180	299622400	901120
4900560125	589422592	1466368
5000569886	879353856	2031616
5100565657	879353856	2031616
5200563791	879353856	2031616
5300564317	879353856	2031616
5400545556	879353856	2031616
5500545843	879353856	2031616
5600552231	881844224	2035712
5700545451	882630656	2035712
5800553486	883941376	2039808
5900535976	885383168	2043904
6000535457	886824960	2043904
6100544605	236879872	782336
6200549057	281313280	868352
6300544230	362708992	1028096
6400548856	375160832	1048576
6500561003	377520128	1056768
6600546891	378306560	1056768
6700546266	382763008	1064960
6800537153	383942656	1073152
6900545411	385384448	1073152
7000543253	386826240	1077248
7100545482	388268032	1081344
7200538691	389709824	1081344
7300545530	409370624	1122304
7400547784	376172544	1052672
7500539826	376172544	1052672
7600530691	376172544	1052672
7700544454	377483264	1056768
7800544029	377483264	1056768
7900541039	378007552	1056768
8000555457	382726144	1064960
8100544360	382726144	1064960
8200540028	382726144	1064960
8300541130	376029184	1056768
8400545819	379043840	1056768
8500543030	379043840	1056768
8600537688	379043840	1056768
8700535446	379043840	1056768
8800536264	379043840	1056768
8900539296	379043840	1056768
9000532972	379043840	1056768
9100533358	379043840	1056768
9200534015	379043840	1056768
9300536847	379043840	1056768
9400535352	379043840	1056768
9500535201	379043840	1056768
9600538229	379043840	1056768
9700551835	379043840	1056768
9800546257	379043840	1056768
9900555385	379043840	1056768
10000569307	379043840	1056768
10100574057	379043840	1056768
10200577867	379043840	1056768
10300574088	379043840	1056768
10400574596	379043840	1056768
10500576059	379043840	1056768
10600571348	379043840	1056768
10700572162	379043840	1056768
10800562429	379174912	1056768
10900556862	379174912	1056768
11000534670	379174912	1056768
11100535821	379174912	1056768
11200545542	379174912	1056768
11300527072	379174912	1056768
