time	rss	kernel
0	737280	192512
100491948	13025280	344064
200501416	13029376	344064
300501374	13684736	344064
400502257	16699392	356352
500509954	17403904	356352
600512572	19161088	360448
700511616	19161088	364544
800506863	19292160	364544
900506336	19292160	364544
1000511024	19292160	364544
1100511027	19423232	368640
1200511897	20733952	372736
1300510464	24403968	376832
1400511569	24403968	380928
1500507478	26238976	385024
1600508115	28860416	389120
1700502182	30564352	393216
1800507584	31481856	397312
1900509546	32059392	401408
2000514185	32714752	401408
2100509273	34156544	405504
2200508017	36515840	413696
2300504822	36515840	413696
2400506530	36646912	413696
2500513162	36646912	413696
2600507094	39792640	421888
2700507557	41365504	425984
2800505994	41627648	425984
2900508870	43593728	430080
3000504270	43724800	434176
3100508845	44380160	434176
3200505941	44380160	434176
3300505842	44511232	434176
3400508556	44511232	434176
3500513940	44773376	442368
3600505239	45953024	442368
3700507007	47919104	450560
3800513690	53665792	462848
3900508922	57884672	471040
4000509886	59850752	475136
4100502857	64700416	483328
4200506702	64962560	483328
4300507645	65224704	487424
4400504643	67342336	491520
4500503266	65159168	487424
4600503961	71401472	499712
4700511867	66146304	491520
4800508488	67063808	491520
4900508981	75714560	507904
5000506470	76369920	512000
5100503990	76369920	512000
5200502109	78073856	512000
5300502193	78467072	516096
5400510836	78467072	520192
5500509902	78467072	520192
5600500653	78598144	520192
5700509022	78598144	520192
5800509048	78598144	524288
5900510783	78729216	524288
6000510756	78729216	524288
6100509414	78729216	524288
6200507140	78860288	528384
6300504086	78860288	528384
6400507732	78860288	528384
6500507366	78860288	528384
6600503524	78991360	532480
6700502384	78991360	532480
6800510265	78991360	532480
6900499551	79122432	532480
7000507501	79384576	536576
7100510245	80433152	540672
7200508561	80564224	540672
7300509566	81874944	548864
7400510185	81874944	548864
7500507884	82006016	548864
7600512672	85282816	552960
7700507425	86069248	557056
7800503873	86069248	557056
7900513082	87642112	561152
8000504165	88690688	565248
8100504427	88690688	569344
8200510291	90394624	569344
8300505000	90656768	573440
8400506212	90787840	573440
8500504189	92622848	577536
8600507975	94064640	581632
8700505671	94326784	581632
8800503421	94851072	585728
8900510565	96686080	589824
9000508689	96948224	589824
9100505184	97079296	589824
9200510787	100225024	602112
9300503813	100225024	602112
9400503288	93396992	606208
