time	rss	kernel
0	811008	192512
100469492	33730560	397312
200506334	40423424	409600
300507886	45142016	417792
400500063	48156672	425984
500484703	50647040	430080
600477046	53268480	434176
700477884	55234560	438272
800477690	57724928	442368
900477465	59428864	446464
1000477043	61132800	450560
1100475774	63098880	454656
1200475416	64147456	454656
1300432826	66113536	458752
1400475211	67555328	462848
1500472601	69390336	466944
1600474179	70307840	466944
1700469968	72011776	471040
1800477400	72929280	471040
1900472554	73846784	475136
2000471874	75419648	479232
2100477046	76337152	479232
2200474727	77385728	483328
2300474911	78172160	483328
2400468057	79482880	487424
2500466033	80531456	487424
2600431904	81711104	491520
2700467808	84856832	495616
2800472556	86167552	499712
2900471607	86429696	499712
3000471123	87347200	499712
3100470389	88657920	503808
3200471563	89575424	503808
3300471481	90755072	507904
3400471295	91541504	507904
3500465491	92327936	512000
3600476756	142135296	614400
3700465405	102731776	532480
3800461262	102731776	532480
3900457553	102731776	532480
4000462473	106401792	536576
4100473528	113872896	552960
4200475143	113872896	552960
4300476557	189370368	700416
4400471509	299601920	917504
4500462551	299601920	917504
4600466026	299601920	917504
4700465606	299601920	917504
4800471764	425299968	1171456
4900473993	714444800	1732608
5000465042	879333376	2052096
5100469699	879333376	2052096
5200469524	879333376	2052096
5300469764	879333376	2052096
5400470009	879333376	2052096
5500466588	879333376	2052096
5600468516	881823744	2056192
5700461579	883003392	2056192
5800461285	884576256	2060288
5900458773	885886976	2064384
6000462377	887853056	2072576
6100473034	240394240	806912
6200476676	325197824	974848
6300471222	373301248	1064960
6400462555	375791616	1073152
6500456524	377364480	1073152
6600464925	382738432	1085440
6700458808	382869504	1085440
6800460163	384442368	1089536
6900462000	385884160	1089536
7000465257	387194880	1093632
7100465956	388767744	1097728
7200465470	389947392	1097728
7300465524	376152064	1073152
7400459059	376152064	1073152
7500453779	376152064	1073152
7600454256	376152064	1073152
7700456497	377462784	1073152
7800459151	377593856	1073152
7900462052	378118144	1077248
8000469393	382705664	1085440
8100462485	382705664	1085440
8200456407	382836736	1085440
8300464084	376008704	1073152
8400474003	379023360	1073152
8500465917	379023360	1073152
8600463584	379023360	1073152
8700463748	379023360	1073152
8800465571	379023360	1073152
8900462776	379023360	1073152
9000460460	379023360	1073152
9100460025	379023360	1073152
9200462535	379023360	1073152
9300461338	379023360	1073152
9400459790	379023360	1073152
9500459157	379023360	1073152
9600467256	379023360	1073152
9700476427	379023360	1073152
9800478600	379023360	1073152
9900477655	379023360	1073152
10000473537	379023360	1073152
10100476878	379023360	1073152
10200478382	379023360	1073152
10300479300	379023360	1073152
10400473523	379023360	1073152
10500475284	379023360	1073152
10600475839	379023360	1073152
10700475683	379154432	1073152
10800469493	379154432	1073152
10900462647	379154432	1073152
11000463304	379154432	1073152
11100470592	379154432	1073152
11200474623	379154432	1073152
11300467580	379154432	1073152
11400463315	379154432	1073152
11500462922	379154432	1073152
11600462332	379154432	1073152
11700462102	379154432	1073152
11800460785	379154432	1073152
11900461288	379154432	1073152
12000459938	379154432	1073152
12100458638	379154432	1073152
12200459191	379154432	1073152
12300458527	379154432	1073152
12400456408	379154432	1073152
12500471229	379154432	1073152
12600476710	379154432	1073152
12700477185	379154432	1073152
12800454663	379154432	1073152
12900480390	379154432	1073152
13000476479	379154432	1073152
13100473558	379154432	1073152
13200471062	379154432	1073152
13300474138	379154432	1073152
13400469925	379154432	1073152
13500471267	379154432	1073152
13600474509	379154432	1073152
13700486572	379154432	1073152
13800476340	379154432	1073152
13900471220	379154432	1073152
14000476671	379154432	1073152
14100492614	379154432	1073152
14200470734	379154432	1073152
14300475826	379154432	1073152
14400469233	379154432	1073152
14500464124	379154432	1073152
14600473200	379154432	1073152
14700464137	379154432	1073152
14800462883	379154432	1073152
14900461152	379154432	1073152
15000458991	379154432	1073152
15100458841	379154432	1073152
15200478924	435384320	1183744
15300479282	379109376	1073152
15400468121	379240448	1073152
15500461886	379371520	1073152
15600463877	382910464	1081344
15700459912	385400832	1085440
15800458965	387891200	1089536
15900456522	390250496	1093632
16000465356	392347648	1097728
16100470652	395886592	1105920
16200471139	395886592	1105920
16300470383	395886592	1105920
16400476599	395886592	1105920
16500476015	395886592	1105920
16600475841	395886592	1105920
16700469793	395886592	1105920
16800491418	395886592	1105920
16900476504	406634496	1130496
17000478224	395984896	1105920
17100478627	395984896	1105920
17200477023	395984896	1105920
17300497309	395984896	1105920
17400493978	395984896	1105920
17500476510	395984896	1105920
17600478035	395984896	1105920
17700473770	395984896	1105920
17800491482	395984896	1105920
17900478699	395984896	1105920
18000476572	395984896	1105920
18100476629	395984896	1105920
18200475387	395984896	1105920
18300471482	395984896	1105920
18400477521	395984896	1105920
18500475375	395984896	1105920
18600476344	395984896	1105920
18700469356	395984896	1105920
18800494310	395984896	1105920
18900474461	395984896	1105920
19000476556	395984896	1105920
19100476829	395984896	1105920
19200474732	395984896	1105920
19300472465	395984896	1105920
19400473611	395984896	1105920
19500471641	395984896	1105920
19600472645	395984896	1105920
19700468637	395984896	1105920
19800546830	395984896	1105920
19900531682	395984896	1105920
20000523303	395984896	1105920
20100534551	395984896	1105920
20200517113	395984896	1105920
20300522903	395984896	1105920
20400529133	395984896	1105920
20500527175	395984896	1105920
20600523158	395984896	1105920
20700488232	395984896	1105920
20800516040	395984896	1105920
20900531262	395984896	1105920
21000531518	395984896	1105920
21100536325	395984896	1105920
21200532884	395984896	1105920
21300532974	395984896	1105920
21400523989	395984896	1105920
21500533794	395984896	1105920
21600519148	395984896	1105920
21700520841	395984896	1105920
21800514813	395984896	1105920
21900530213	395984896	1105920
22000531544	395984896	1105920
22100530999	395984896	1105920
22200531623	395984896	1105920
22300532036	395984896	1105920
22400531108	395984896	1105920
22500530231	395984896	1105920
22600535151	395984896	1105920
22700535092	395984896	1105920
22800525809	395984896	1105920
22900529769	395984896	1105920
23000531669	395984896	1105920
23100529123	395984896	1105920
23200525806	395984896	1105920
23300528154	395984896	1105920
23400537613	395984896	1105920
23500529967	395984896	1105920
23600548873	395984896	1105920
23700514436	395984896	1105920
23800538281	395984896	1105920
23900527917	395984896	1105920
24000523492	395984896	1105920
24100524197	395984896	1105920
24200518269	404766720	1122304
24300507207	404766720	1122304
24400522862	419971072	1167360
24500524210	486424576	1282048
24600512493	527319040	1363968
24700524663	531120128	1372160
24800511263	531382272	1372160
24900502564	531644416	1372160
25000495645	532037632	1372160
25100503293	452616192	1216512
25200492343	453140480	1216512
25300503905	453140480	1216512
25400503525	453140480	1216512
25500482954	453140480	1216512
25600463529	453140480	1216512
25700489034	453140480	1216512
25800499191	453140480	1216512
25900481831	453140480	1216512
26000485258	453140480	1216512
26100499419	453140480	1216512
26200500530	453140480	1216512
26300481532	453140480	1216512
26400495086	453402624	1216512
26500501157	453402624	1216512
26600485257	453402624	1216512
26700483245	453402624	1216512
26800499923	453402624	1216512
26900478587	453402624	1216512
27000483641	453402624	1216512
27100484787	453402624	1216512
27200501780	453402624	1216512
27300504831	453402624	1216512
27400483057	453402624	1216512
27500504792	453402624	1216512
27600499694	453402624	1216512
27700487453	453402624	1216512
27800509322	453402624	1216512
27900501087	453402624	1216512
28000482302	453402624	1216512
28100515962	453402624	1216512
28200512993	453402624	1216512
28300501450	453402624	1216512
28400481281	453402624	1216512
28500502293	453402624	1216512
28600502446	453402624	1216512
28700492872	453402624	1216512
28800489372	453402624	1216512
28900482609	453402624	1216512
29000498659	453402624	1216512
29100482861	453402624	1216512
29200480512	453402624	1216512
29300498603	453402624	1216512
29400501974	453402624	1216512
29500486209	453402624	1216512
29600491354	453402624	1216512
29700502888	453402624	1216512
29800484354	453402624	1216512
29900502177	453402624	1216512
30000484481	453402624	1216512
30100510949	453402624	1216512
30200501537	453402624	1216512
30300503801	453402624	1216512
30400485843	453402624	1216512
30500502480	453402624	1216512
30600501232	453402624	1216512
30700483731	453402624	1216512
30800482714	453402624	1216512
30900502102	453402624	1216512
31000516631	453402624	1216512
31100524821	453402624	1216512
31200529985	453402624	1216512
31300528928	453402624	1216512
31400506743	453402624	1216512
31500487700	453402624	1216512
31600501549	453402624	1216512
31700484231	453402624	1216512
31800495964	453402624	1216512
31900493783	453402624	1216512
32000515543	453795840	1224704
32100505918	466771968	1245184
32200511583	466857984	1245184
32300518108	466857984	1245184
32400510778	466857984	1245184
32500520125	467251200	1245184
32600531207	467251200	1245184
32700519484	468692992	1282048
32800517306	469086208	1294336
32900519799	469086208	1294336
33000526628	469086208	1294336
33100515957	469086208	1294336
