time	rss	kernel
0	761856	139264
100567020	12992512	348160
200574337	12607488	348160
300575689	13393920	348160
400571686	16670720	360448
500575589	17371136	360448
600578902	18997248	364544
700579343	18997248	368640
800574012	19128320	368640
900559500	19128320	368640
1000544801	19128320	368640
1100550973	19390464	372736
1200552801	20701184	376832
1300549420	24371200	380928
1400550849	24371200	385024
1500547256	26075136	389120
1600547722	28827648	393216
1700545653	30662656	397312
1800546151	31580160	401408
1900580871	32157696	417792
2000586765	32735232	417792
2100575140	33914880	421888
2200574576	36536320	430080
2300572004	36536320	430080
2400578284	36536320	430080
2500584297	36667392	434176
2600572404	39550976	438272
2700575548	41517056	442368
2800573832	41648128	442368
2900587836	43614208	450560
3000570948	43745280	450560
3100574860	44269568	454656
3200579238	44531712	454656
3300572101	44531712	458752
3400571239	44531712	458752
3500586211	44793856	458752
3600588707	46104576	462848
3700585210	48726016	466944
3800567744	53555200	479232
3900538765	57774080	487424
4000582035	59871232	491520
4100574628	64720896	499712
4200576651	64983040	499712
4300575840	67866624	507904
4400562449	67362816	507904
4500551502	67805184	516096
4600555467	65654784	503808
4700552196	65654784	503808
4800553853	68014080	507904
4900546652	76009472	524288
5000545846	76402688	528384
5100552435	76402688	528384
5200553382	78106624	528384
5300550513	78368768	536576
5400555728	78499840	536576
5500554614	78499840	536576
5600547424	78499840	540672
5700541385	78499840	540672
5800548635	78630912	540672
5900549389	78630912	540672
6000553780	78761984	544768
6100550300	78761984	544768
6200553411	78761984	544768
6300548938	78893056	544768
6400547108	78893056	548864
6500544801	78893056	548864
6600547476	79024128	548864
6700551743	79024128	548864
6800545466	79024128	552960
6900543799	79155200	552960
7000552459	79155200	552960
7100550114	80465920	557056
7200547572	80596992	561152
7300551362	81514496	561152
7400548623	81645568	561152
7500547019	84004864	573440
7600546559	85970944	573440
7700546286	85970944	573440
7800548021	87674880	577536
7900548004	88592384	585728
8000545426	88592384	585728
8100546355	89247744	585728
8200542166	90296320	585728
8300546752	90689536	593920
8400548162	90689536	593920
8500554260	93966336	598016
8600549891	93966336	598016
8700548057	94752768	602112
8800552984	96587776	606208
8900548000	96849920	606208
9000545265	96980992	610304
9100545846	97636352	614400
9200552534	100126720	618496
9300546032	100388864	618496
