time	rss	kernel
0	823296	167936
100546517	26914816	364544
200563437	26914816	364544
300544932	26914816	364544
400567247	26787840	364544
500568977	26787840	364544
600535022	26787840	364544
700563449	26787840	364544
800559111	26787840	364544
900565520	26918912	364544
1000556117	26918912	364544
1100552380	26918912	364544
1200562912	26918912	364544
1300563213	26918912	364544
1400562761	26918912	364544
1500546344	26918912	364544
1600556024	26918912	364544
1700539267	26918912	364544
1800544922	26918912	364544
1900564608	26918912	364544
2000559006	26918912	364544
2100552376	26918912	364544
2200547969	26918912	364544
2300570973	26918912	364544
2400546968	26918912	364544
2500568257	26918912	364544
