time	rss	kernel
0	802816	192512
100560360	26705920	380928
200569354	26705920	380928
300567954	26705920	380928
400569443	26705920	380928
500568189	26705920	380928
600572726	26836992	385024
700575158	27230208	385024
800570527	27230208	385024
900571154	27623424	385024
1000572554	27754496	385024
1100569252	27754496	385024
1200570306	27754496	385024
1300631598	27754496	385024
1400612250	27754496	385024
1500617492	27754496	385024
1600616361	27754496	385024
1700598988	27754496	385024
1800598893	27754496	385024
1900594772	27754496	385024
2000598241	27754496	385024
2100590944	27754496	385024
2200591650	27754496	385024
2300593274	27754496	385024
2400598362	27754496	385024
2500561795	27754496	385024
2600603149	27754496	385024
2700601521	27754496	385024
2800598758	27754496	385024
2900611356	27754496	385024
3000613147	27754496	385024
3100609965	27754496	385024
3200606450	27754496	385024
3300616043	27754496	385024
3400614054	27754496	385024
3500619364	27754496	385024
3600614889	27754496	385024
