time	rss	kernel
0	1056768	192512
100511178	26628096	364544
200519422	27480064	364544
300523494	27480064	364544
400516904	27480064	364544
500520363	27480064	364544
600525086	27480064	364544
700525972	27611136	364544
800522801	27611136	364544
900529778	27611136	364544
1000525639	27611136	364544
1100525107	27611136	364544
1200524927	27611136	364544
1300518039	27611136	364544
1400520262	27611136	364544
1500516979	27611136	364544
1600486989	27611136	364544
1700515904	27611136	364544
1800518752	27611136	364544
1900525217	27611136	364544
2000524630	27611136	364544
2100524136	27611136	364544
2200523398	27611136	364544
2300524119	27611136	364544
2400519874	27611136	364544
2500520692	27611136	364544
2600515365	27611136	364544
2700519702	27611136	364544
2800522907	27742208	364544
2900523338	27742208	364544
3000485879	27742208	364544
3100524626	27742208	364544
3200522980	27742208	364544
3300524497	27742208	364544
3400518808	27742208	364544
3500521210	27742208	364544
3600528215	27742208	364544
3700518325	27742208	364544
3800518861	27742208	364544
3900524348	27742208	364544
4000538351	27742208	364544
4100527889	27742208	364544
4200523874	27742208	364544
4300484819	27742208	364544
4400522021	27742208	364544
4500522244	27742208	364544
4600539558	27742208	364544
4700527716	27742208	364544
4800488611	27742208	364544
4900515313	27742208	364544
5000512690	27742208	364544
5100515009	27742208	364544
5200489255	27742208	364544
5300525364	27742208	364544
5400512528	27742208	364544
5500517635	27742208	364544
5600515610	27742208	364544
