time	rss	kernel
0	729088	196608
100501681	27590656	417792
200511580	27471872	417792
300505656	27602944	417792
400510287	27602944	417792
500509158	27602944	417792
600512661	27602944	417792
700502887	27602944	417792
800502296	27602944	417792
900509226	27602944	417792
1000510725	27602944	417792
1100515824	27602944	417792
1200514460	27602944	417792
1300508903	27734016	421888
1400515054	27734016	421888
1500510581	27734016	421888
1600511120	27734016	421888
1700511312	27734016	421888
1800510483	27734016	421888
1900507299	27734016	421888
2000511083	27734016	421888
2100514901	27734016	421888
2200506652	27734016	421888
2300514389	27734016	421888
2400506543	27734016	421888
2500504225	27734016	421888
2600510954	27734016	421888
2700509649	27734016	421888
2800508893	27734016	421888
2900508868	27734016	421888
3000510193	27734016	421888
3100520632	27734016	421888
3200503313	27734016	421888
3300508913	27734016	421888
3400511565	27734016	421888
3500510411	27734016	421888
3600511307	27734016	421888
3700511951	27734016	421888
3800510803	27734016	421888
3900510665	27734016	421888
4000510493	27734016	421888
4100511183	27734016	421888
4200513112	27734016	421888
4300508840	27734016	421888
4400480936	27734016	421888
4500512286	27734016	421888
4600512233	27734016	421888
4700511456	27734016	421888
4800510723	27734016	421888
4900513826	27734016	421888
5000517527	27734016	421888
5100512865	27734016	421888
5200514203	27734016	421888
5300507533	27734016	421888
5400511449	27734016	421888
5500509217	27734016	421888
5600511429	27734016	421888
5700521273	27734016	421888
5800513114	27734016	421888
5900508403	27734016	421888
6000525545	27734016	421888
6100517089	27734016	421888
6200505813	27734016	421888
6300516728	27734016	421888
6400508474	27734016	421888
6500510572	27734016	421888
6600510025	27734016	421888
6700513974	27734016	421888
6800513508	27734016	421888
6900512622	27734016	421888
7000513909	27734016	421888
7100513180	27734016	421888
7200513919	27734016	421888
7300513343	27734016	421888
7400510700	27734016	421888
7500512547	27734016	421888
7600507655	27734016	421888
7700506896	27734016	421888
7800508776	27734016	421888
7900510079	27734016	421888
8000523718	27734016	421888
8100512196	27734016	421888
8200510690	27734016	421888
8300509594	27734016	421888
