time	rss	kernel
0	860160	192512
100563775	27201536	372736
200567649	27205632	372736
300564502	27336704	372736
400564734	27336704	372736
500567739	27336704	372736
600588640	27336704	372736
700571024	27336704	372736
800574169	27336704	372736
900575889	27336704	372736
1000574856	27336704	372736
1100578818	27336704	372736
1200582416	27336704	372736
1300578199	27336704	372736
1400576203	27336704	372736
1500580456	27336704	372736
1600579133	27336704	372736
1700575328	27336704	372736
1800563362	27336704	372736
1900572219	27336704	372736
2000576146	27336704	372736
2100576402	27336704	372736
2200574760	27336704	372736
2300577182	27336704	372736
2400581467	27336704	372736
2500576968	27336704	372736
2600575693	27336704	372736
2700574421	27336704	372736
2800577204	27336704	372736
2900573276	27336704	372736
3000590200	27336704	372736
3100578219	27336704	372736
3200579237	27336704	372736
3300575040	27336704	372736
3400576393	27336704	372736
3500582288	27336704	372736
3600583897	27467776	372736
3700581971	27467776	372736
3800584341	27467776	372736
3900595595	27467776	372736
4000576068	27467776	372736
4100570755	27598848	372736
4200566780	27598848	372736
4300572212	27598848	372736
4400569726	27598848	372736
4500569281	27598848	372736
4600567321	27598848	372736
4700564315	27598848	372736
4800570751	27598848	372736
4900572159	27598848	372736
5000573270	27598848	372736
5100568760	27598848	372736
5200573610	27598848	372736
5300572437	27598848	372736
5400577006	27598848	372736
5500570724	27598848	372736
5600578858	27598848	372736
5700572094	27598848	372736
5800576654	27598848	372736
5900570391	27598848	372736
6000575189	27598848	372736
6100571244	27598848	372736
6200563642	27598848	372736
6300579010	27598848	372736
6400576063	27598848	372736
6500575447	27598848	372736
6600573025	27598848	372736
6700573875	27598848	372736
6800574607	27598848	372736
6900580004	27598848	372736
7000574100	27598848	372736
7100575542	27598848	372736
7200582911	27598848	372736
7300579098	27598848	372736
7400569900	27729920	372736
7500567228	27729920	372736
7600571888	27729920	372736
7700566652	27729920	372736
7800569394	27729920	372736
7900569315	27729920	372736
8000571697	27729920	372736
8100564976	27729920	372736
8200568674	27729920	372736
8300566947	27729920	372736
8400565951	27729920	372736
8500565416	27729920	372736
8600565989	27729920	372736
8700565779	27729920	372736
8800568797	27729920	372736
8900573085	27729920	372736
9000572065	27729920	372736
9100582671	27729920	372736
9200575402	27729920	372736
9300569454	27729920	372736
9400569844	27729920	372736
9500569859	27729920	372736
9600569071	27729920	372736
9700566823	27729920	372736
9800565353	27729920	372736
9900565915	27729920	372736
10000590908	27729920	372736
10100576965	27729920	372736
10200575327	27729920	372736
10300577168	27729920	372736
10400578256	27729920	372736
10500580684	27729920	372736
10600573640	27729920	372736
10700574554	27729920	372736
10800568548	27729920	372736
10900561702	27729920	372736
11000565452	27729920	372736
11100563435	27729920	372736
11200564052	27729920	372736
11300568889	27729920	372736
11400567462	27729920	372736
