time	rss	kernel
0	671744	143360
100580195	8409088	299008
200583226	10113024	299008
300587470	11423744	299008
400590777	11423744	299008
500583054	11685888	299008
600582319	11685888	299008
700590435	12914688	303104
800594547	12914688	303104
900587974	12914688	303104
1000582593	13176832	303104
1100591156	14413824	307200
1200595558	14413824	307200
1300589699	14413824	307200
1400592253	14852096	307200
1500591240	14852096	307200
1600583533	16027648	307200
1700638500	16027648	307200
1800600066	16027648	307200
1900591424	16334848	307200
2000609562	16334848	307200
2100595078	16334848	307200
2200600491	16678912	311296
2300609882	16678912	311296
2400615960	16678912	311296
2500599666	16941056	311296
2600589683	17354752	315392
2700596096	17354752	315392
2800597360	17354752	315392
2900607785	17616896	315392
3000608669	17616896	315392
3100606983	17616896	315392
3200593998	17899520	315392
3300610071	17899520	315392
3400607842	17899520	315392
3500592202	18161664	319488
3600602559	18161664	319488
3700607499	18161664	319488
3800593782	18575360	319488
3900625735	18575360	319488
4000589155	18575360	319488
4100606657	18575360	319488
4200581883	18575360	319488
4300591117	18591744	319488
4400591037	18591744	319488
4500591108	18591744	319488
4600609148	18591744	319488
4700609475	18591744	319488
4800605840	18591744	319488
4900589920	18722816	319488
5000610713	18722816	319488
5100605924	18722816	319488
5200608638	18722816	319488
5300591428	18722816	319488
5400585226	18722816	319488
5500609176	18722816	319488
5600607160	18722816	319488
5700595013	18722816	319488
5800582461	18722816	319488
5900590417	18722816	319488
6000594136	18722816	319488
6100584809	18722816	319488
6200593503	18722816	319488
6300610753	18722816	319488
6400592612	18722816	319488
6500596208	18722816	319488
6600591149	18722816	319488
6700595450	18722816	319488
6800607911	18722816	319488
6900608940	18722816	319488
7000592239	18722816	319488
7100615503	18722816	319488
7200611946	18722816	319488
7300590830	18722816	319488
7400590192	18722816	319488
7500590663	18722816	319488
7600596771	18722816	319488
7700608244	18722816	319488
7800592899	18722816	319488
7900590984	18722816	319488
8000607958	18722816	319488
8100610979	18722816	319488
8200609623	18722816	319488
8300590759	18722816	319488
8400590084	18722816	319488
8500607504	18722816	319488
8600609938	18722816	319488
8700593365	18722816	319488
8800591568	18722816	319488
8900601660	18722816	319488
9000606933	18722816	319488
9100590993	18722816	319488
9200582233	18722816	319488
9300589793	18722816	319488
9400566550	18722816	319488
9500594031	18722816	319488
9600583082	18722816	319488
9700593060	18722816	319488
9800609321	18722816	319488
9900606488	18722816	319488
10000611020	18722816	319488
10100597257	18722816	319488
10200594218	18722816	319488
10300590347	18722816	319488
10400592517	18722816	319488
10500599988	18722816	319488
10600601483	18722816	319488
10700597015	18722816	319488
10800592779	18722816	319488
10900617139	18722816	319488
11000612279	18722816	319488
11100608033	18722816	319488
11200585226	18722816	319488
11300590648	18722816	319488
11400610058	18722816	319488
11500609764	18722816	319488
11600606855	18722816	319488
11700591265	18722816	319488
11800592045	18722816	319488
11900607707	18722816	319488
12000607594	18722816	319488
12100589992	18722816	319488
12200586816	18722816	319488
12300582987	18722816	319488
12400591484	18722816	319488
12500602715	18722816	319488
12600607325	18722816	319488
12700609211	18722816	319488
12800591726	18722816	319488
12900609812	18722816	319488
13000609537	18722816	319488
13100586210	18722816	319488
13200601779	18722816	319488
13300606345	18722816	319488
13400592334	18722816	319488
13500591498	18722816	319488
13600592626	18722816	319488
13700608483	18722816	319488
13800581211	18722816	319488
13900589759	18722816	319488
14000595013	18722816	319488
14100590477	18722816	319488
14200613013	18722816	319488
14300606916	18722816	319488
14400591593	18722816	319488
14500591347	18722816	319488
14600593478	18722816	319488
14700610600	18722816	319488
14800609906	18722816	319488
14900610781	18722816	319488
15000608292	18722816	319488
15100591914	18722816	319488
15200608946	18722816	319488
15300609113	18722816	319488
15400584541	18722816	319488
15500594144	18722816	319488
15600589850	18722816	319488
15700591764	18722816	319488
15800590176	18722816	319488
15900591079	18722816	319488
16000592395	18722816	319488
16100593367	18722816	319488
16200592960	18722816	319488
16300593878	18722816	319488
16400590997	18722816	319488
16500593511	18722816	319488
16600609271	18722816	319488
16700592916	18722816	319488
16800590331	18722816	319488
16900590392	18722816	319488
17000600386	18722816	319488
17100594983	18722816	319488
17200593548	18722816	319488
17300588856	18722816	319488
17400612185	18722816	319488
17500602903	18722816	319488
17600583412	18722816	319488
17700609235	18722816	319488
17800614047	18722816	319488
17900610862	18722816	319488
18000590684	18722816	319488
18100593872	18722816	319488
18200590731	18722816	319488
18300608302	18722816	319488
18400609152	18722816	319488
18500592160	18722816	319488
18600584219	18722816	319488
18700609944	18722816	319488
18800590111	18722816	319488
18900595588	18722816	319488
19000582523	18722816	319488
19100589973	18722816	319488
19200589397	18722816	319488
19300594396	18722816	319488
19400583133	18722816	319488
19500591135	18722816	319488
19600595498	18722816	319488
19700594201	18722816	319488
19800590688	18722816	319488
19900592501	18722816	319488
20000591586	18722816	319488
20100590335	18722816	319488
20200583550	18722816	319488
20300584270	18722816	319488
20400594922	18722816	319488
20500589638	18722816	319488
20600592392	18722816	319488
20700591196	18722816	319488
20800591326	18722816	319488
20900590838	18722816	319488
21000584396	18722816	319488
21100584055	18722816	319488
21200584049	18722816	319488
21300590596	18722816	319488
21400593559	18722816	319488
21500597634	18722816	319488
21600590511	18722816	319488
21700588813	18722816	319488
21800586025	18722816	319488
21900585795	18722816	319488
22000590737	18722816	319488
22100597398	18722816	319488
22200594620	18722816	319488
22300596206	18722816	319488
22400608844	18722816	319488
22500589745	18722816	319488
22600612260	18722816	319488
22700592584	18722816	319488
22800609304	18722816	319488
22900593920	18722816	319488
23000589781	18722816	319488
23100606514	18722816	319488
23200613238	18722816	319488
23300583081	18722816	319488
23400592343	18722816	319488
23500584003	18722816	319488
23600590172	18722816	319488
23700608058	18722816	319488
23800609773	18722816	319488
23900590035	18722816	319488
24000591670	18722816	319488
24100611961	18722816	319488
24200617809	18722816	319488
24300591189	18722816	319488
24400592430	18722816	319488
24500610332	18722816	319488
24600607554	18722816	319488
24700590952	18722816	319488
24800609956	18722816	323584
24900589451	18722816	323584
25000607557	18722816	323584
25100587156	18722816	323584
25200590038	18722816	323584
25300588695	18722816	323584
25400590682	18722816	323584
25500583554	18722816	323584
25600609021	18722816	323584
25700606393	18722816	323584
25800592868	18722816	323584
25900589991	18722816	323584
26000588591	18722816	323584
26100549131	18722816	323584
26200582743	18722816	323584
26300593499	18722816	323584
26400593872	18722816	323584
26500590328	18722816	323584
26600589987	18722816	323584
26700583936	18722816	323584
26800581646	18722816	323584
26900592935	18722816	323584
27000588144	18722816	323584
27100612794	18722816	323584
27200610992	18722816	323584
