time	rss	kernel
0	761856	192512
100559990	25145344	380928
200574544	56078336	446464
300565035	57749504	442368
400570852	68603904	462848
500568662	79908864	499712
600566686	90963968	520192
700555863	90963968	520192
800559867	90963968	520192
900555688	90963968	520192
1000553727	90963968	520192
1100552361	90963968	520192
1200552946	90963968	520192
1300552982	90963968	520192
1400553114	90963968	520192
1500553211	90963968	520192
1600555790	90963968	520192
1700554594	90963968	520192
1800553230	90963968	520192
1900554156	90963968	520192
2000557070	90963968	520192
2100563486	90963968	520192
2200554345	90963968	520192
2300554977	90963968	520192
2400557166	90963968	520192
2500554614	90963968	520192
2600554254	90963968	520192
2700558848	90963968	520192
2800557047	90963968	520192
2900553859	90963968	520192
3000554026	90963968	520192
3100555207	90963968	520192
3200554228	90963968	520192
3300555969	90963968	520192
3400554682	90963968	520192
3500556977	90963968	520192
3600555263	90963968	520192
3700564299	90963968	520192
3800559495	90963968	520192
3900561224	90963968	520192
4000555111	90963968	520192
4100553341	90963968	520192
4200556649	90963968	520192
4300555626	90963968	520192
4400553329	90963968	520192
4500555065	90963968	520192
4600554881	90963968	520192
4700553667	90963968	520192
4800554393	90963968	520192
4900552847	90963968	520192
5000555881	90963968	520192
5100553212	91488256	520192
5200554536	92012544	524288
5300559120	92667904	524288
5400556103	93192192	524288
5500553405	93847552	524288
5600554812	94371840	528384
5700556945	95027200	528384
5800555643	95682560	528384
5900555452	96206848	532480
6000552958	96862208	532480
6100553453	97517568	532480
6200552328	98041856	532480
6300553168	98697216	536576
6400552204	99352576	536576
6500556597	100007936	536576
6600552273	100663296	540672
6700553991	101318656	540672
6800559315	104071168	548864
6900574171	187564032	708608
7000562566	187564032	708608
7100553431	187564032	708608
7200555735	187564032	708608
7300554798	187564032	708608
7400553253	187564032	708608
7500553940	187564032	708608
7600558017	187564032	708608
7700553276	187564032	708608
7800553788	187564032	708608
7900553588	187564032	708608
8000554761	187564032	708608
8100553033	187564032	708608
8200553123	187564032	708608
8300552748	187564032	708608
8400555553	187564032	708608
8500552909	187564032	708608
8600553789	187564032	708608
8700561040	187564032	708608
8800560479	187564032	708608
8900553946	187564032	708608
9000552465	187564032	708608
9100557048	187564032	708608
9200556925	187564032	708608
9300555231	187564032	708608
9400551747	187564032	708608
9500554633	187564032	708608
9600550774	187564032	708608
9700553783	187564032	708608
9800553864	187564032	708608
9900556461	187564032	708608
10000552856	187564032	708608
10100553228	187564032	708608
10200554025	187564032	708608
10300554551	187564032	708608
10400555093	187564032	708608
10500552077	187564032	708608
10600557185	187564032	708608
10700551276	187564032	708608
10800558741	187564032	708608
10900555998	187564032	708608
11000554994	187564032	708608
11100553439	187564032	708608
11200553640	187564032	708608
11300554230	187564032	708608
11400556835	187564032	708608
11500553461	187564032	708608
11600553977	187564032	708608
11700559591	187564032	708608
11800555940	187564032	708608
11900565569	187564032	708608
12000569233	213032960	761856
12100540122	213032960	761856
12200524242	213032960	761856
12300522951	213032960	761856
12400523352	213032960	761856
12500523131	213032960	761856
12600522418	213032960	761856
12700523136	213032960	761856
12800523522	213032960	761856
12900523276	213032960	761856
13000524244	213032960	761856
13100523053	213032960	761856
13200523607	213032960	761856
13300523373	213032960	761856
13400523576	213032960	761856
13500523410	213032960	761856
13600522450	213032960	761856
13700530708	213032960	761856
13800528853	213032960	761856
13900522835	213032960	761856
14000523704	213032960	761856
14100523341	213032960	761856
14200522881	213032960	761856
14300522398	213032960	761856
14400522760	213032960	761856
14500522959	213032960	761856
14600523142	213032960	761856
14700522908	213032960	761856
14800521708	213032960	761856
14900521206	213032960	761856
15000521358	213032960	761856
15100523538	213032960	761856
15200522473	213032960	761856
15300522771	213032960	761856
15400522679	213032960	761856
15500523615	213032960	761856
15600522895	213032960	761856
15700522127	213032960	761856
15800522432	213032960	761856
15900523506	213032960	761856
16000523505	213032960	761856
16100522853	213032960	761856
16200523670	213032960	761856
16300522868	213032960	761856
16400522333	213032960	761856
16500523048	213032960	761856
16600522238	213032960	761856
16700523296	213032960	761856
16800638838	213032960	761856
16900553181	213032960	761856
17000573546	213032960	761856
17100572672	238067712	811008
17200559717	238067712	811008
17300552838	238067712	811008
17400554230	238067712	811008
17500553217	238067712	811008
17600519791	238067712	811008
17700552745	238067712	811008
17800556652	238067712	811008
17900553235	238067712	811008
18000553563	238067712	811008
18100553283	238067712	811008
18200556763	238067712	811008
18300552504	238067712	811008
18400553049	238067712	811008
18500557055	238067712	811008
18600557498	238067712	811008
18700559141	238067712	811008
18800558419	238067712	811008
18900558630	238067712	811008
19000556576	238067712	811008
19100552689	238067712	811008
19200554389	238067712	811008
19300556290	238067712	811008
19400553143	238067712	811008
19500554201	238067712	811008
19600554364	238067712	811008
19700555791	238067712	811008
19800554804	238067712	811008
19900553923	238067712	811008
20000555271	238067712	811008
20100559880	238067712	811008
20200553392	238067712	811008
20300554634	238067712	811008
20400558101	238067712	811008
20500555815	238067712	811008
20600553809	238067712	811008
20700552965	238067712	811008
20800555050	238067712	811008
20900550933	238067712	811008
21000553009	238067712	811008
21100553936	238067712	811008
21200555910	238067712	811008
21300553780	238067712	811008
21400554016	238067712	811008
21500554770	238067712	811008
21600554983	238067712	811008
21700557164	238067712	811008
21800557112	238067712	811008
21900557896	238067712	811008
22000555439	238067712	811008
22100553229	238067712	811008
22200553490	238067712	811008
22300555314	238067712	811008
22400553380	238067712	811008
22500552879	238067712	811008
22600554358	238067712	811008
22700554492	238067712	811008
22800553757	238067712	811008
22900558603	238067712	811008
23000553520	238067712	811008
23100556094	238067712	811008
23200555675	238067712	811008
23300552639	238067712	811008
23400563533	238067712	811008
23500566931	262840320	856064
23600545927	262840320	856064
23700562745	262840320	856064
23800558656	262840320	856064
23900561808	262840320	856064
24000552279	262840320	856064
24100554201	262840320	856064
24200556347	262840320	856064
24300553075	262840320	856064
24400554866	262840320	856064
24500553890	262840320	856064
24600556219	262840320	856064
24700554517	262840320	856064
24800553460	262840320	856064
24900555026	262840320	856064
25000556296	262840320	856064
25100553896	262840320	856064
25200554238	262840320	856064
25300557746	262840320	856064
25400557346	262840320	856064
25500558253	262840320	856064
25600555102	262840320	856064
25700555457	262840320	856064
25800555518	262840320	856064
25900555959	262840320	856064
26000554734	262840320	856064
26100556728	262840320	856064
26200554224	262840320	856064
26300553860	262840320	856064
26400555525	262840320	856064
26500555876	262840320	856064
26600554334	262840320	856064
26700555229	262840320	856064
26800556650	262840320	856064
26900555772	262840320	856064
27000554895	262840320	856064
27100557249	262840320	856064
27200554821	262840320	856064
27300554607	262840320	856064
27400553940	262840320	856064
27500555083	262840320	856064
27600557112	262840320	856064
27700555464	262840320	856064
27800554179	262840320	856064
27900553933	262840320	856064
28000560287	262840320	856064
28100555686	262840320	856064
28200552617	262840320	856064
28300556206	262840320	856064
28400556296	262840320	856064
28500561554	287420416	901120
28600566536	287420416	901120
28700566401	287420416	901120
28800560993	287420416	901120
28900554436	287420416	901120
29000555361	287420416	901120
29100556233	287420416	901120
29200553229	287420416	901120
29300554508	287420416	901120
29400554868	287420416	901120
29500555228	287420416	901120
29600552294	287420416	901120
29700553131	287420416	901120
29800555375	287420416	901120
29900555662	287420416	901120
30000553687	287420416	901120
30100552786	287420416	901120
30200558544	287420416	901120
30300553339	287420416	901120
30400554498	287420416	901120
30500556784	287420416	901120
30600555003	287420416	901120
30700553602	287420416	901120
30800554305	287420416	901120
30900555510	287420416	901120
31000554943	287420416	901120
31100553942	287420416	901120
31200554488	287420416	901120
31300555250	287420416	901120
31400556209	287420416	901120
31500553021	287420416	901120
31600553789	287420416	901120
31700556826	287420416	901120
31800553066	287420416	901120
31900553617	287420416	901120
32000553399	287420416	901120
32100554491	287420416	901120
32200553906	287420416	901120
32300556559	287420416	901120
32400551335	287420416	901120
32500556215	287420416	901120
32600553454	287420416	901120
32700552951	287420416	901120
32800554902	287420416	901120
32900555664	287420416	901120
33000561201	287420416	901120
33100563095	287420416	901120
33200557090	287420416	901120
33300555606	287420416	901120
33400554836	287420416	901120
33500553292	287420416	901120
33600554537	287420416	901120
33700562077	287420416	901120
33800560448	287420416	901120
33900555218	287420416	901120
34000555644	287420416	901120
34100552849	287420416	901120
34200554655	287420416	901120
34300554661	287420416	901120
34400555072	287420416	901120
34500552641	287420416	901120
34600555207	287420416	901120
34700559878	287420416	901120
34800554799	287420416	901120
34900553759	287420416	901120
35000558831	287420416	901120
35100604478	316432384	970752
35200558890	316432384	970752
35300552904	316432384	970752
35400554877	316432384	970752
35500554654	316432384	970752
35600520407	316432384	970752
35700551684	316432384	970752
35800553674	316432384	970752
35900554085	316432384	970752
36000553183	316432384	970752
36100550920	316432384	970752
36200553685	316432384	970752
36300519924	316432384	970752
36400554620	316432384	970752
36500559035	316432384	970752
36600565270	316432384	970752
36700561352	316432384	970752
