time	rss	kernel
0	667648	143360
100542323	25694208	339968
200568643	42708992	376832
300559918	62369792	413696
400551734	81899520	454656
500555541	101429248	491520
600555624	120565760	528384
700548899	139833344	565248
800553445	159100928	602112
900551296	178368512	638976
1000555470	197242880	675840
1100561740	216117248	716800
1200555852	235384832	757760
1300552789	254783488	794624
1400548778	273526784	831488
1500552275	292139008	868352
1600553368	311275520	905216
1700545774	330543104	942080
1800552111	349679616	978944
1900548105	367898624	1015808
2000558808	386772992	1052672
2100555766	405647360	1089536
2200556581	425046016	1126400
2300552777	444313600	1163264
2400554268	463187968	1200128
2500559868	481931264	1236992
2600551637	501198848	1273856
2700555022	520335360	1310720
2800549949	538947584	1347584
2900594269	557953024	1384448
3000547855	568307712	1404928
3100545741	568438784	1404928
3200540026	568438784	1404928
3300575781	568569856	1404928
3400540326	568569856	1404928
3500558182	569487360	1404928
3600555391	570011648	1404928
3700551457	570667008	1409024
3800549753	570929152	1409024
3900571972	571322368	1413120
4000552053	571977728	1413120
4100550446	572502016	1413120
4200554323	573419520	1417216
4300554237	573288448	1417216
4400550957	573681664	1417216
4500551123	574205952	1417216
4600554399	575254528	1421312
4700550405	576040960	1421312
4800551543	577351680	1421312
4900552840	577875968	1425408
5000553877	577875968	1425408
5100552379	578400256	1425408
5200553201	578400256	1425408
5300553810	578662400	1429504
5400555761	579710976	1429504
5500559329	581808128	1437696
5600545362	582332416	1437696
5700552556	582856704	1437696
5800551184	583774208	1437696
5900552943	585478144	1441792
6000561283	585478144	1441792
6100552940	585478144	1441792
6200551737	585478144	1441792
6300555541	586002432	1441792
6400559971	586002432	1441792
6500549878	587051008	1445888
6600550195	587051008	1445888
6700569840	588623872	1449984
6800553074	592818176	1458176
6900571537	596094976	1466368
7000561352	597139456	1462272
7100550361	598183936	1462272
7200552780	598183936	1462272
7300551729	598183936	1462272
7400552039	598183936	1462272
7500553380	598183936	1462272
7600552905	600281088	1470464
7700571773	600281088	1470464
7800559049	601329664	1470464
7900595183	601329664	1470464
8000559490	601329664	1470464
8100563147	605523968	1482752
8200558483	607621120	1486848
8300559189	609714176	1490944
8400570505	611807232	1490944
8500551198	613904384	1499136
8600565194	616525824	1511424
8700567420	619278336	1515520
8800563352	619278336	1515520
8900560026	620720128	1519616
9000560886	621637632	1519616
9100561293	623341568	1523712
9200553896	624914432	1527808
9300549877	624914432	1527808
9400563068	624914432	1527808
9500564636	625831936	1527808
9600559954	626356224	1527808
9700548298	627535872	1531904
9800559057	628846592	1536000
9900564330	629370880	1536000
10000559361	630288384	1536000
10100560980	630943744	1540096
10200562888	632385536	1540096
10300554876	633565184	1544192
10400550704	634613760	1544192
10500540573	636579840	1548288
10600547250	639070208	1552384
10700550243	642740224	1560576
10800555297	644575232	1564672
10900560089	645623808	1572864
11000556260	645623808	1572864
11100559217	645623808	1572864
11200558933	645623808	1572864
11300557612	645623808	1572864
11400555646	645623808	1572864
11500566660	645623808	1572864
11600565695	645623808	1572864
11700568934	645623808	1572864
11800571047	645623808	1572864
11900555848	645623808	1572864
12000558243	645623808	1572864
12100567919	645623808	1572864
12200564458	645623808	1572864
12300559734	645623808	1572864
12400560149	645623808	1572864
12500570294	645623808	1572864
12600562359	645623808	1572864
12700554388	645623808	1572864
12800551368	645623808	1572864
12900562560	645623808	1572864
13000560237	645623808	1572864
13100558670	645623808	1572864
13200557495	645623808	1572864
13300564908	645623808	1572864
13400562889	645623808	1572864
13500558394	645623808	1572864
13600552430	645623808	1572864
13700545892	645623808	1572864
13800553356	645623808	1572864
13900554993	646672384	1572864
14000557921	646934528	1572864
14100546847	649424896	1576960
14200557295	652177408	1585152
14300552844	654274560	1589248
14400550318	656502784	1593344
14500541228	659124224	1597440
14600555410	661876736	1601536
14700550387	664891392	1609728
14800551275	666464256	1609728
14900551079	669609984	1617920
15000541974	671444992	1622016
15100545720	673280000	1626112
15200563221	673673216	1626112
15300556222	673673216	1626112
15400553033	673673216	1626112
15500554794	673673216	1626112
15600561353	673673216	1626112
15700559542	673673216	1626112
