time	rss	kernel
0	757760	192512
100577058	10067968	339968
200608324	16490496	356352
300607943	22388736	364544
400608338	27631616	376832
500611823	32350208	385024
600611769	36806656	393216
700616448	41000960	401408
800614373	45064192	409600
900612901	48861184	417792
1000616254	52236288	425984
1100612760	55566336	430080
1200613400	58724352	438272
1300608679	61792256	442368
1400611808	64602112	446464
1500610877	67325952	454656
1600612086	70025216	458752
1700613429	72224768	462848
1800613334	74158080	466944
1900612263	76419072	471040
2000614845	78221312	475136
2100614649	80130048	479232
2200616812	82059264	483328
2300610709	84140032	487424
2400614328	85544960	487424
2500617542	87404544	491520
2600604801	88838144	495616
2700608536	90447872	499712
2800615534	91893760	499712
2900618926	93413376	503808
3000616738	94498816	507904
3100610220	96178176	507904
3200614283	97632256	512000
3300614084	98762752	516096
3400617677	100052992	516096
3500612904	101257216	520192
3600614530	102838272	524288
3700614573	103698432	524288
3800615224	104779776	528384
3900625912	106057728	528384
4000614310	107257856	532480
4100614372	108855296	532480
4200614205	109998080	536576
4300615922	110637056	536576
4400617924	112205824	540672
4500614360	112902144	540672
4600616630	114040832	544768
4700613717	115245056	544768
4800613929	116359168	548864
4900616193	117719040	552960
5000618620	118530048	552960
5100612875	119398400	552960
5200606527	120008704	557056
5300611186	121548800	557056
5400614054	122327040	561152
5500614046	123543552	561152
5600613196	123822080	565248
5700614146	124489728	565248
5800614266	129601536	573440
5900610016	132091904	581632
6000608907	133795840	581632
6100608985	135237632	585728
6200611300	136417280	589824
6300612285	137596928	589824
6400614485	138776576	593920
6500612603	139825152	593920
6600614307	140873728	598016
6700601750	141791232	598016
6800595211	142708736	602112
6900613444	143495168	602112
7000611737	144281600	602112
7100610545	144936960	606208
7200614196	145723392	606208
7300614786	146378752	606208
7400613089	146903040	610304
7500612804	147558400	610304
7600613470	148213760	610304
7700614335	148738048	610304
7800617882	149393408	614400
7900610331	149917696	614400
8000613172	150573056	614400
8100612700	151097344	618496
8200609530	151621632	618496
8300613401	152014848	618496
8400611512	152539136	618496
8500615142	153194496	622592
8600615586	153587712	622592
8700613023	153980928	622592
8800611904	154505216	622592
8900612242	155029504	622592
9000614166	155422720	626688
9100596155	155815936	626688
9200600166	156340224	626688
9300615219	156864512	626688
9400595257	157257728	630784
9500592606	157650944	630784
9600601093	158044160	630784
9700596191	158306304	630784
9800613264	158830592	630784
9900598108	159223808	630784
10000617681	159748096	634880
10100613546	160010240	634880
10200611982	160403456	634880
10300614073	160927744	634880
10400612069	161320960	634880
10500613945	161583104	638976
10600615122	161976320	638976
10700618380	162369536	638976
10800617841	162631680	638976
10900614493	163024896	638976
11000615250	163418112	638976
11100607359	163680256	643072
11200611080	164073472	643072
11300615198	164335616	643072
11400612481	164728832	643072
11500613755	164990976	643072
11600613424	165515264	643072
11700614075	165646336	647168
11800614902	166170624	647168
11900606727	166432768	647168
12000608797	166694912	647168
12100611972	166957056	647168
12200616306	167481344	647168
12300596885	167743488	651264
12400607589	168005632	651264
12500612973	168398848	651264
12600612914	168660992	651264
12700612844	168923136	651264
12800613117	169447424	651264
12900612052	169709568	651264
13000613555	169971712	655360
13100614937	170233856	655360
13200612511	170758144	655360
13300613123	171020288	655360
13400616875	171282432	655360
13500613789	171413504	655360
13600612050	171806720	655360
13700614462	172199936	659456
13800615282	172593152	659456
13900610877	172724224	659456
14000615707	173117440	659456
14100591574	173379584	659456
14200618537	173641728	659456
14300603931	174034944	659456
14400612312	174297088	663552
14500614518	174690304	663552
14600613901	174952448	663552
14700618483	175083520	663552
14800615606	175476736	663552
14900615187	175738880	663552
15000612779	175869952	663552
15100612888	176263168	667648
15200610050	176525312	667648
15300613793	176787456	667648
15400616462	177049600	667648
15500611169	177180672	667648
15600611256	177442816	667648
15700617673	177836032	667648
15800613819	178229248	667648
15900608551	178491392	671744
16000612531	178622464	671744
16100615672	178884608	671744
16200617765	179015680	671744
16300613999	179277824	671744
16400612750	179671040	671744
16500621684	179802112	671744
16600614224	180064256	671744
16700604506	180457472	675840
16800613197	180719616	675840
16900611627	180850688	675840
17000613201	180981760	675840
17100611805	181506048	675840
17200609998	181637120	675840
17300596127	181899264	675840
17400598841	182030336	675840
17500612057	182292480	675840
17600593190	182685696	679936
17700596754	182816768	679936
17800620952	182947840	679936
17900607409	185307136	684032
18000593969	188715008	688128
18100612073	191074304	696320
18200594361	193171456	700416
18300596368	195006464	700416
18400588154	196579328	704512
18500591673	198021120	708608
18600591868	199331840	712704
18700592860	200642560	712704
18800611376	201953280	716800
18900597239	203001856	716800
19000611071	204050432	720896
19100613628	204967936	720896
19200574148	206016512	724992
19300568799	206802944	724992
19400586918	207589376	724992
19500568769	208375808	729088
19600569877	209162240	729088
19700569262	209817600	733184
19800569268	210604032	733184
19900564184	211259392	733184
20000567821	211783680	733184
20100567879	212439040	737280
20200569402	212963328	737280
20300567098	213749760	737280
20400585961	214405120	741376
20500569460	214929408	741376
20600570694	215584768	741376
20700569274	216240128	745472
20800563653	216633344	745472
20900563997	217157632	745472
21000560876	217681920	745472
21100570387	218206208	749568
21200572309	218730496	749568
21300569600	219123712	749568
21400587536	219516928	749568
21500571405	220041216	749568
21600569985	220696576	753664
21700576036	221089792	753664
21800596276	221614080	753664
21900568991	222007296	753664
22000570242	222400512	757760
22100570597	222924800	757760
22200569202	223318016	757760
22300567231	223842304	757760
22400627871	224235520	757760
22500612878	224628736	761856
22600612370	225153024	761856
22700600891	225546240	761856
22800612405	225939456	761856
22900612026	226463744	761856
23000604889	226725888	765952
23100612803	227119104	765952
23200614637	227381248	765952
23300602395	227905536	765952
23400596227	228298752	765952
23500613532	228560896	765952
23600612846	228823040	770048
23700608091	229347328	770048
23800612227	229740544	770048
23900686291	230002688	770048
24000839067	230395904	770048
24100616493	230789120	770048
24200611294	231182336	774144
24300597784	231575552	774144
24400597841	231968768	774144
24500612357	232361984	774144
24600614399	232624128	774144
24700614585	233017344	778240
24800615050	233410560	778240
24900617477	233803776	778240
25000613638	233934848	778240
25100614913	234459136	778240
25200611414	234721280	778240
25300599687	234983424	778240
25400595221	235245568	782336
25500611723	235507712	782336
25600609507	235900928	782336
25700612556	236294144	782336
25800613478	236425216	782336
25900610893	236949504	782336
26000615405	237211648	786432
26100620413	237473792	786432
26200612341	237867008	786432
26300613655	238129152	786432
26400617490	238391296	786432
26500619202	238915584	786432
26600608391	239046656	786432
26700617983	239308800	790528
26800615103	239702016	790528
26900606842	239964160	790528
27000617722	240357376	790528
27100617399	240750592	790528
27200608071	240750592	790528
27300611626	241274880	790528
27400614692	241668096	794624
27500612983	241930240	794624
27600613219	242192384	794624
27700612664	242454528	794624
27800597178	242716672	794624
27900608002	242847744	794624
28000635423	243372032	794624
28100602679	243503104	798720
28200610420	243896320	798720
28300615776	244289536	798720
28400597207	244551680	798720
28500612859	244813824	798720
28600611313	245075968	798720
28700612685	245469184	802816
28800614563	245731328	802816
28900614276	245993472	802816
29000617522	246386688	802816
29100612268	246517760	802816
29200614753	246779904	802816
29300612399	247173120	802816
29400611227	247566336	802816
29500609106	247566336	806912
29600613002	247959552	806912
29700615276	248352768	806912
29800615235	248352768	806912
29900610853	248877056	806912
30000617410	249139200	806912
30100614372	249270272	806912
30200618669	249663488	806912
30300615850	249794560	811008
30400620671	250056704	811008
30500610392	250318848	811008
30600611793	250712064	811008
30700610606	250974208	811008
30800612235	251236352	811008
30900619844	251629568	811008
31000611434	251760640	811008
31100615807	252022784	815104
31200620279	252416000	815104
31300612777	252547072	815104
31400614858	252678144	815104
31500614065	253071360	815104
31600614916	253202432	815104
31700612191	253464576	815104
31800613486	253726720	815104
31900611003	253857792	815104
32000594914	254251008	819200
32100613250	254513152	819200
32200614770	254906368	819200
32300616401	255037440	819200
32400613404	255430656	819200
32500613586	255561728	819200
32600610581	255823872	819200
32700615560	256086016	823296
32800612134	256217088	823296
32900612762	256610304	823296
33000615966	256741376	823296
33100614975	256872448	823296
33200610857	257265664	823296
33300614501	257527808	823296
33400676100	257921024	823296
33500595593	257921024	823296
33600612439	258183168	827392
33700611698	258445312	827392
33800617758	258707456	827392
33900609741	258969600	827392
34000611638	258969600	827392
34100613938	259362816	827392
34200614683	259493888	827392
