time	rss	kernel
0	729088	139264
100508566	57290752	471040
200550280	90976256	540672
300533122	93335552	544768
400551344	100544512	561152
500517341	100544512	561152
600533835	107884544	577536
700561649	114569216	589824
800545911	123219968	606208
900542903	158609408	679936
1000529237	158609408	679936
1100523983	158609408	679936
1200523827	429797376	1212416
1300541210	700854272	1744896
1400528194	700854272	1744896
1500510404	700854272	1744896
1600508365	700854272	1744896
1700508680	700854272	1744896
1800509885	700854272	1744896
1900508975	700854272	1744896
2000510726	705048576	1753088
2100515691	707407872	1753088
2200535150	136212480	1761280
2300525095	140144640	1761280
2400521972	170553344	1761280
2500517883	172126208	1761280
2600520079	173830144	1761280
2700521398	179204096	1761280
2800521682	179466240	1761280
2900517718	180514816	1761280
3000523191	181694464	1761280
3100519114	183136256	1761280
3200524674	184446976	1761280
3300523866	185495552	1761280
3400522901	186806272	1761280
3500526398	204238848	1761280
3600525806	178286592	1761280
3700514668	179335168	1761280
3800517215	179466240	1761280
3900515965	179466240	1761280
4000516888	179466240	1761280
4100522525	183660544	1761280
4200516554	183660544	1761280
4300518448	183660544	1761280
4400522808	183660544	1761280
4500514055	183660544	1761280
4600518834	183660544	1761280
4700529021	183660544	1761280
4800535179	164646912	1765376
4900525927	164646912	1765376
5000513618	164646912	1765376
5100509494	164646912	1765376
5200512061	164646912	1765376
5300537676	164646912	1765376
5400512175	164646912	1765376
5500509929	164646912	1765376
5600509565	164646912	1765376
5700508706	164646912	1765376
5800510288	164646912	1765376
5900508778	164646912	1765376
6000513009	164646912	1765376
6100510270	164646912	1765376
6200507708	164646912	1765376
6300509948	164646912	1765376
6400510890	164646912	1765376
6500507546	164646912	1765376
6600510663	164646912	1765376
6700528685	167661568	1765376
6800532365	167661568	1765376
6900532393	167661568	1765376
7000537625	167661568	1765376
7100532181	167661568	1765376
7200531902	167661568	1765376
7300554541	167661568	1765376
7400546716	167661568	1765376
7500554358	167661568	1765376
7600539035	167661568	1765376
7700536847	168448000	1765376
7800517559	168448000	1765376
7900520292	168448000	1765376
8000516268	168448000	1765376
8100532338	168448000	1765376
8200521148	168448000	1765376
8300516128	168448000	1765376
8400513677	168448000	1765376
8500512327	168448000	1765376
8600515610	168448000	1765376
8700512944	168448000	1765376
8800515538	168448000	1765376
8900508650	168448000	1765376
9000511580	168448000	1765376
9100508153	168448000	1765376
9200507962	168448000	1765376
9300508879	168448000	1765376
9400510469	168448000	1765376
9500511638	168448000	1765376
9600508293	168448000	1765376
9700509653	168448000	1765376
9800509431	168448000	1765376
9900508997	168448000	1765376
10000529819	168448000	1765376
10100531716	168448000	1765376
10200537610	168448000	1765376
10300537134	168448000	1765376
10400549701	168448000	1765376
10500550093	168448000	1765376
10600551389	168448000	1765376
10700556811	168448000	1765376
10800542324	168448000	1765376
10900554420	165347328	1765376
11000548414	394985472	1765376
11100550571	450691072	1765376
11200555916	645201920	1765376
11300549055	645201920	1765376
11400550274	645201920	1765376
11500553244	645201920	1765376
11600541037	645201920	1765376
11700551826	645201920	1765376
11800552005	645201920	1765376
11900550209	645201920	1765376
12000549218	645201920	1765376
12100550347	645201920	1765376
12200548549	645201920	1765376
12300551814	645201920	1765376
12400543867	645201920	1765376
12500547050	645201920	1765376
12600547450	645201920	1765376
12700548863	645201920	1765376
12800549458	645201920	1765376
12900545639	645201920	1765376
13000548449	645201920	1765376
13100551109	645201920	1765376
13200548037	645201920	1765376
13300552140	645201920	1765376
13400548936	645201920	1765376
13500532365	645201920	1765376
13600544566	645201920	1765376
13700548819	645201920	1765376
13800533886	645201920	1765376
13900548242	645201920	1765376
14000539869	645201920	1765376
14100546515	645201920	1765376
14200541375	645201920	1765376
14300551476	742588416	1867776
14400541304	873254912	2125824
14500521978	891924480	2195456
14600520639	678817792	2224128
14700531431	344719360	2224128
14800550918	163966976	2224128
14900545735	165146624	2224128
15000537957	165146624	2224128
15100536909	165146624	2224128
15200524537	165146624	2224128
15300541452	165146624	2224128
15400528194	165146624	2224128
15500517921	165146624	2224128
15600567017	165146624	2224128
15700525624	165146624	2224128
15800529033	165146624	2224128
15900534334	165146624	2224128
16000525870	165146624	2224128
16100534603	165146624	2224128
16200532048	165146624	2224128
16300532819	165146624	2224128
16400522660	165146624	2224128
16500527507	165146624	2224128
16600526769	165146624	2224128
16700524150	165146624	2224128
16800523197	165146624	2224128
16900534929	165146624	2224128
17000530921	165146624	2224128
17100521475	165146624	2224128
17200520227	165146624	2224128
17300527570	165146624	2224128
17400517506	165146624	2224128
17500511075	165146624	2224128
17600510608	165146624	2224128
17700511441	165146624	2224128
17800511021	165146624	2224128
17900506770	165146624	2224128
18000512823	165146624	2224128
18100510687	165146624	2224128
18200506805	165146624	2224128
18300530269	165273600	2224128
18400523769	165273600	2224128
18500519813	165273600	2224128
18600511476	165928960	2224128
18700510417	168157184	2224128
18800512115	170385408	2224128
18900513714	172613632	2224128
19000516937	176545792	2224128
19100520092	176545792	2224128
19200515779	176545792	2224128
19300516881	176545792	2224128
19400519477	176545792	2224128
19500532074	179560448	2224128
19600529312	179527680	2224128
19700541624	179527680	2224128
19800558306	179527680	2224128
19900554128	179527680	2224128
20000555614	179527680	2224128
20100562693	179527680	2224128
20200557839	179527680	2224128
20300541740	179527680	2224128
20400542732	179527680	2224128
20500537541	179527680	2224128
20600534114	179527680	2224128
20700558272	179527680	2224128
20800556430	179527680	2224128
20900539703	179527680	2224128
21000539568	179527680	2224128
21100536783	179527680	2224128
21200559495	179527680	2224128
21300546937	179527680	2224128
21400555471	179527680	2224128
21500556620	179527680	2224128
21600569967	179527680	2224128
21700530403	179527680	2224128
21800560789	179527680	2224128
21900555411	179527680	2224128
22000555898	179527680	2224128
22100544930	179527680	2224128
22200558231	179527680	2224128
22300550847	179527680	2224128
22400550869	179527680	2224128
22500542444	181755904	2224128
22600537845	197353472	2224128
22700541974	186171392	2224128
22800554109	252100608	2224128
22900557615	284868608	2224128
23000529841	285786112	2224128
23100534528	286048256	2224128
23200536733	209747968	2224128
23300513949	210796544	2224128
23400517544	210796544	2224128
23500511042	210796544	2224128
23600515022	208179200	2224128
23700518457	209227776	2224128
23800509698	209227776	2224128
23900509623	209227776	2224128
24000518852	207962112	2224128
24100528312	207962112	2224128
24200528021	210190336	2224128
24300537700	211894272	2224128
24400528153	212680704	2224128
24500511247	213073920	2224128
24600509273	213073920	2224128
24700518467	213204992	2224128
24800525767	220938240	2224128
24900531005	213864448	2224128
25000541223	223301632	2224128
25100550168	215470080	2224128
25200542546	215994368	2224128
25300537433	150978560	2252800
25400546563	155156480	2252800
25500530292	165642240	2252800
25600542523	143065088	2252800
25700537964	167444480	2252800
25800529040	153067520	2252800
25900527462	155951104	2252800
26000526406	156213248	2252800
26100543920	157786112	2252800
26200547059	161554432	2252800
26300528363	162676736	2252800
26400542504	146468864	2256896
