time	rss	kernel
0	884736	192512
100496598	45289472	479232
200527885	62590976	512000
300521993	70848512	528384
400517254	84348928	557056
500517526	196153344	778240
600502665	198774784	786432
700503593	87146496	790528
800530029	96059392	790528
900532799	102744064	790528
1000529436	98811904	790528
1100528819	99938304	790528
1200520028	100593664	790528
1300501631	100593664	790528
1400504545	103133184	790528
1500537301	103133184	790528
1600518924	97456128	790528
1700515289	97456128	790528
1800516512	88440832	790528
1900455340	99975168	790528
2000443782	89153536	790528
2100456419	186146816	798720
2200521438	186146816	798720
2300499081	186146816	798720
2400502919	186146816	798720
2500518967	186146816	798720
2600515519	186146816	798720
2700543998	186146816	798720
2800521354	186146816	798720
2900532981	201576448	823296
3000534258	138416128	876544
3100535491	95461376	876544
3200525897	91983872	876544
3300512728	92508160	876544
3400440098	95653888	876544
3500501769	96047104	876544
3600517789	96047104	876544
3700517561	96047104	876544
3800525300	101478400	876544
3900517528	114847744	876544
4000502546	118386688	876544
4100520753	120090624	876544
4200519265	111955968	876544
4300527500	112066560	876544
4400529313	112066560	876544
4500541707	112066560	876544
4600531015	112066560	876544
4700523857	112066560	876544
4800525272	112066560	876544
4900539302	112066560	876544
5000542114	112066560	876544
5100539244	112066560	876544
5200520092	112066560	876544
5300530018	112066560	876544
5400524709	112066560	876544
5500529295	112066560	876544
5600532238	112066560	876544
5700554664	112066560	876544
5800538133	112066560	876544
5900527603	113246208	876544
6000525900	115720192	876544
6100517184	138133504	876544
6200520370	139051008	876544
6300518410	119500800	876544
6400517774	118841344	876544
6500527906	118841344	876544
6600536805	118841344	876544
6700517868	120152064	876544
6800522453	122380288	876544
6900523559	123842560	876544
7000523619	86814720	892928
7100533003	74780672	892928
7200528737	76025856	892928
7300484922	89657344	892928
7400525620	198971392	1003520
7500522303	201199616	1003520
7600523091	92798976	1003520
7700526289	95289344	1003520
7800518720	95170560	1003520
7900522549	96088064	1003520
8000533835	89542656	1003520
8100523745	91115520	1003520
8200517982	91115520	1003520
8300538617	99569664	1003520
8400528386	99569664	1003520
8500503533	85938176	1003520
8600489084	86724608	1003520
8700473266	86577152	1003520
8800483282	92344320	1003520
8900483775	83091456	1003520
9000477201	175652864	1007616
9100466650	175652864	1007616
9200469255	175652864	1007616
9300499211	175652864	1007616
9400524266	175652864	1007616
9500522876	175652864	1007616
9600508722	175652864	1007616
9700499250	175652864	1007616
9800528734	189546496	1007616
9900488207	167325696	1007616
10000533718	85745664	1007616
10100524995	86073344	1007616
10200524110	80703488	1007616
10300518438	81096704	1007616
10400519857	81096704	1007616
10500473113	90238976	1007616
10600504811	86945792	1007616
10700515641	87470080	1007616
10800501820	89567232	1007616
10900518009	89567232	1007616
11000539135	89931776	1007616
11100538191	89931776	1007616
11200518619	89931776	1007616
11300473932	89931776	1007616
11400523344	89931776	1007616
11500528966	89931776	1007616
11600539432	89931776	1007616
11700539487	89931776	1007616
11800527027	89931776	1007616
11900536560	89931776	1007616
12000520986	89931776	1007616
12100542340	89931776	1007616
12200522145	89931776	1007616
12300527007	96616448	1007616
12400533011	121696256	1007616
12500526704	123269120	1007616
12600524887	102825984	1007616
12700515129	103350272	1007616
12800514898	101101568	1007616
12900446731	101097472	1007616
13000556316	102146048	1007616
13100516888	102146048	1007616
13200534301	102297600	1007616
13300513356	103305216	1007616
