time	rss	kernel
0	749568	196608
100556445	58748928	528384
200563722	65040384	540672
300580993	68055040	544768
400591488	91123712	589824
500610158	131231744	671744
600583172	131231744	671744
700564693	230846464	868352
800552674	330461184	1064960
900548582	330461184	1064960
1000551103	334393344	1073152
1100574434	111570944	1073152
1200565340	136605696	1073152
1300554087	138047488	1073152
1400550674	138571776	1073152
1500557765	140144640	1073152
1600551769	140144640	1073152
1700549547	140144640	1073152
1800563453	140144640	1073152
1900554008	140144640	1073152
2000551035	140144640	1073152
2100550223	140144640	1073152
2200548974	140144640	1073152
2300546686	140144640	1073152
2400547491	140144640	1073152
2500546323	140144640	1073152
2600548883	140144640	1073152
2700548979	140144640	1073152
2800560069	146042880	1073152
2900566573	146173952	1073152
3000570095	146173952	1073152
3100567863	124862464	1073152
3200557739	125517824	1073152
3300562381	109527040	1073152
3400554698	110968832	1073152
3500550863	110968832	1073152
3600550042	110968832	1073152
3700550510	110968832	1073152
3800545954	110968832	1073152
3900548992	110968832	1073152
4000555692	110968832	1073152
4100545464	110968832	1073152
4200547910	111230976	1073152
4300564892	124338176	1073152
4400622078	124338176	1073152
4500614076	124469248	1073152
4600557878	113778688	1073152
4700578089	227323904	1073152
4800575097	271626240	1073152
4900564271	271626240	1073152
5000568522	271626240	1073152
5100568324	271626240	1073152
5200567307	271626240	1073152
5300569082	271626240	1073152
5400569394	271626240	1073152
5500580188	271626240	1073152
5600579160	271626240	1073152
5700564371	271626240	1073152
5800568756	271605760	1073152
5900587824	271605760	1073152
6000586635	271605760	1073152
6100565000	271605760	1073152
6200566693	271605760	1073152
6300568879	271605760	1073152
6400568890	271605760	1073152
6500584834	271605760	1073152
6600572948	271605760	1073152
6700572684	271605760	1073152
6800565666	271605760	1073152
6900561766	271605760	1073152
7000568911	271605760	1073152
7100568659	271605760	1073152
7200583298	271605760	1073152
7300569591	271605760	1073152
7400564470	271605760	1073152
7500563103	284258304	1073152
7600556051	280530944	1159168
7700588450	117760000	1159168
7800595181	117760000	1159168
7900589940	121561088	1159168
8000579523	122085376	1159168
8100578005	122085376	1159168
8200553570	122085376	1159168
8300547008	122085376	1159168
8400549490	122085376	1159168
8500547265	122085376	1159168
8600547635	122085376	1159168
8700548680	122085376	1159168
8800567541	165601280	1159168
8900557555	138489856	1159168
9000552393	146092032	1159168
9100567883	149237760	1159168
9200568134	151203840	1159168
9300560683	151203840	1159168
9400566082	143712256	1159168
9500595131	146391040	1159168
9600579516	164126720	1159168
9700575969	160792576	1159168
9800570491	153088000	1159168
9900549647	153088000	1159168
10000554534	151429120	1159168
10100554526	151429120	1159168
10200548613	151560192	1159168
10300567374	151560192	1159168
10400557904	153001984	1159168
10500554204	153133056	1159168
10600568497	160079872	1159168
10700558574	159268864	1163264
10800562057	158220288	1163264
10900555458	93384704	1187840
11000578205	87863296	1187840
11100564713	80080896	1187840
11200574884	82702336	1187840
11300569985	114290688	1187840
11400576853	101519360	1187840
11500556111	101212160	1187840
11600552306	101212160	1187840
11700560052	92352512	1187840
11800555838	92614656	1187840
11900570341	103624704	1187840
12000566815	115486720	1187840
12100557405	115486720	1187840
12200552299	115486720	1187840
12300562841	101224448	1187840
12400582391	101126144	1187840
12500556904	101388288	1187840
12600558291	100478976	1187840
12700572520	101003264	1187840
12800559503	103362560	1187840
12900573277	115945472	1187840
13000572698	110075904	1187840
13100552439	110469120	1187840
13200557701	115056640	1187840
13300547762	113070080	1191936
13400589856	86364160	1200128
13500580089	92917760	1200128
13600562977	85561344	1200128
13700560360	92508160	1200128
13800560593	94474240	1200128
13900553563	82235392	1204224
14000575126	84070400	1204224
14100575835	86953984	1204224
14200576937	90230784	1204224
14300574910	90230784	1208320
14400583615	90492928	1208320
14500561898	91672576	1208320
14600570034	91672576	1208320
14700560522	91934720	1208320
