time	rss	kernel
0	811008	196608
100535360	11206656	405504
200552030	51941376	483328
300558256	61247488	499712
400549696	71733248	520192
500547538	77107200	532480
600561102	87330816	552960
700573605	87330816	552960
800577514	94408704	569344
900567465	97685504	569344
1000554147	157978624	688128
1100574076	157978624	688128
1200541050	157978624	688128
1300542851	157978624	688128
1400564068	387485696	1142784
1500571813	440963072	1245184
1600567135	440963072	1245184
1700549641	444108800	1253376
1800588887	445812736	1257472
1900541466	446861312	1257472
2000556112	125489152	1265664
2100550305	159174656	1265664
2200545605	167694336	1265664
2300547142	169791488	1265664
2400505673	174379008	1265664
2500550380	175689728	1265664
2600550929	179884032	1265664
2700550427	173723648	1265664
2800541392	173723648	1265664
2900545410	173723648	1265664
3000543130	173723648	1265664
3100548717	169529344	1265664
3200550619	165085184	1265664
3300540296	165085184	1265664
3400538831	165085184	1265664
3500537930	165085184	1265664
3600538214	165085184	1265664
3700500003	165085184	1265664
3800535449	165085184	1265664
3900538229	165085184	1265664
4000539720	165085184	1265664
4100532641	165085184	1265664
4200536656	165085184	1265664
4300556024	171245568	1265664
4400560566	171245568	1265664
4500555291	171245568	1265664
4600582959	171245568	1265664
4700573866	171245568	1265664
4800561374	172818432	1265664
4900544923	173211648	1265664
5000506620	173473792	1265664
5100542401	173735936	1265664
5200544099	173735936	1265664
5300539420	173735936	1265664
5400539714	173735936	1265664
5500535613	173735936	1265664
5600538018	173735936	1265664
5700534489	173735936	1265664
5800540458	173735936	1265664
5900537100	173735936	1265664
6000536341	173735936	1265664
6100550018	172687360	1265664
6200560012	172687360	1265664
6300557446	172687360	1265664
6400580079	172687360	1265664
6500578105	121974784	1265664
6600573626	227356672	1265664
6700567207	288665600	1265664
6800568167	347516928	1265664
6900575079	352235520	1265664
7000575126	352235520	1265664
7100574528	352235520	1265664
7200574241	352235520	1265664
7300575257	352235520	1265664
7400571774	352235520	1265664
7500576484	352235520	1265664
7600580867	352235520	1265664
7700575505	352235520	1265664
7800575200	352235520	1265664
7900575089	352235520	1265664
8000578910	352235520	1265664
8100581409	352235520	1265664
8200580153	352235520	1265664
8300577111	352235520	1265664
8400573513	352235520	1265664
8500572660	352235520	1265664
8600577087	352235520	1265664
8700582197	352235520	1265664
8800574716	352235520	1265664
8900572453	352235520	1265664
9000570254	352235520	1265664
9100563805	409235456	1318912
9200561096	166043648	1351680
9300558967	129744896	1351680
9400568749	131186688	1351680
9500567529	132341760	1351680
9600574997	133914624	1351680
9700568262	136798208	1351680
9800541312	136798208	1351680
9900544214	136798208	1351680
10000546913	136798208	1351680
10100545479	136929280	1351680
10200543751	137060352	1351680
10300543595	137060352	1351680
10400549725	137191424	1351680
10500543007	138371072	1351680
10600547547	138764288	1351680
10700547201	139157504	1351680
10800584519	139419648	1351680
10900536672	139812864	1351680
11000538033	140206080	1351680
11100536402	140599296	1351680
11200541428	141254656	1351680
11300500788	141778944	1351680
11400538967	142434304	1351680
11500549550	145580032	1351680
11600557420	146006016	1351680
11700554754	162652160	1351680
11800546409	187686912	1351680
11900555181	216653824	1355776
12000540341	230809600	1355776
12100539502	236052480	1355776
12200548704	240902144	1355776
12300546560	243261440	1355776
12400569520	159576064	1355776
12500556282	162697216	1355776
12600548069	168071168	1355776
12700554006	173301760	1355776
12800562103	189698048	1355776
12900544704	230985728	1355776
13000559363	233476096	1355776
13100542759	189693952	1355776
13200554985	189693952	1355776
13300533812	189693952	1355776
13400533891	189693952	1355776
13500532588	189693952	1355776
13600531467	189693952	1355776
13700533585	186675200	1355776
13800541654	188903424	1355776
13900504709	188903424	1355776
14000532814	188903424	1355776
14100533511	188903424	1355776
14200530882	188903424	1355776
14300530537	188903424	1355776
14400546953	188903424	1355776
14500545324	188903424	1355776
14600544115	188903424	1355776
14700539299	188903424	1355776
14800549605	189296640	1355776
14900577565	191787008	1355776
15000556683	195063808	1355776
15100551976	198340608	1355776
15200546673	198471680	1355776
15300563971	207777792	1355776
15400553791	199786496	1355776
15500564836	207912960	1355776
15600571364	203706368	1355776
15700576493	204230656	1355776
15800566373	132112384	1388544
15900578131	136830976	1388544
16000574761	139239424	1388544
16100570109	137990144	1388544
16200574188	140218368	1388544
16300544971	135847936	1392640
16400547526	136634368	1392640
16500568328	137420800	1392640
16600576949	138027008	1392640
16700552778	137887744	1396736
16800564263	138690560	1396736
16900553836	17137664	1396736
