time	rss	kernel
0	839680	192512
100538912	56950784	475136
200553175	91160576	548864
300549261	93519872	552960
400556846	100610048	569344
500541621	100610048	569344
600550294	107950080	585728
700550459	114634752	598016
800569449	123678720	614400
900544401	158674944	688128
1000533669	158674944	688128
1100528240	158674944	688128
1200543762	429862912	1220608
1300545234	700919808	1753088
1400534625	700919808	1753088
1500532641	700919808	1753088
1600555866	700919808	1753088
1700537422	700919808	1753088
1800530926	700919808	1753088
1900532263	700919808	1753088
2000538255	705900544	1765376
2100544522	707866624	1769472
2200554833	136540160	1773568
2300554555	144142336	1773568
2400546508	170749952	1773568
2500536748	172322816	1773568
2600535034	174026752	1773568
2700545301	179400704	1773568
2800537554	179531776	1773568
2900537830	180580352	1773568
3000536512	181760000	1773568
3100542773	183201792	1773568
3200542667	184381440	1773568
3300542402	185430016	1773568
3400543884	186740736	1773568
3500551240	202731520	1773568
3600549470	178352128	1773568
3700536970	178745344	1773568
3800534064	179531776	1773568
3900536103	179531776	1773568
4000536632	179531776	1773568
4100542434	183726080	1773568
4200539183	183726080	1773568
4300533861	183726080	1773568
4400536348	183726080	1773568
4500537658	183726080	1773568
4600536498	183726080	1773568
4700538264	183726080	1773568
4800551320	165896192	1777664
4900556774	164712448	1777664
5000543572	164712448	1777664
5100535815	164712448	1777664
5200536936	164712448	1777664
5300535498	164712448	1777664
5400536665	164712448	1777664
5500536712	164712448	1777664
5600535421	164712448	1777664
5700537040	164712448	1777664
5800535269	164712448	1777664
5900534909	164712448	1777664
6000535228	164712448	1777664
6100535249	164712448	1777664
6200537206	164712448	1777664
6300536393	164712448	1777664
6400535915	164712448	1777664
6500540468	164712448	1777664
6600544899	164712448	1777664
6700552947	164712448	1777664
6800555996	167727104	1777664
6900549392	167727104	1777664
7000555907	167727104	1777664
7100559778	167727104	1777664
7200564501	167727104	1777664
7300559385	167727104	1777664
7400554281	167727104	1777664
7500554815	167727104	1777664
7600556158	167727104	1777664
7700553289	168513536	1777664
7800543103	168513536	1777664
7900545307	168513536	1777664
8000544494	168513536	1777664
8100550994	168513536	1777664
8200550372	168513536	1777664
8300544882	168513536	1777664
8400540233	168513536	1777664
8500544845	168513536	1777664
8600541220	168513536	1777664
8700537349	168513536	1777664
8800538870	168513536	1777664
8900538246	168513536	1777664
9000535773	168513536	1777664
9100533439	168513536	1777664
9200535479	168513536	1777664
9300535974	168513536	1777664
9400535682	168513536	1777664
9500536970	168513536	1777664
9600535116	168513536	1777664
9700535566	168513536	1777664
9800534884	168513536	1777664
9900535494	168513536	1777664
10000552175	168513536	1777664
10100559872	168513536	1777664
10200555632	168513536	1777664
10300555056	168513536	1777664
10400555456	168513536	1777664
10500551403	168513536	1777664
10600551535	168513536	1777664
10700553166	168513536	1777664
10800549882	168513536	1777664
10900553090	163840000	1777664
11000554438	348258304	1777664
11100556678	450756608	1777664
11200568823	645267456	1777664
11300554066	645267456	1777664
11400547403	645267456	1777664
11500561161	645267456	1777664
11600584293	645267456	1777664
11700554216	645267456	1777664
11800549691	645267456	1777664
11900549890	645267456	1777664
12000543423	645267456	1777664
12100548999	645267456	1777664
12200548219	645267456	1777664
12300543199	645267456	1777664
12400547047	645267456	1777664
12500546873	645267456	1777664
12600545407	645267456	1777664
12700547551	645267456	1777664
12800545787	645267456	1777664
12900545440	645267456	1777664
13000545472	645267456	1777664
13100549856	645267456	1777664
13200549504	645267456	1777664
13300548688	645267456	1777664
13400548925	645267456	1777664
13500550148	645267456	1777664
13600550021	645267456	1777664
13700548274	645267456	1777664
13800548951	645267456	1777664
13900545709	645267456	1777664
14000545758	645267456	1777664
14100547838	645267456	1777664
14200551720	645267456	1777664
14300558437	739889152	1880064
14400555230	777469952	2138112
14500560667	906407936	2236416
14600554244	678883328	2236416
14700554903	409796608	2236416
14800553939	165212160	2236416
14900550248	165212160	2236416
15000546508	165212160	2236416
15100554132	165212160	2236416
15200553398	165212160	2236416
15300553894	165212160	2236416
15400552061	165212160	2236416
15500556990	165212160	2236416
15600555852	165212160	2236416
15700556788	165212160	2236416
15800557484	165212160	2236416
15900557735	165212160	2236416
16000550280	165212160	2236416
16100556148	165212160	2236416
16200556733	165212160	2236416
16300555492	165212160	2236416
16400553951	165212160	2236416
16500565614	165212160	2236416
16600567445	165212160	2236416
16700555784	165212160	2236416
16800555186	165212160	2236416
16900552725	165212160	2236416
17000545903	165212160	2236416
17100546793	165212160	2236416
17200544646	165212160	2236416
17300550055	165212160	2236416
17400538915	165212160	2236416
17500535856	165212160	2236416
17600535502	165212160	2236416
17700537364	165212160	2236416
17800533662	165212160	2236416
17900536912	165212160	2236416
18000532527	165212160	2236416
18100535837	165212160	2236416
18200547146	197627904	2236416
18300555070	165339136	2236416
18400555483	165339136	2236416
18500547082	165470208	2236416
18600540203	167698432	2236416
18700536600	169926656	2236416
18800537543	172285952	2236416
18900551931	176611328	2236416
19000545501	176611328	2236416
19100544966	176611328	2236416
19200546606	176611328	2236416
19300542085	176611328	2236416
19400554961	179625984	2236416
19500556884	179593216	2236416
19600558827	179593216	2236416
19700558248	179593216	2236416
19800557680	179593216	2236416
19900557493	179593216	2236416
20000549401	179593216	2236416
20100555187	179593216	2236416
20200556447	179593216	2236416
20300557262	179593216	2236416
20400554678	179593216	2236416
20500553041	179593216	2236416
20600542771	179593216	2236416
20700554512	179593216	2236416
20800555784	179593216	2236416
20900556661	179593216	2236416
21000546539	179593216	2236416
21100554104	179593216	2236416
21200554994	179593216	2236416
21300551485	179593216	2236416
21400551368	179593216	2236416
21500561418	179593216	2236416
21600581478	179593216	2236416
21700554747	179593216	2236416
21800555233	179593216	2236416
21900557041	179593216	2236416
22000547971	179593216	2236416
22100551255	179593216	2236416
22200554938	179593216	2236416
22300556910	179593216	2236416
22400556112	179593216	2236416
22500554698	197419008	2236416
22600556415	184197120	2236416
22700555515	239058944	2236416
22800556692	281133056	2236416
22900556183	285851648	2236416
23000542326	285982720	2236416
23100552369	276598784	2236416
23200545907	209813504	2236416
23300539446	210862080	2236416
23400536455	210862080	2236416
23500550106	208244736	2236416
23600543764	209293312	2236416
23700535883	209293312	2236416
23800532297	209293312	2236416
23900550220	208027648	2236416
24000544309	208027648	2236416
24100552349	209862656	2236416
24200548770	211959808	2236416
24300539137	212484096	2236416
24400533824	213139456	2236416
24500534219	213139456	2236416
24600545396	213270528	2236416
24700549885	217202688	2236416
24800550162	213929984	2236416
24900550185	223367168	2236416
25000556303	215535616	2236416
25100552730	215666688	2236416
25200556434	151044096	2265088
25300555890	154304512	2265088
25400550063	157581312	2265088
25500548287	143130624	2265088
25600544230	164757504	2265088
25700548489	153133056	2265088
25800555408	156016640	2265088
25900552463	156278784	2265088
26000551268	157065216	2265088
26100565792	161488896	2265088
26200556314	162742272	2265088
26300553096	146534400	2269184
