time	rss	kernel
0	675840	192512
100512684	13524992	401408
200527856	12804096	405504
300520511	14094336	405504
400521262	18071552	413696
500523625	17289216	417792
600526681	16609280	421888
700526067	16343040	425984
800562127	16949248	425984
900525949	17436672	425984
1000523025	18657280	425984
1100532835	20373504	430080
1200524594	21815296	430080
1300525469	25366528	438272
1400528979	24633344	442368
1500524797	27660288	446464
1600524971	30019584	450560
1700526089	30244864	454656
1800526824	32358400	454656
1900527824	32186368	462848
2000869276	33759232	462848
2100522227	35520512	462848
2200520016	36880384	466944
2300518831	37011456	471040
2400537756	37404672	471040
2500549089	37404672	471040
2600520576	40812544	483328
2700524954	42778624	487424
2800528551	43171840	487424
2900539777	45006848	491520
3000528262	45006848	495616
3100541418	45924352	495616
3200537818	45924352	495616
3300528894	46055424	495616
3400541282	46055424	499712
3500526525	46055424	499712
3600554800	48152576	503808
3700553553	50380800	512000
3800524823	58449920	536576
3900526438	60678144	540672
4000528658	61857792	540672
4100547604	65789952	540672
4200530025	64409600	548864
4300531644	73203712	561152
4400545839	64192512	577536
4500546426	72671232	577536
4600544930	69632000	577536
4700529298	71335936	577536
4800527053	74612736	577536
4900532163	77365248	577536
5000535014	77365248	577536
5100548551	79331328	577536
5200520756	66854912	581632
5300527542	69607424	585728
5400522895	70656000	585728
5500531924	72560640	585728
5600558057	73871360	585728
5700550502	73875456	589824
5800522219	74268672	589824
5900550956	74924032	589824
6000523201	74924032	589824
6100541811	75579392	593920
6200520264	75579392	593920
6300539956	77021184	593920
6400525519	77283328	593920
6500536463	77545472	598016
6600532251	79380480	598016
6700523773	79904768	598016
6800541046	80166912	602112
6900532155	81346560	602112
7000766942	82264064	602112
7100519254	82395136	602112
7200551920	83574784	606208
7300536244	83836928	606208
7400539378	85934080	610304
7500537595	87638016	614400
7600539238	87638016	618496
7700551894	89735168	622592
7800527087	90390528	622592
7900538818	90521600	626688
8000536397	91832320	630784
8100522004	92356608	630784
8200538236	92880896	630784
8300539772	93667328	638976
8400530178	95895552	643072
8500539678	96157696	643072
8600535286	96550912	647168
8700535111	98648064	651264
8800535794	98910208	651264
8900540400	99696640	651264
9000575949	102449152	663552
9100525069	102580224	663552
