time	rss	kernel
0	724992	143360
100469383	26738688	425984
200479021	27787264	425984
300478137	27787264	425984
400482096	27787264	425984
500477895	27787264	425984
600477924	27787264	425984
700481122	27787264	425984
800481203	27918336	425984
900486407	27918336	425984
1000526893	27918336	425984
1100478623	27918336	425984
1200480968	27918336	425984
1300479848	27918336	425984
1400478660	27918336	425984
1500477769	27918336	425984
1600480106	27803648	425984
1700479806	27803648	425984
1800483592	27803648	425984
1900483451	27803648	425984
2000485656	27803648	425984
2100527414	27803648	425984
2200480002	27803648	425984
2300480817	27803648	425984
2400477940	27803648	425984
2500477349	27803648	425984
2600483515	27803648	425984
2700476336	27803648	425984
2800478738	27803648	425984
2900480017	27803648	425984
3000482811	27803648	425984
3100480962	27803648	425984
3200480912	27803648	425984
3300484362	27803648	425984
3400475492	27803648	425984
3500475020	27803648	425984
3600476938	27803648	425984
3700483177	27803648	425984
3800483285	27803648	425984
3900500504	27803648	425984
4000493150	27803648	425984
4100481772	27803648	425984
4200480468	27803648	425984
4300477367	27803648	425984
4400482425	27803648	425984
4500482812	27803648	425984
4600489709	27803648	425984
4700478862	27803648	425984
4800480767	27803648	425984
4900490868	27803648	425984
5000485425	27803648	425984
5100488112	27803648	425984
5200449095	27934720	425984
5300482245	27934720	425984
5400476000	27934720	425984
5500470691	27934720	425984
5600469978	27934720	425984
