time	rss	kernel
0	741376	139264
100550305	27635712	376832
200561577	27766784	376832
300555714	27648000	376832
400557329	27648000	376832
500557229	27648000	376832
600555728	27648000	376832
700550149	27648000	376832
800548807	27648000	376832
900557050	27648000	376832
1000558124	27648000	376832
1100565665	27648000	376832
1200561540	27648000	376832
1300563024	27779072	376832
1400561690	27779072	376832
1500562548	27779072	376832
1600557241	27779072	376832
1700560782	27779072	376832
1800557670	27779072	376832
1900556466	27779072	376832
2000555888	27779072	376832
2100554899	27779072	376832
2200554003	27779072	376832
2300560621	27779072	376832
2400555147	27779072	376832
2500551987	27779072	376832
2600556474	27779072	376832
2700557718	27779072	376832
2800557623	27779072	376832
2900558424	27779072	376832
3000556849	27779072	376832
3100554191	27779072	376832
3200555589	27779072	376832
3300560394	27779072	376832
3400558083	27779072	376832
3500556623	27779072	376832
3600557417	27779072	376832
3700557155	27779072	376832
3800559043	27779072	376832
3900557407	27779072	376832
4000556744	27779072	376832
4100559442	27779072	376832
4200560011	27779072	376832
4300560938	27779072	376832
4400560318	27779072	376832
4500557732	27779072	376832
4600557068	27779072	376832
4700558425	27779072	376832
4800558260	27779072	376832
4900560436	27779072	376832
5000559150	27779072	376832
5100561225	27779072	376832
5200561683	27779072	376832
5300557559	27779072	376832
5400559915	27779072	376832
5500557100	27779072	376832
5600560018	27779072	376832
5700554919	27779072	376832
5800556543	27779072	376832
5900561682	27779072	376832
6000562397	27779072	376832
6100557982	27779072	376832
6200559099	27779072	376832
6300558684	27779072	376832
6400556067	27779072	376832
6500560155	27779072	376832
6600559608	27779072	376832
6700561152	27779072	376832
6800561476	27779072	376832
6900571413	27779072	376832
7000559376	27779072	376832
7100562205	27779072	376832
7200562760	27910144	376832
7300558292	27910144	376832
7400559663	27910144	376832
7500558619	27910144	376832
7600556313	27910144	376832
7700559137	27910144	376832
7800556769	27910144	376832
7900559224	27910144	376832
8000570451	27910144	376832
8100561759	27910144	376832
8200559366	27910144	376832
8300559597	27910144	376832
