time	rss	kernel
0	1019904	233472
100594077	5980160	483328
200617718	7438336	487424
300627492	8916992	487424
400603389	10489856	495616
500611855	10489856	495616
600611752	12062720	499712
700628245	12062720	499712
800635865	13504512	499712
900603607	13504512	499712
1000633159	15077376	503808
1100620780	15077376	503808
1200637387	15077376	503808
1300620135	16650240	507904
1400632553	16650240	507904
1500630301	16650240	507904
1600621985	18223104	512000
1700633358	18223104	512000
1800622137	18223104	512000
1900616374	19140608	516096
2000635411	19795968	516096
2100620916	19795968	516096
2200632999	19795968	516096
2300634250	20058112	516096
2400632604	20058112	516096
2500633477	20058112	516096
2600632026	20058112	516096
2700634652	20320256	516096
2800633652	20320256	516096
2900621894	20320256	516096
3000625770	20713472	516096
3100626226	20713472	516096
3200636672	20713472	516096
3300632287	20713472	516096
3400633487	20975616	520192
3500636399	20975616	520192
3600631613	20975616	520192
3700634990	20975616	520192
3800634824	21237760	520192
3900633011	21237760	520192
4000632881	21237760	520192
4100621371	21368832	520192
4200633043	21630976	520192
4300635514	21630976	520192
4400633719	21630976	520192
4500633249	21893120	520192
4600634027	21893120	520192
4700633519	21893120	520192
4800632575	21893120	520192
4900637148	22024192	520192
5000622067	22024192	520192
5100621604	22024192	520192
5200588601	22024192	520192
5300635600	22155264	520192
5400634912	22155264	520192
5500624127	22155264	520192
5600639006	22286336	520192
5700623961	22286336	520192
5800651112	22286336	520192
5900631630	22286336	520192
6000634809	22417408	520192
6100632343	22417408	520192
6200631977	22417408	520192
6300621636	22417408	520192
6400632616	22548480	520192
6500572788	22548480	520192
6600609836	22548480	520192
6700625375	22679552	520192
6800636398	22679552	520192
6900632956	22679552	520192
7000633276	22679552	520192
7100617107	22810624	520192
7200659038	22810624	520192
7300622893	22810624	520192
