time	rss	kernel
0	765952	192512
100517876	23789568	466944
200525569	25247744	475136
300518325	25247744	475136
400512999	25247744	475136
500514473	25509888	475136
600514026	26165248	475136
700515210	26820608	475136
800514514	27475968	475136
900514382	28131328	475136
1000516098	28786688	475136
1100514895	29704192	475136
1200514880	30359552	475136
1300514072	31014912	475136
1400515092	31539200	475136
1500515294	32063488	475136
1600514312	32587776	475136
1700519106	40648704	516096
1800519238	40648704	516096
1900513702	40648704	516096
2000514088	40648704	516096
