time	rss	kernel
0	806912	196608
100548318	33058816	438272
200567788	33714176	438272
300560401	33648640	438272
400556033	33529856	438272
500556341	33529856	438272
600553994	33529856	438272
700556611	33529856	438272
800555405	33529856	438272
900553954	33529856	438272
1000555657	33529856	438272
1100558035	33529856	438272
1200525056	33529856	438272
1300559669	33529856	438272
1400540179	33529856	438272
1500555149	33529856	438272
1600558316	33529856	438272
1700556111	33529856	438272
1800541300	33529856	438272
