time	rss	kernel
0	790528	192512
100554943	13443072	491520
200583715	22749184	520192
300583412	31268864	532480
400583226	39002112	557056
500586488	45817856	565248
600586344	52240384	585728
700583048	58400768	589824
800585504	64823296	610304
900584724	70320128	618496
1000587929	75038720	622592
1100585565	80281600	643072
1200586973	85000192	655360
1300585731	88932352	655360
1400587191	92864512	671744
1500588775	96690176	675840
1600588539	100753408	684032
1700573915	103768064	684032
1800556544	107438080	704512
1900586688	110977024	708608
2000590628	114253824	712704
2100590307	116875264	716800
2200599065	119365632	724992
2300588036	122773504	733184
2400548796	124723200	733184
2500588254	128000000	737280
2600588970	130162688	741376
2700579139	133046272	749568
2800591344	135405568	757760
2900591413	137240576	761856
3000590533	139730944	765952
3100590242	141828096	765952
3200590685	144056320	770048
3300595858	146415616	778240
3400591877	148643840	782336
3500590278	151265280	790528
3600575422	153231360	790528
3700580021	154484736	794624
3800588593	156712960	798720
3900587331	158810112	802816
4000589982	160120832	806912
4100592671	162742272	815104
4200584308	165486592	819200
4300567813	169680896	823296
4400567454	172171264	835584
4500567934	173875200	839680
4600564360	175562752	839680
4700566827	177004544	847872
4800562978	178315264	847872
4900563331	179888128	847872
5000567250	181067776	856064
5100568238	182509568	860160
5200567803	183689216	860160
5300564387	184868864	860160
5400583553	185786368	860160
5500566496	186834944	864256
5600587889	187752448	868352
5700582360	188669952	868352
5800585381	189710336	868352
5900585684	190627840	868352
6000587777	191414272	872448
6100588467	192069632	876544
6200588002	193249280	880640
6300570516	194035712	884736
6400589853	194691072	884736
6500587536	195477504	884736
6600590389	196263936	884736
6700582371	197181440	884736
6800585910	197836800	884736
6900587464	198754304	888832
7000591203	199147520	888832
7100592364	199933952	892928
7200583445	200687616	892928
7300589773	201342976	892928
7400594031	201867264	892928
7500586107	202260480	897024
7600569198	202915840	901120
7700576096	203702272	901120
7800590550	204357632	905216
7900589941	204881920	905216
8000586085	205537280	905216
8100567665	206192640	909312
8200577862	206848000	909312
8300588172	207241216	909312
8400571390	207896576	909312
8500571527	208289792	909312
8600591024	208707584	909312
8700568033	209231872	909312
8800587159	209625088	909312
8900587209	210411520	913408
9000595980	210804736	913408
9100589319	211066880	913408
9200590587	211853312	917504
9300587108	212508672	921600
9400587411	213164032	921600
9500590412	213557248	925696
9600589177	214081536	925696
9700589243	214736896	925696
9800587420	214999040	925696
9900586553	215392256	925696
10000584970	216047616	925696
10100590280	216440832	925696
10200590747	216834048	925696
10300591997	217358336	925696
10400581714	217882624	929792
10500588914	218537984	933888
10600591411	218669056	933888
10700576710	219062272	933888
10800589669	219717632	933888
10900590201	220504064	933888
11000590865	221159424	933888
11100590447	221814784	937984
11200587359	222208000	937984
11300586529	222470144	937984
11400587675	223125504	942080
11500595266	223649792	942080
11600591832	223911936	942080
11700574464	224174080	946176
11800586434	224698368	950272
11900586525	224960512	950272
12000594590	225091584	950272
12100587095	225746944	950272
12200590483	226140160	950272
12300588276	226402304	950272
12400589291	226664448	950272
12500589612	227319808	950272
12600551545	227581952	950272
12700587552	227844096	950272
12800589872	227975168	950272
12900588216	228630528	950272
13000589541	228892672	950272
13100589762	229154816	950272
13200591168	229679104	954368
13300588269	230195200	954368
13400590268	230588416	958464
13500592898	230981632	958464
13600588799	231505920	958464
13700588779	231768064	958464
13800588943	232030208	958464
13900586830	232161280	958464
14000590065	232816640	958464
14100590239	233078784	958464
14200588350	233603072	962560
14300588123	238977024	974848
14400585610	242515968	978944
14500586626	245399552	991232
14600588498	248152064	999424
14700583185	250380288	999424
14800565819	252608512	1003520
14900572739	254705664	1015808
15000570589	256933888	1015808
15100586241	258768896	1019904
15200580817	260603904	1024000
15300586713	262045696	1024000
15400589326	263815168	1024000
15500588225	265388032	1032192
15600591748	266829824	1036288
15700584180	268140544	1040384
15800586887	269582336	1040384
15900585263	270761984	1044480
16000589515	271941632	1048576
16100587714	273252352	1048576
16200585858	274563072	1048576
16300586756	275742720	1048576
16400587797	276922368	1056768
16500589004	277839872	1060864
16600588639	279019520	1064960
16700587451	279805952	1064960
16800588044	281247744	1064960
16900588823	282165248	1064960
17000588108	283082752	1069056
17100594136	283869184	1073152
17200586397	284786688	1073152
17300591697	285835264	1073152
17400589855	286621696	1073152
17500585730	287539200	1073152
17600588875	288325632	1077248
17700587990	289374208	1085440
17800587498	290160640	1085440
17900587271	291078144	1085440
18000590909	291864576	1089536
18100588653	292519936	1089536
18200587500	293568512	1089536
18300587213	294092800	1089536
18400587071	294879232	1089536
18500586275	296189952	1093632
18600590399	296976384	1093632
18700582553	297762816	1097728
18800591724	298418176	1097728
18900589686	299204608	1101824
19000590167	300122112	1105920
19100585793	300908544	1105920
19200585948	301301760	1105920
19300591541	302055424	1110016
19400594186	302710784	1114112
19500588333	303235072	1114112
19600589320	303890432	1114112
19700578404	304545792	1114112
19800584555	305070080	1114112
19900585440	305856512	1114112
20000584670	306511872	1114112
20100588946	307036160	1118208
20200589607	307429376	1118208
20300589244	308215808	1118208
20400594193	308871168	1118208
20500589774	309395456	1118208
20600589342	310050816	1130496
20700592160	310706176	1130496
20800589915	311099392	1130496
20900587244	311492608	1130496
21000591143	312410112	1130496
21100585485	313065472	1134592
21200588609	313458688	1134592
21300591507	313982976	1134592
21400587473	314769408	1134592
21500590615	315293696	1134592
21600584209	315817984	1134592
21700584780	316473344	1134592
21800587650	316997632	1138688
21900590863	317390848	1138688
22000587106	317652992	1138688
22100590004	318439424	1138688
22200594035	318963712	1142784
22300591089	319619072	1142784
22400589136	320274432	1146880
22500588946	320929792	1146880
22600592791	321454080	1150976
22700585724	321716224	1155072
22800574709	322240512	1155072
22900589424	322764800	1155072
23000591580	323420160	1155072
23100588877	323682304	1155072
23200589281	323944448	1155072
23300589734	324468736	1155072
23400591051	325255168	1159168
23500587778	325648384	1159168
23600586248	325910528	1159168
23700575532	326434816	1159168
23800585768	326819840	1163264
23900585977	327606272	1163264
24000597673	327999488	1163264
24100593758	328392704	1163264
24200588785	328654848	1163264
24300591959	329179136	1163264
24400589851	329834496	1163264
24500589132	330096640	1163264
24600592145	330489856	1163264
24700585785	330883072	1167360
24800588710	331145216	1167360
24900589723	331931648	1171456
25000589503	332062720	1175552
25100590529	332455936	1175552
25200589896	332718080	1175552
25300591904	332980224	1175552
25400583986	333635584	1175552
25500589641	334028800	1175552
25600589144	334290944	1175552
25700589953	334815232	1179648
25800589808	335208448	1179648
25900589263	335863808	1179648
26000592629	336388096	1179648
26100591583	336912384	1183744
26200586719	337436672	1183744
26300588302	337829888	1183744
26400582190	338485248	1183744
26500588358	338747392	1183744
26600587642	339009536	1183744
26700576317	339271680	1183744
26800585192	339533824	1183744
26900575718	340320256	1183744
27000583083	340713472	1187840
27100588690	340975616	1187840
27200590580	341237760	1187840
27300588059	341499904	1187840
27400592869	342286336	1187840
27500588389	342941696	1191936
27600587235	343465984	1196032
27700572595	343597056	1200128
27800589018	343859200	1200128
27900590687	344121344	1200128
28000591932	345038848	1200128
28100589550	345300992	1200128
28200577208	345694208	1200128
28300588690	346218496	1200128
28400593325	346480640	1200128
28500590052	347136000	1200128
28600589076	347398144	1200128
28700591026	347922432	1204224
28800591312	348053504	1204224
28900587157	348577792	1204224
29000586937	349233152	1208320
29100589218	349364224	1208320
29200588443	349626368	1208320
29300589110	349888512	1208320
29400590985	350412800	1208320
29500587676	350674944	1208320
29600587965	351330304	1208320
29700589070	351592448	1208320
29800602325	351854592	1208320
29900594925	352116736	1208320
30000602336	352247808	1208320
30100586512	353034240	1212416
30200597673	353427456	1212416
30300588801	353558528	1212416
30400597582	353951744	1216512
30500577116	354082816	1216512
30600588360	354738176	1224704
30700577501	360505344	1232896
30800590653	364822528	1241088
30900585034	368230400	1253376
31000568628	371245056	1253376
31100567535	373997568	1261568
