time	rss	kernel
0	790528	139264
100534685	13459456	454656
200570508	22896640	483328
300561070	31285248	495616
400549208	39018496	520192
500547678	45727744	528384
600566050	52019200	548864
700566928	58179584	552960
800567566	64602112	573440
900564715	70098944	581632
1000567802	74948608	585728
1100549067	79929344	602112
1200566156	84779008	610304
1300551673	88842240	614400
1400567455	92643328	626688
1500564077	96600064	634880
1600568636	100663296	643072
1700568073	103546880	643072
1800564025	107347968	659456
1900567136	110624768	663552
2000552004	113901568	671744
2100552682	116654080	671744
2200552826	119275520	684032
2300570932	122552320	692224
2400521850	124633088	692224
2500497826	127647744	696320
2600569621	129740800	700416
2700553632	132362240	704512
2800570725	135114752	712704
2900569442	137342976	720896
3000550424	139571200	720896
3100563237	141275136	724992
3200546852	143634432	729088
3300571535	145338368	737280
3400570803	147959808	745472
3500568709	150188032	749568
3600569485	152547328	753664
3700568805	154251264	753664
3800541429	156729344	761856
3900550651	158564352	765952
4000570363	160006144	770048
4100565159	162365440	778240
4200567578	163807232	778240
4300557691	168910848	786432
4400544017	171663360	798720
4500560511	173629440	798720
4600563306	175202304	802816
4700563407	176627712	806912
4800563482	178069504	806912
4900543802	179511296	811008
5000545644	180953088	811008
5100490805	182132736	823296
5200565626	183443456	823296
5300549266	184492032	823296
5400562994	185409536	823296
5500542595	186712064	827392
5600562075	187760640	831488
5700548602	188284928	831488
5800551579	189202432	831488
5900564081	190251008	831488
6000566808	190906368	835584
6100566650	191692800	839680
6200565015	192872448	839680
6300561265	193789952	847872
6400501065	194445312	847872
6500546570	195100672	847872
6600570261	196018176	847872
6700494774	196542464	847872
6800493413	197328896	847872
6900549776	197984256	851968
7000542323	198770688	851968
7100548242	199294976	851968
7200565267	200179712	856064
7300548862	200704000	856064
7400566487	201621504	856064
7500565307	202145792	864256
7600548183	202801152	864256
7700567377	203325440	864256
7800568987	203980800	864256
7900550343	204505088	864256
8000569845	205160448	868352
8100570613	205946880	872448
8200567995	206340096	872448
8300566497	206995456	872448
8400567507	207257600	872448
8500558481	207912960	872448
8600570664	208306176	872448
8700553672	208838656	872448
8800568631	209362944	872448
8900568345	209756160	872448
9000569343	210411520	872448
9100553332	210804736	872448
9200569940	211460096	876544
9300548088	212246528	880640
9400549513	212639744	884736
9500566945	213295104	888832
9600569933	213688320	888832
9700568572	213950464	888832
9800552012	214605824	888832
9900570277	214999040	888832
10000552738	215785472	888832
10100568980	216047616	888832
10200551696	216309760	888832
10300551618	216965120	888832
10400567270	217620480	888832
10500566376	218144768	892928
10600554298	218800128	897024
10700568087	219062272	897024
10800585514	219324416	897024
10900569358	220241920	897024
