time	rss	kernel
0	802816	192512
100593686	13262848	471040
200620751	22568960	499712
300603048	30957568	516096
400621855	38559744	536576
500622490	45375488	548864
600618767	51929088	569344
700622817	58089472	577536
800625999	64512000	593920
900633967	70008832	606208
1000628801	74727424	610304
1100628548	79577088	626688
1200621792	84033536	630784
1300627893	88752128	638976
1400630643	92684288	655360
1500628070	96555008	659456
1600629439	100225024	667648
1700631526	103370752	667648
1800626863	106778624	684032
1900624692	110448640	688128
2000628347	113070080	692224
2100626425	116084736	696320
2200627999	118706176	700416
2300628523	121982976	712704
2400629066	124719104	716800
2500622741	127078400	716800
2600627525	129527808	724992
2700629951	132018176	724992
2800626400	134770688	737280
2900628963	137261056	745472
3000629862	139620352	745472
3100626527	141324288	749568
3200630264	143683584	753664
3300632643	145387520	753664
3400629014	147615744	765952
3500631076	149581824	765952
3600627310	152203264	774144
3700628193	154169344	774144
3800632267	156385280	778240
3900630681	157958144	782336
4000628812	159399936	786432
4100622795	161366016	794624
4200629201	163069952	794624
4300627662	167911424	802816
4400623437	170926080	819200
4500627756	172892160	819200
4600623010	174727168	819200
4700617422	176152576	827392
4800619401	177594368	827392
4900620330	179036160	827392
5000622646	180477952	827392
5100622606	181919744	843776
5200621445	183099392	843776
5300623392	184147968	843776
5400623702	185065472	843776
5500623768	186114048	843776
5600624691	187031552	843776
5700624565	187940864	847872
5800625167	188858368	851968
5900624990	189775872	851968
6000624038	190562304	851968
6100624963	191348736	860160
6200622439	192004096	860160
6300630497	193052672	860160
6400627887	193839104	864256
6500626024	194494464	864256
6600625998	195543040	868352
6700631505	196198400	868352
6800627340	197115904	868352
6900626626	197640192	868352
7000628152	198557696	868352
7100626313	199213056	868352
7200624898	199737344	876544
7300625308	200622080	876544
7400627619	201015296	876544
7500626563	201670656	880640
7600629139	202063872	880640
7700627280	202719232	884736
7800625744	203374592	884736
7900630419	204029952	884736
8000626913	204423168	884736
8100627896	205209600	884736
8200629284	205864960	888832
8300627762	206258176	888832
8400626386	206913536	892928
8500646426	207306752	892928
8600629188	207962112	892928
8700626254	208355328	892928
8800625057	208875520	892928
8900621992	209268736	892928
9000624598	209793024	892928
9100626838	210448384	892928
9200624362	210841600	892928
9300628884	211628032	897024
9400628258	212414464	905216
9500629327	212676608	905216
9600627384	213331968	909312
9700629340	213725184	909312
9800627670	213987328	909312
9900627737	214642688	909312
10000625838	215035904	909312
10100616684	215691264	909312
10200649813	215953408	909312
10300584780	216346624	909312
10400627476	217001984	909312
10500627473	217264128	909312
10600629621	217919488	913408
10700628063	218443776	913408
10800625543	218705920	913408
10900629138	219230208	913408
11000628763	219885568	917504
11100631621	220540928	917504
11200629777	221065216	917504
11300630139	221720576	917504
11400615952	221982720	917504
11500630234	222244864	917504
11600627554	222769152	921600
11700637433	223293440	925696
11800626695	223555584	925696
11900638851	223817728	925696
12000630179	224342016	929792
12100625144	224473088	929792
12200628294	224735232	929792
12300635521	225652736	933888
12400652077	225783808	933888
12500614708	226045952	933888
12600622994	226308096	933888
12700630031	226963456	933888
12800624080	227225600	933888
12900637283	227487744	933888
13000626506	228012032	933888
13100625382	228667392	933888
13200628261	228798464	933888
13300621663	229191680	933888
13400622733	229847040	933888
13500621749	230232064	937984
13600627092	230625280	937984
13700637220	230887424	937984
13800628039	231542784	937984
13900627504	231673856	942080
14000614243	231936000	942080
14100626842	232198144	942080
14200626483	232722432	946176
14300630566	232984576	946176
14400629292	233508864	954368
14500628373	238751744	962560
14600626168	242159616	966656
14700621558	245174272	970752
14800620879	247795712	983040
14900626514	250155008	987136
15000624980	252252160	987136
15100620821	254480384	999424
15200628927	256577536	999424
15300623523	258412544	1003520
15400625815	260116480	1007616
15500627541	261689344	1007616
15600622931	263196672	1011712
15700625939	264769536	1015808
15800624683	266080256	1024000
15900623783	267522048	1024000
16000625252	268963840	1024000
16100627199	270143488	1024000
16200622947	271454208	1032192
16300620879	272896000	1032192
16400587347	274075648	1036288
16500625138	275386368	1036288
16600618567	276434944	1036288
16700626788	277483520	1044480
16800624635	278401024	1048576
16900624924	279318528	1048576
17000633852	280104960	1048576
17100606529	281284608	1048576
17200609701	282202112	1052672
17300624730	283250688	1056768
17400626929	284168192	1056768
17500599429	285085696	1056768
17600608244	285741056	1056768
17700624701	286658560	1056768
17800617313	287707136	1060864
17900629251	288493568	1069056
18000642482	289542144	1073152
18100624067	290197504	1073152
18200628501	291115008	1073152
18300626595	291901440	1073152
18400631074	292687872	1073152
18500625683	293474304	1073152
18600625995	294391808	1077248
18700629366	295047168	1081344
18800627001	296226816	1081344
18900625109	296882176	1081344
19000625049	297537536	1081344
19100628551	298323968	1081344
19200637499	299241472	1089536
19300627713	299896832	1093632
19400623483	300683264	1093632
19500627863	301174784	1093632
19600629742	301699072	1097728
19700627160	302354432	1097728
19800626647	302878720	1097728
19900630937	303665152	1097728
20000634391	304451584	1101824
20100612048	304844800	1101824
20200613386	305369088	1101824
20300629814	305893376	1101824
20400630147	306417664	1101824
20500615647	307073024	1105920
20600626861	307597312	1105920
20700630529	308383744	1105920
20800619054	308908032	1105920
20900613292	309432320	1105920
21000620822	309956608	1110016
21100609686	310611968	1110016
21200651790	311136256	1114112
21300611313	311529472	1114112
21400639368	312315904	1118208
21500618159	312971264	1118208
21600613882	313364480	1122304
21700657468	314019840	1122304
21800610375	314806272	1122304
21900630741	315068416	1122304
22000623810	315461632	1122304
22100611318	315854848	1122304
22200611658	316641280	1122304
22300631378	317165568	1122304
22400620270	317689856	1122304
22500626470	318214144	1122304
22600656078	318738432	1126400
22700637345	319262720	1130496
22800628290	319787008	1130496
22900626521	320442368	1130496
23000629827	321097728	1134592
23100611331	321359872	1134592
23200627468	321622016	1138688
23300627758	322146304	1138688
23400631233	322539520	1138688
23500628718	323194880	1142784
23600632070	323588096	1142784
23700627632	324112384	1142784
23800627994	324374528	1142784
23900623203	325160960	1146880
24000627876	325685248	1146880
24100627268	325947392	1146880
24200620595	326340608	1146880
24300626660	326676480	1146880
24400635522	327331840	1146880
24500630033	327856128	1146880
24600627801	328249344	1146880
24700628522	328511488	1146880
24800632822	328904704	1150976
24900634615	329560064	1150976
25000627894	329953280	1150976
25100625917	330215424	1150976
25200626581	330608640	1155072
25300628111	330739712	1155072
25400626963	331657216	1159168
25500619990	331788288	1159168
25600627529	332050432	1163264
25700628727	332574720	1163264
25800626942	332836864	1163264
25900627903	333492224	1163264
26000631011	334016512	1163264
26100636012	334540800	1163264
26200622290	335065088	1163264
26300622163	335327232	1163264
26400631723	335720448	1163264
26500626887	336244736	1163264
26600636218	336900096	1171456
26700636975	337293312	1171456
26800627887	337555456	1171456
26900627419	337948672	1171456
27000625567	338472960	1171456
27100628200	338735104	1171456
27200633608	338997248	1171456
27300629238	339259392	1171456
27400628627	339783680	1171456
27500634936	340439040	1171456
27600628589	340701184	1171456
27700635363	340963328	1171456
27800638048	341356544	1171456
27900628992	341618688	1171456
28000629360	342274048	1171456
28100635554	342929408	1183744
28200630951	343322624	1183744
28300630100	343584768	1183744
28400626602	343846912	1183744
28500613455	344371200	1187840
28600633241	345288704	1187840
28700618037	345812992	1187840
28800632235	346075136	1187840
28900627001	346337280	1187840
29000629806	346861568	1187840
29100629316	347516928	1187840
29200624275	347779072	1187840
