time	rss	kernel
0	872448	233472
100557557	21078016	552960
200585075	21016576	552960
300591875	21016576	552960
400568824	21016576	552960
500581787	21540864	557056
600581579	21540864	557056
700572342	21540864	557056
800571161	26521600	565248
900585467	26521600	565248
1000577345	26521600	565248
1100579540	26521600	565248
1200563438	27176960	565248
1300581832	27176960	565248
1400557922	27176960	565248
1500567326	33468416	581632
1600586423	33468416	581632
1700568357	33468416	581632
1800595906	33468416	581632
1900579473	33468416	581632
2000595079	34385920	581632
2100591293	34385920	581632
2200566270	34385920	581632
2300582043	34385920	581632
2400577848	34385920	581632
