time	rss	kernel
0	770048	192512
100563121	45862912	544768
200593372	63688704	577536
300596285	70955008	593920
400598478	100315136	667648
500589187	196653056	856064
600575339	200847360	860160
700579152	135892992	868352
800572870	135892992	868352
900555194	135892992	868352
1000573735	135892992	868352
1100595128	100425728	868352
1200585954	91230208	868352
1300569127	90980352	868352
1400579316	102424576	868352
1500590073	102424576	868352
1600587009	90832896	868352
1700585427	90824704	868352
1800586968	90058752	868352
1900580382	101355520	872448
2000599010	151920640	987136
2100599153	187834368	987136
2200564681	187834368	987136
2300577420	187834368	987136
2400571392	187834368	987136
2500567999	187834368	987136
2600564207	187834368	987136
2700568621	187834368	987136
2800567420	187834368	987136
2900580139	205791232	987136
3000602253	145285120	1110016
3100599257	94703616	1110016
3200593358	91201536	1110016
3300609670	95309824	1110016
3400604835	95420416	1110016
3500587203	93622272	1110016
3600571862	93790208	1110016
3700587277	94478336	1110016
3800574951	122281984	1110016
3900577822	118444032	1114112
4000600359	122056704	1114112
4100572313	124022784	1114112
4200584996	124153856	1114112
4300591328	132542464	1114112
4400598343	132542464	1114112
4500608905	132542464	1114112
4600605856	132542464	1114112
4700610265	132542464	1114112
4800609386	132542464	1114112
4900609235	132542464	1114112
5000605388	132542464	1114112
5100600752	132542464	1114112
5200589635	132542464	1114112
5300607450	132542464	1114112
5400606119	132542464	1114112
5500605464	132542464	1114112
5600597857	132542464	1114112
5700606393	132542464	1114112
5800606375	132542464	1114112
5900607195	132542464	1114112
6000608980	110383104	1114112
6100567354	140914688	1122304
6200603561	143667200	1122304
6300593517	144977920	1122304
6400565621	144977920	1122304
6500570367	144977920	1122304
6600566700	144977920	1122304
6700586891	145240064	1122304
6800595259	145764352	1122304
6900586792	122773504	1122304
7000596260	127098880	1122304
7100593418	132603904	1122304
7200587815	110735360	1138688
7300604179	77148160	1138688
7400590665	80424960	1138688
7500603921	145436672	1245184
7600593760	200224768	1355776
7700597218	137281536	1355776
7800597383	137281536	1355776
7900585429	137281536	1355776
8000569462	95727616	1355776
8100597469	95727616	1355776
8200586729	86597632	1355776
8300584440	86622208	1355776
8400583422	86638592	1355776
8500604306	98156544	1355776
8600593042	98156544	1355776
8700588828	86548480	1355776
8800587192	85684224	1355776
8900597615	97013760	1355776
9000609593	97013760	1355776
9100592514	156389376	1470464
9200596386	183652352	1470464
9300587306	183652352	1470464
9400580480	183652352	1470464
9500601729	183652352	1470464
9600585719	183652352	1470464
9700597287	183652352	1470464
9800584806	183652352	1470464
9900597767	183652352	1470464
10000633870	207659008	1470464
10100580493	90296320	1585152
10200603760	87842816	1585152
10300592870	89526272	1585152
10400571432	87138304	1585152
10500586756	86478848	1585152
10600608713	86188032	1585152
10700587348	111140864	1585152
10800592625	93769728	1585152
10900606865	93851648	1585152
11000593878	95817728	1585152
11100603074	103682048	1585152
11200599206	103682048	1585152
11300613353	103682048	1585152
11400609429	103682048	1585152
11500609892	103682048	1585152
11600608424	103682048	1585152
11700609143	103682048	1585152
11800607634	103682048	1585152
11900602855	103682048	1585152
12000598052	103682048	1585152
12100611614	103682048	1585152
12200603359	103682048	1585152
12300608045	103682048	1585152
12400601181	103682048	1585152
12500594982	94937088	1585152
12600599684	129277952	1585152
12700590234	130588672	1585152
12800587112	131375104	1585152
12900582116	131375104	1585152
13000585602	131375104	1585152
13100581027	131375104	1585152
13200594631	131375104	1585152
13300592804	131506176	1585152
13400603311	110055424	1585152
13500601562	114249728	1585152
13600595300	119885824	1585152
