time	rss	kernel
0	864256	196608
100551009	58920960	557056
200577856	92610560	622592
300585425	94314496	630784
400556919	101785600	647168
500560818	101658624	647168
600584189	109391872	663552
700580107	114417664	679936
800577128	125034496	708608
900576540	160030720	774144
1000583911	201711616	856064
1100597298	484171776	1404928
1200580414	702799872	1830912
1300567062	702799872	1830912
1400544166	702799872	1830912
1500547125	702799872	1830912
1600545635	702799872	1830912
1700543728	702799872	1830912
1800544529	702799872	1830912
1900547448	702799872	1830912
2000554112	708042752	1839104
2100557553	709877760	1843200
2200565585	141828096	1855488
2300603955	153100288	1855488
2400559711	176562176	1855488
2500553834	178135040	1855488
2600555366	179576832	1855488
2700556626	184950784	1855488
2800551032	185081856	1855488
2900550403	186130432	1855488
3000557585	187572224	1855488
3100558431	188882944	1855488
3200557476	190062592	1855488
3300556631	191234048	1855488
3400561574	192413696	1855488
3500559445	209977344	1855488
3600559489	210239488	1855488
3700556726	210239488	1855488
3800550952	210239488	1855488
3900548311	210239488	1855488
4000558557	210239488	1855488
4100559742	210239488	1855488
4200554558	210239488	1855488
4300553381	210239488	1855488
4400549697	210239488	1855488
4500558705	210239488	1855488
4600558190	210239488	1855488
4700559164	209321984	1855488
4800572636	172875776	1855488
4900557477	160043008	1855488
5000552068	161558528	1855488
5100549508	161558528	1855488
5200546918	161558528	1855488
5300549552	161427456	1855488
5400549072	161632256	1855488
5500548471	162156544	1855488
5600547185	162156544	1855488
5700549414	162025472	1855488
5800550194	161574912	1855488
5900546305	161648640	1855488
6000549264	161665024	1855488
6100549232	161554432	1855488
6200545551	161570816	1855488
6300547487	161591296	1855488
6400552243	161611776	1855488
6500546958	161632256	1855488
6600548609	161648640	1855488
6700546742	161669120	1855488
6800548781	161685504	1855488
6900560707	171323392	1855488
7000571964	171323392	1855488
7100573817	171323392	1855488
7200575990	171323392	1855488
7300583715	171323392	1855488
7400593423	171323392	1855488
7500587113	171323392	1855488
7600583396	171323392	1855488
7700593120	171323392	1855488
7800587105	171323392	1855488
7900571422	162332672	1855488
8000571771	162328576	1855488
8100551244	162320384	1855488
8200552972	162316288	1855488
8300572829	162312192	1855488
8400559586	160018432	1855488
8500552712	160059392	1855488
8600552721	159436800	1855488
8700552395	160002048	1855488
8800549503	160034816	1855488
8900548143	160075776	1855488
9000541496	160108544	1855488
9100551058	160018432	1855488
9200547770	160059392	1855488
9300539097	160092160	1855488
9400542393	160124928	1855488
9500548688	160034816	1855488
9600546141	160075776	1855488
9700546617	160108544	1855488
9800547003	160141312	1855488
9900537869	160051200	1855488
10000548284	160083968	1855488
10100545751	160124928	1855488
10200546735	160157696	1855488
10300546018	160034816	1855488
10400565776	172322816	1863680
10500568184	172322816	1863680
10600580917	172322816	1863680
10700585263	172322816	1863680
10800570372	172322816	1863680
10900565112	172322816	1863680
11000591884	172322816	1863680
11100588539	172322816	1863680
11200589230	172322816	1863680
11300592383	221605888	2293760
11400582533	481652736	2420736
11500592251	465031168	2420736
11600586316	641585152	2420736
11700584857	641585152	2420736
11800589762	641585152	2420736
11900581472	641585152	2420736
12000553718	641585152	2420736
12100587430	641585152	2420736
12200594838	641585152	2420736
12300588162	641585152	2420736
12400585346	641585152	2420736
12500585562	641585152	2420736
12600585649	641585152	2420736
12700584968	641585152	2420736
12800583372	641585152	2420736
12900577278	641585152	2420736
13000589588	641585152	2420736
13100584454	641585152	2420736
13200584580	641585152	2420736
13300585373	641585152	2420736
13400587133	641585152	2420736
13500581105	641585152	2420736
13600580890	641585152	2420736
13700578870	641585152	2420736
13800584023	641585152	2420736
13900580272	641585152	2420736
14000568448	641585152	2420736
14100586603	641585152	2420736
14200585196	641585152	2420736
14300586260	641585152	2420736
14400583803	641585152	2420736
14500585818	641585152	2420736
14600582451	641585152	2420736
14700587738	641585152	2420736
14800580924	787599360	2420736
14900587549	852824064	2838528
15000596760	751529984	2838528
15100594442	193130496	3092480
15200584790	487649280	3416064
15300608389	164306944	3416064
15400591482	158642176	3416064
15500565384	158572544	3416064
15600583930	163414016	3416064
15700587627	169660416	3416064
15800587617	169332736	3416064
15900586217	163725312	3416064
16000582269	169701376	3416064
16100585317	169689088	3416064
16200566085	169766912	3416064
16300568589	181657600	3416064
16400575509	176828416	3416064
16500586790	172077056	3416064
16600610284	168607744	3416064
16700566813	163246080	3416064
16800586660	175689728	3416064
16900585246	175849472	3416064
17000580196	166014976	3416064
17100583455	163926016	3452928
17200586217	167763968	3616768
17300583744	167927808	3780608
17400570931	164597760	3948544
17500548877	182824960	4124672
17600566464	175902720	4308992
17700568762	169598976	4497408
17800585834	169324544	4681728
17900585217	173199360	4878336
18000568914	181952512	5070848
18100568146	174956544	5255168
18200588877	177561600	5386240
18300579124	161574912	5390336
18400560564	161562624	5390336
18500549998	161554432	5390336
18600559923	159002624	5390336
18700552021	159064064	5390336
18800550049	159072256	5390336
18900550570	159002624	5390336
19000550109	159010816	5390336
19100549020	159072256	5390336
19200548546	159080448	5390336
19300549721	159010816	5390336
19400547938	157478912	5390336
19500553327	158535680	5390336
19600560064	191311872	5578752
19700566712	191442944	5578752
19800561542	191442944	5578752
19900571435	177184768	5578752
20000565097	178044928	5578752
20100550016	180760576	5578752
20200550736	181993472	5578752
20300566685	184537088	5578752
20400577760	189059072	5578752
20500578885	189452288	5578752
20600576628	189452288	5578752
20700554386	189452288	5578752
20800556213	189452288	5578752
20900560719	192204800	5578752
21000568291	217538560	5578752
21100579581	217538560	5578752
21200591059	217538560	5578752
21300590947	217538560	5578752
21400591352	217538560	5578752
21500592467	217538560	5578752
21600593282	217538560	5578752
21700596445	217538560	5578752
21800595036	217538560	5578752
21900596310	217538560	5578752
22000594748	217538560	5578752
22100593156	217538560	5578752
22200584274	217538560	5578752
22300592109	217538560	5578752
22400592596	217538560	5578752
22500593344	217538560	5578752
22600594976	217538560	5578752
22700593679	217538560	5578752
22800591024	217538560	5578752
22900594021	217538560	5578752
23000597547	217538560	5578752
23100594510	217538560	5578752
23200595867	217538560	5578752
23300595488	217538560	5578752
23400595390	217538560	5578752
23500584836	217538560	5578752
23600576035	217538560	5578752
23700574739	217538560	5578752
23800617159	217538560	5578752
23900579541	217538560	5578752
24000592721	198483968	5578752
24100580225	264544256	5709824
24200577280	286023680	5709824
24300585939	301621248	5709824
24400575384	303718400	5709824
24500577876	305160192	5709824
24600571815	227205120	5709824
24700571597	227205120	5709824
24800566385	227205120	5709824
24900563125	227205120	5709824
25000546623	227205120	5709824
25100575368	229564416	5709824
25200569915	229564416	5709824
25300564344	229564416	5709824
25400561713	229564416	5709824
25500544137	229564416	5709824
25600545197	229564416	5709824
25700558666	229564416	5709824
25800580271	232054784	5709824
25900557251	232054784	5709824
26000570392	224022528	5709824
26100548611	225042432	5709824
26200548207	226082816	5709824
26300547057	226971648	5709824
26400563901	227766272	5709824
26500574800	227766272	5709824
26600562837	237334528	5709824
26700573997	266039296	5709824
26800582253	266039296	5709824
26900582721	266039296	5709824
27000578980	225886208	5722112
27100579210	175181824	5738496
27200566957	154112000	5738496
27300562049	154198016	5738496
27400570794	166838272	5738496
27500584878	154734592	5738496
27600576661	154124288	5738496
27700585811	155525120	5738496
27800588340	155869184	5738496
27900559122	163471360	5738496
28000566953	161062912	5738496
28100561361	151998464	5742592
