time	rss	kernel
0	782336	192512
100524839	34607104	487424
200538913	41029632	499712
300534880	45879296	507904
400538384	49156096	524288
500539698	51253248	528384
600541477	53874688	532480
700536084	55709696	536576
800537436	58331136	540672
900533197	60035072	544768
1000535012	61870080	548864
1100539198	63705088	552960
1200535411	64884736	552960
1300538922	66719744	557056
1400538535	68030464	561152
1500543737	69865472	565248
1600539645	70914048	565248
1700541885	72486912	569344
1800542269	73404416	569344
1900533693	74321920	573440
2000538579	75108352	573440
2100535914	76943360	577536
2200531057	77860864	577536
2300539827	78647296	581632
2400543726	79826944	581632
2500542653	81137664	585728
2600536126	82055168	585728
2700537746	85331968	593920
2800539190	85856256	593920
2900540021	87035904	598016
3000538826	87953408	598016
3100537844	89395200	602112
3200536997	90181632	602112
3300536106	91361280	606208
3400538112	91623424	606208
3500530480	92278784	606208
3600538476	102109184	630784
3700531845	103661568	880640
3800528251	103661568	880640
3900525077	103661568	880640
4000527394	107069440	880640
4100536840	112050176	880640
4200537933	115195904	880640
4300540595	167878656	892928
4400541896	276783104	987136
4500533756	301424640	1036288
4600526996	301424640	1036288
4700529271	301424640	1036288
4800538730	372727808	1175552
4900541704	662790144	1740800
5000532770	881680384	2166784
5100530829	881680384	2166784
5200527687	881680384	2166784
5300532143	881680384	2166784
5400534746	881680384	2166784
5500535567	881680384	2166784
5600534337	885481472	2174976
5700527784	886530048	2179072
5800527071	887054336	2183168
5900524851	888233984	2183168
6000527304	862281728	2191360
6100526937	247214080	2191360
6200538144	328577024	2191360
6300541458	379957248	2191360
6400530562	382709760	2191360
6500529417	384413696	2191360
6600536348	389525504	2191360
6700531895	390180864	2191360
6800527957	391098368	2191360
6900531622	392540160	2191360
7000528972	393850880	2191360
7100534004	395423744	2191360
7200530402	396734464	2191360
7300530523	416264192	2191360
7400523823	416395264	2191360
7500520500	416395264	2191360
7600521580	416395264	2191360
7700526748	416395264	2191360
7800526386	416395264	2191360
7900525909	416395264	2191360
8000530727	416395264	2191360
8100525963	416395264	2191360
8200529046	416395264	2191360
8300532011	374734848	2191360
8400537646	366919680	2199552
8500530855	368123904	2199552
8600530051	368611328	2211840
8700526673	366706688	2215936
8800532087	368222208	2215936
8900529611	368234496	2215936
9000527971	368148480	2215936
9100525629	368242688	2215936
9200524226	368259072	2215936
9300527641	368173056	2215936
9400522894	368168960	2215936
