time	rss	kernel
0	753664	192512
100640085	27090944	462848
200657441	27234304	475136
300641001	27234304	475136
400644830	27234304	475136
500640371	27234304	475136
600641696	27234304	475136
700639829	27234304	475136
800638160	27234304	475136
900643761	27234304	475136
1000635183	27234304	475136
1100632334	27234304	475136
1200636844	27365376	475136
1300640209	27365376	475136
1400641654	27365376	475136
1500648292	27365376	475136
1600649806	27365376	475136
1700648013	27365376	475136
1800604204	27291648	475136
1900646343	27291648	475136
2000659680	27291648	475136
2100657176	27291648	475136
2200641835	27291648	475136
2300656305	27291648	475136
2400657983	27291648	475136
2500659457	27291648	475136
