time	rss	kernel
0	872448	192512
100541058	28274688	471040
200553418	28217344	471040
300545963	28348416	471040
400554927	28610560	471040
500542162	28741632	471040
600554760	28872704	471040
700547839	28872704	475136
800551510	28872704	475136
900558725	28872704	475136
1000552117	28872704	475136
1100545579	28872704	475136
1200550107	28872704	475136
1300551780	29003776	475136
1400553434	29003776	475136
1500553564	29003776	475136
1600549472	29003776	475136
1700553355	29003776	475136
1800542514	29003776	475136
1900547058	29003776	475136
2000551081	29003776	475136
2100551380	29003776	475136
2200555067	29003776	475136
2300550779	29134848	475136
2400546584	29134848	475136
2500547445	29134848	475136
2600550101	29134848	475136
2700547768	29134848	475136
2800549097	29134848	475136
2900546090	29134848	475136
3000552865	29134848	475136
3100554039	29134848	475136
3200545879	29134848	475136
3300561620	29134848	475136
3400544568	29134848	475136
3500549874	29134848	475136
3600551569	29134848	475136
3700556129	29134848	475136
3800547318	29134848	475136
3900555387	29134848	475136
4000548843	29134848	475136
4100550603	29134848	475136
4200549049	29134848	475136
4300552458	29134848	475136
4400543793	29134848	475136
4500551595	29134848	475136
4600552303	29134848	475136
4700553008	29134848	475136
4800556757	29134848	475136
4900549430	29134848	475136
5000553113	29134848	475136
5100558190	29134848	475136
5200555869	29134848	475136
5300555558	29134848	475136
5400537841	29134848	475136
5500548463	29134848	475136
5600552844	29134848	475136
5700553032	29134848	475136
5800550557	29134848	475136
5900546983	29134848	475136
6000560421	29134848	475136
6100563991	29134848	475136
6200571877	29134848	475136
6300550362	29134848	475136
6400542085	29134848	475136
6500549645	29134848	475136
6600549278	29134848	475136
6700553783	29134848	475136
6800550404	29134848	475136
6900554843	29134848	475136
7000564596	29134848	475136
7100555789	29134848	475136
7200550314	29134848	475136
7300551122	29134848	475136
7400547025	29134848	475136
7500548417	29134848	475136
7600547176	29134848	475136
7700545548	29265920	475136
7800550996	29265920	475136
7900551044	29265920	475136
8000552132	29265920	475136
8100550973	29265920	475136
8200567105	29265920	475136
8300551049	29265920	475136
8400514456	29265920	475136
