time	rss	kernel
0	897024	192512
100545798	10866688	475136
200587020	10498048	475136
300543549	10498048	475136
400548034	10498048	475136
500544531	10498048	475136
600553795	18624512	495616
700549529	18624512	495616
800547057	18624512	495616
900546321	18624512	495616
1000546301	18624512	495616
1100547818	18624512	495616
1200547951	18624512	495616
1300545667	18624512	495616
1400557075	24653824	507904
1500555921	27013120	520192
1600551479	27013120	520192
1700553942	27013120	520192
1800513103	27013120	520192
1900552990	27013120	520192
2000556100	27013120	520192
2100545754	27013120	520192
2200545718	27013120	520192
2300548031	27013120	520192
2400553355	27013120	520192
2500554564	27013120	520192
2600553571	27013120	520192
2700515076	28979200	520192
2800515203	28979200	520192
2900545660	28979200	520192
3000555128	28979200	520192
3100550690	28979200	520192
3200551226	28979200	520192
3300546414	28979200	520192
3400545785	28979200	520192
3500552885	28979200	520192
3600545685	28979200	520192
3700547986	28979200	520192
3800561378	37105664	536576
3900557496	37105664	536576
4000545303	37105664	536576
4100554583	37105664	536576
4200511911	37105664	536576
4300591715	37105664	536576
4400553365	37105664	536576
4500554512	37105664	536576
4600547770	37105664	536576
4700552000	37105664	536576
4800552504	37105664	536576
4900556998	37105664	536576
5000554845	37105664	536576
5100570349	37105664	536576
5200575184	37105664	536576
5300548651	39071744	540672
5400549951	39071744	540672
5500510726	39071744	540672
5600546231	39071744	540672
5700546167	39071744	540672
5800557571	45101056	552960
5900563902	47067136	561152
6000558809	47067136	561152
6100551231	47067136	561152
6200556405	47067136	561152
6300555386	47067136	561152
6400556377	47067136	561152
6500555926	47067136	561152
6600548150	47067136	561152
6700555486	47067136	561152
6800513262	47067136	561152
6900558629	47067136	561152
7000573757	47067136	561152
7100560094	47067136	561152
7200555838	47067136	561152
7300551865	47067136	561152
7400555992	47067136	561152
7500574401	47067136	561152
7600569328	49033216	569344
7700549375	49033216	569344
7800556503	49033216	569344
7900554954	49033216	569344
8000558353	49033216	569344
8100517681	49033216	569344
8200548069	49033216	569344
8300555523	49033216	569344
8400555674	49033216	569344
8500558675	49033216	569344
8600563595	49033216	569344
8700577033	49033216	569344
8800553057	49033216	569344
8900566520	49033216	569344
9000547981	49033216	569344
9100560204	55193600	577536
9200561852	57159680	581632
9300559028	57159680	581632
9400577343	57159680	581632
9500558121	57159680	581632
9600550002	57159680	581632
9700558147	57159680	581632
9800559305	57159680	581632
9900574519	57159680	581632
10000574196	57159680	581632
10100557005	57159680	581632
10200558208	57159680	581632
10300550341	57159680	581632
10400568600	57159680	581632
10500555031	57159680	581632
10600548160	57159680	581632
10700557483	57159680	581632
10800558972	57159680	581632
10900574761	57159680	581632
11000575153	57159680	581632
11100553095	57815040	581632
11200551095	59125760	585728
11300557279	59125760	585728
11400556647	59125760	585728
11500557282	59125760	585728
11600546754	59125760	585728
11700575358	59125760	585728
11800572214	59125760	585728
11900559223	59125760	585728
12000556441	59125760	585728
12100558570	59125760	585728
12200558199	59125760	585728
12300572250	59125760	585728
12400577788	59125760	585728
12500561142	59125760	585728
12600548308	59125760	585728
12700564445	59125760	585728
12800557481	59125760	585728
12900586166	61353984	589824
13000568315	61353984	589824
13100559513	61353984	589824
13200555755	61353984	589824
13300556933	61353984	589824
13400557744	61353984	589824
13500557532	61353984	589824
13600550249	61353984	589824
13700558498	61353984	589824
13800576935	61353984	589824
13900577181	61353984	589824
14000560624	61353984	589824
14100556095	61353984	589824
14200556700	61353984	589824
14300573251	61353984	589824
14400573682	61353984	589824
14500558361	61353984	589824
14600553940	61353984	589824
14700557914	61353984	589824
14800566102	61353984	589824
14900571084	63320064	593920
15000549334	63320064	593920
15100546740	63320064	593920
15200545888	63320064	593920
15300545494	63320064	593920
15400562291	63975424	593920
15500565695	65548288	598016
15600552912	65548288	598016
15700556348	65548288	598016
15800557419	65548288	598016
15900549090	65548288	598016
16000558856	65548288	598016
16100558137	65548288	598016
16200549845	65548288	598016
16300558715	65548288	598016
16400558973	65548288	598016
16500572544	65548288	598016
16600565250	65548288	598016
16700555151	65548288	598016
16800555654	65548288	598016
16900559689	65548288	598016
17000558752	65548288	598016
17100557763	65548288	598016
17200559657	65548288	598016
17300592087	65548288	598016
17400565071	66465792	598016
17500557331	66465792	598016
17600555693	66465792	598016
17700557766	66465792	598016
17800575144	66465792	598016
17900573908	66465792	598016
18000560015	66465792	598016
18100561103	66465792	598016
18200555302	66465792	598016
18300515529	66465792	598016
18400556338	66465792	598016
18500573481	66465792	598016
18600572925	66465792	598016
18700557218	66465792	598016
18800555983	66465792	598016
18900557477	66465792	598016
19000557122	66465792	598016
19100549281	66465792	598016
19200558936	67121152	598016
19300559308	67121152	598016
19400555947	67121152	598016
19500562219	67121152	598016
19600531525	67121152	598016
19700568204	67121152	598016
19800559216	67121152	598016
19900557156	67121152	598016
20000558402	67121152	598016
20100574934	67121152	598016
20200576745	67121152	598016
20300557376	67121152	598016
20400555986	67121152	598016
20500557064	67121152	598016
20600558068	67121152	598016
20700561657	67121152	598016
20800574102	67121152	598016
20900532397	67121152	598016
21000549021	67121152	598016
21100555525	67121152	598016
21200560215	67776512	598016
21300561375	67776512	598016
21400562876	67776512	598016
21500574950	67776512	598016
21600549996	67776512	598016
21700559377	67776512	598016
21800557754	67776512	598016
21900558573	67776512	598016
22000575297	67776512	598016
22100536117	67776512	598016
22200555087	67776512	598016
22300561583	67776512	598016
22400558489	67776512	598016
22500558250	67776512	598016
22600556292	67776512	598016
22700560778	67776512	598016
22800557257	67776512	598016
22900563216	67776512	598016
23000580662	67776512	598016
23100560333	67776512	598016
23200558557	67776512	598016
23300555515	67776512	598016
23400559513	67776512	598016
23500561249	67776512	598016
23600586461	67776512	598016
23700557292	67776512	598016
23800558426	67776512	598016
23900558444	67776512	598016
24000578074	67776512	598016
24100574813	67776512	598016
24200557614	67776512	598016
24300555360	67776512	598016
24400553296	67776512	598016
24500560862	67776512	598016
24600571946	67776512	598016
24700562456	67776512	598016
24800557533	67776512	598016
24900555174	67776512	598016
25000547442	67776512	598016
25100510291	67776512	598016
25200545365	67776512	598016
25300544900	67776512	598016
25400558288	67776512	598016
25500564072	67776512	598016
25600550572	67776512	598016
25700557191	67776512	598016
25800556506	67776512	598016
25900549008	67776512	598016
26000556323	67776512	598016
26100559077	67776512	598016
26200558114	67776512	598016
26300558013	67776512	598016
26400556660	67776512	598016
26500560834	67776512	598016
26600556529	67776512	598016
26700514891	67776512	598016
26800579156	67776512	598016
26900573860	67776512	598016
27000558874	67776512	598016
27100561085	67776512	598016
27200556917	67776512	598016
27300573328	67776512	598016
27400560759	66433024	602112
27500559981	66433024	602112
27600557396	66433024	602112
27700556228	66433024	602112
27800558914	66433024	602112
27900574697	66433024	602112
28000563492	66433024	602112
28100558090	66433024	602112
28200557032	66433024	602112
28300555627	66433024	602112
28400560372	66433024	602112
28500557557	66433024	602112
28600556632	66433024	602112
28700574703	66433024	602112
28800558466	66433024	602112
28900559475	66433024	602112
29000555523	66433024	602112
29100554460	66433024	602112
29200556199	67219456	602112
29300562603	67219456	602112
29400556630	67219456	602112
29500553026	67219456	602112
29600556839	67219456	602112
29700574389	67219456	602112
29800515038	67219456	602112
29900561135	67219456	602112
30000554006	67219456	602112
30100550424	67219456	602112
30200558519	67219456	602112
30300558194	67219456	602112
30400572411	67219456	602112
30500558760	67219456	602112
30600555931	67219456	602112
30700555769	67219456	602112
30800576062	67219456	602112
30900572722	67219456	602112
31000557340	67219456	602112
31100558244	67874816	602112
31200564030	67874816	602112
31300560468	67874816	602112
31400576263	67874816	602112
31500575303	67874816	602112
31600556762	67874816	602112
31700558224	67874816	602112
31800561503	67874816	602112
31900552142	67874816	602112
32000547410	67874816	602112
32100556478	67874816	602112
32200557329	67874816	602112
32300558596	67874816	602112
32400556539	67874816	602112
32500557090	67874816	602112
32600565603	67874816	602112
32700556671	67874816	602112
32800565712	67874816	602112
32900561820	67874816	602112
33000563870	67874816	602112
33100559445	67874816	602112
33200557713	67874816	602112
33300557585	67874816	602112
33400558632	67874816	602112
33500567766	67874816	602112
33600557661	67874816	602112
33700562198	67874816	602112
33800558655	67874816	602112
33900553666	67874816	602112
34000559105	67874816	602112
34100558406	67874816	602112
34200558968	67874816	602112
34300557007	67874816	602112
34400557054	67874816	602112
34500574998	67874816	602112
34600571712	67874816	602112
34700556603	67874816	602112
34800552225	68530176	602112
34900588631	68530176	602112
35000544194	68530176	602112
35100545025	68530176	602112
35200549123	68530176	602112
35300574260	68530176	602112
35400594374	68530176	602112
35500550790	68530176	602112
35600561145	68530176	602112
35700557985	68530176	602112
35800549801	68530176	602112
35900548818	68530176	602112
36000551837	68530176	602112
36100549109	68530176	602112
