time	rss	kernel
0	786432	229376
100651835	5877760	516096
200688283	7581696	520192
300668253	9416704	528384
400671218	11120640	528384
500665099	11120640	528384
600671601	12824576	536576
700666782	12824576	536576
800678165	14659584	536576
900684762	14659584	536576
1000675115	16363520	544768
1100684430	16363520	544768
1200686895	16363520	544768
1300676008	18067456	544768
1400688029	18067456	544768
1500671843	18067456	544768
1600672980	19771392	548864
1700672282	19771392	548864
1800670907	19771392	548864
1900661171	20819968	548864
2000660061	21475328	557056
2100662350	21475328	557056
2200672645	21475328	557056
2300685869	21999616	557056
2400682131	21999616	557056
2500663170	21999616	557056
2600661828	21999616	557056
2700682484	22392832	557056
2800662047	22392832	557056
2900661739	22392832	557056
3000701580	22392832	557056
3100688218	22917120	557056
3200670430	22917120	557056
3300680329	22917120	557056
3400682536	23310336	557056
3500691466	23310336	557056
3600690304	23310336	557056
3700686395	23310336	557056
3800693970	23834624	557056
3900687327	23834624	557056
4000690987	23834624	557056
4100688260	23834624	557056
4200674558	24227840	557056
4300674016	24227840	557056
4400690492	24227840	557056
4500687602	24621056	557056
4600689374	24621056	557056
4700691037	24621056	557056
4800676835	24621056	557056
4900694437	24621056	557056
5000688128	24621056	557056
5100688213	24621056	557056
5200707601	24621056	557056
5300673158	24621056	557056
5400672161	24621056	557056
5500672114	24621056	557056
5600665069	24621056	557056
5700702953	24621056	557056
5800693047	24621056	557056
5900688289	24621056	557056
6000689656	24621056	557056
6100687784	24621056	557056
6200689569	24621056	557056
6300686248	24621056	557056
6400677829	24621056	557056
6500671936	24621056	557056
6600673829	24621056	557056
6700680505	24621056	557056
6800691111	24621056	557056
6900689151	24621056	557056
7000688977	24621056	557056
7100678169	24621056	557056
7200692939	24621056	557056
7300688204	24621056	557056
7400676856	24621056	557056
7500670357	24621056	557056
7600671099	24621056	557056
7700671647	24621056	557056
7800673603	24621056	557056
7900672117	24621056	557056
8000670841	24621056	557056
8100658515	24621056	557056
8200672177	24621056	557056
8300670184	24621056	557056
8400678931	24621056	557056
8500688131	24621056	557056
8600687592	24621056	557056
8700691777	24621056	557056
8800687010	24621056	557056
8900686436	24621056	557056
9000686855	24621056	557056
9100686443	24621056	557056
9200708052	24621056	557056
9300675743	24621056	557056
9400677376	24621056	557056
9500684385	24621056	557056
9600691861	24621056	557056
9700690507	24621056	557056
9800688933	24621056	557056
9900686185	24621056	557056
10000691816	24621056	557056
10100688305	24621056	557056
10200690064	24621056	557056
10300689494	24621056	557056
10400675295	24621056	557056
10500687835	24621056	557056
10600694801	24621056	557056
10700684245	24621056	557056
10800688327	24621056	557056
10900679147	24621056	557056
11000686691	24621056	557056
11100690119	24621056	557056
11200688684	24621056	557056
11300686330	24621056	557056
11400680252	24621056	557056
11500678012	24621056	557056
11600676861	24621056	557056
11700671660	24621056	557056
11800690819	24621056	557056
11900688569	24621056	557056
12000688439	24621056	557056
12100688100	24621056	557056
12200689150	24621056	557056
12300695630	24621056	557056
12400678359	24621056	557056
12500689276	24621056	557056
12600687796	24621056	557056
12700688533	24621056	557056
12800687933	24621056	557056
12900693074	24621056	557056
13000689332	24621056	557056
13100688422	24621056	557056
13200688609	24621056	557056
13300690065	24621056	557056
13400676837	24621056	557056
13500686169	24621056	557056
13600689261	24621056	557056
13700685505	24621056	557056
13800688491	24621056	557056
13900660665	24621056	557056
14000690635	24621056	557056
14100686064	24621056	557056
14200688016	24621056	557056
14300690363	24621056	557056
14400683047	24621056	557056
14500677879	24621056	557056
14600688407	24621056	557056
14700671953	24621056	557056
14800688286	24621056	557056
14900683955	24621056	557056
15000675763	24621056	557056
15100692256	24621056	557056
15200694493	24621056	557056
15300689581	24621056	557056
15400674937	24621056	557056
15500693937	24621056	557056
15600689138	24621056	557056
15700677958	24621056	557056
15800690216	24621056	557056
15900689923	24621056	557056
16000688519	24621056	557056
16100687906	24621056	557056
16200690768	24752128	557056
16300686381	24752128	557056
16400677322	24752128	557056
16500688230	24752128	557056
16600680627	24752128	557056
16700688007	24752128	557056
16800689293	24752128	557056
16900688534	24752128	557056
17000691278	24752128	557056
17100688104	24752128	557056
17200695818	24752128	557056
17300690529	24752128	557056
17400682518	24752128	557056
17500689542	24752128	557056
17600687297	24752128	557056
17700689397	24752128	557056
17800688482	24752128	557056
17900669138	24752128	557056
18000678340	24752128	557056
18100686144	24752128	557056
18200689248	24752128	557056
18300688724	24752128	557056
18400678553	24752128	557056
18500679788	24752128	557056
18600691108	24752128	557056
18700689918	24752128	557056
18800672371	24752128	557056
18900681893	24752128	557056
19000689516	24752128	557056
19100686352	24883200	557056
19200689736	24883200	557056
19300687327	24883200	557056
19400662967	24883200	557056
19500662897	24883200	557056
19600663804	24883200	557056
19700672190	24883200	557056
19800690624	24883200	557056
19900687927	24883200	557056
20000693325	24883200	557056
20100680580	24883200	557056
20200681977	24883200	557056
20300673355	24883200	557056
20400675344	24883200	557056
20500669832	24883200	557056
20600691438	24883200	557056
20700687714	24883200	557056
20800690161	24883200	557056
20900687105	24883200	557056
21000669926	24211456	557056
21100664173	24109056	557056
21200658707	24109056	557056
21300661913	24109056	557056
21400685462	24109056	557056
21500670294	24109056	557056
21600671040	24109056	557056
21700659893	24240128	557056
21800705298	24240128	557056
21900671272	24240128	557056
22000673110	24240128	557056
22100677332	24240128	557056
22200676247	24240128	557056
22300686727	24240128	557056
22400689795	24240128	557056
22500678756	24240128	557056
22600689141	24240128	557056
22700688791	24240128	557056
22800679072	24371200	557056
22900678830	24371200	557056
23000688283	24371200	557056
23100691811	24371200	557056
23200692040	24371200	557056
23300677967	24371200	557056
23400690534	24371200	557056
23500689758	24371200	557056
23600689693	24371200	557056
23700690696	24371200	557056
23800688511	24371200	557056
23900689098	24371200	557056
24000678591	24371200	557056
24100689169	24371200	557056
24200715328	24502272	557056
24300672383	24502272	557056
24400681178	24502272	557056
24500689441	24502272	557056
24600691692	24633344	557056
24700680465	24633344	557056
24800678266	24633344	557056
24900691177	24633344	557056
25000688466	24633344	557056
25100694613	24633344	557056
25200693237	24633344	557056
25300691751	24633344	557056
25400679262	24633344	557056
25500685611	24633344	557056
25600677775	24633344	557056
25700673676	24633344	557056
25800687460	24633344	557056
25900686322	24633344	557056
26000678232	24633344	557056
26100670612	24633344	557056
26200691673	24633344	557056
26300685762	24633344	557056
26400676880	24633344	557056
26500666470	24633344	557056
26600671418	24633344	557056
