time	rss	kernel
0	815104	196608
100528327	38445056	581632
200548225	46702592	602112
300541842	46702592	602112
400556111	46702592	602112
500520749	46833664	602112
600519791	47226880	602112
700538756	47226880	602112
800538281	47489024	602112
900520012	47489024	602112
1000537752	47489024	602112
1100537038	47751168	602112
1200519396	47751168	602112
1300545577	47882240	602112
1400541779	47882240	602112
1500536123	48275456	602112
1600553424	59015168	622592
1700551226	72237056	655360
1800540645	72237056	655360
1900544876	72237056	655360
