time	rss	kernel
0	765952	233472
100503099	184868864	806912
200525518	184868864	806912
300524016	184868864	806912
400528759	184868864	806912
500528478	184868864	806912
600528702	184868864	806912
700523047	184868864	806912
800525728	184868864	806912
900524153	184868864	806912
1000511747	184868864	806912
1100520166	184868864	806912
1200522849	184868864	806912
1300508084	184868864	806912
1400537577	184868864	806912
1500526305	184868864	806912
1600526221	184868864	806912
1700526227	184868864	806912
1800522838	184868864	806912
1900526992	184868864	806912
2000506525	184868864	806912
2100524950	184868864	806912
2200520295	184868864	806912
2300528339	184868864	806912
