time	rss	kernel
0	733184	192512
100565660	32444416	536576
200595172	60776448	610304
300596343	85155840	663552
400592162	107560960	712704
500596062	129187840	757760
600592361	152248320	811008
700591224	173088768	856064
800591303	196550656	909312
900596816	218177536	958464
1000589657	240852992	1007616
1100591518	263241728	1056768
1200588593	277909504	1093632
1300580963	278417408	1097728
1400577214	279334912	1105920
1500574008	280121344	1122304
1600579321	280776704	1126400
1700577208	281300992	1130496
1800576533	281956352	1134592
1900595696	282480640	1138688
2000557940	283136000	1142784
2100558802	283762688	1146880
2200575681	284254208	1150976
2300576304	284889088	1163264
2400557993	285396992	1171456
2500575845	286052352	1175552
2600570882	286670848	1183744
2700565468	287297536	1187840
2800559510	287924224	1191936
2900814972	288436224	1200128
3000560006	289079296	1208320
3100557442	289603584	1212416
3200560356	290258944	1212416
3300573389	290783232	1216512
3400560382	291438592	1220608
3500559637	292089856	1224704
3600560994	292614144	1232896
3700567822	293261312	1236992
3800560152	293892096	1245184
3900561421	294514688	1253376
4000560742	295256064	1261568
4100562211	295870464	1265664
4200578868	296525824	1269760
4300578893	297123840	1282048
4400581634	297730048	1290240
4500787168	298348544	1294336
4600563193	298975232	1298432
4700566380	299483136	1298432
4800837013	300130304	1302528
4900585612	300781568	1310720
5000568699	301301760	1314816
5100563060	301826048	1323008
5200564281	302481408	1327104
5300564103	302997504	1335296
5400562235	303521792	1339392
5500562383	304168960	1343488
5600560411	304693248	1347584
5700855660	305348608	1351680
5800821261	305856512	1355776
5900564175	306511872	1363968
6000831071	307036160	1363968
6100566604	307560448	1368064
6200565337	308215808	1376256
6300567783	308609024	1380352
6400567974	309264384	1384448
6500593914	309657600	1388544
6600576311	310181888	1392640
6700881752	310837248	1409024
6800830341	311230464	1413120
6900558250	311492608	1417216
7000576059	311885824	1421312
7100573975	312147968	1425408
7200808267	312541184	1429504
7300572468	312803328	1433600
7400576112	313196544	1433600
7500559337	313458688	1437696
7600575070	313720832	1445888
7700581727	314114048	1449984
7800576496	314376192	1454080
7900578645	314638336	1458176
8000578746	315031552	1462272
8100578233	315293696	1466368
8200576387	315555840	1470464
8300578452	315949056	1470464
8400834491	316211200	1474560
8500576675	316473344	1478656
8600578244	316866560	1482752
8700838239	317128704	1486848
8800561242	317521920	1495040
8900579089	317784064	1499136
9000590548	318046208	1503232
9100563871	318439424	1503232
9200581652	318701568	1507328
9300860083	319094784	1511424
9400563545	319356928	1515520
9500580459	319750144	1519616
9600578805	320012288	1523712
9700560655	320274432	1527808
9800583679	320667648	1531904
9900583411	320929792	1536000
10000562316	321323008	1544192
10100582329	321585152	1548288
