time	rss	kernel
0	729088	139264
100582246	9510912	413696
200603562	9396224	413696
300602179	9396224	413696
400599786	9396224	413696
500599859	9396224	413696
600600699	9396224	413696
700592260	9396224	413696
800583900	9396224	413696
900603483	9396224	413696
1000582716	9396224	413696
1100602382	9396224	413696
1200600225	9396224	413696
1300600492	9396224	413696
1400601144	9396224	413696
1500585461	9396224	413696
1600600906	9396224	413696
1700620079	9396224	413696
1800572459	9396224	413696
1900593105	7131136	413696
2000576250	7393280	413696
2100605951	7524352	413696
2200603459	7524352	413696
2300601632	7524352	413696
2400593015	7786496	413696
2500599568	8048640	413696
2600601286	8048640	413696
2700599293	8048640	413696
2800595860	8048640	413696
2900596277	14880768	417792
3000609351	14880768	417792
3100600131	14880768	417792
3200601576	14880768	417792
3300601409	14880768	417792
3400600660	14880768	417792
3500601552	14880768	417792
3600600107	14880768	417792
3700602958	14880768	417792
3800600637	14880768	417792
3900610607	14880768	417792
4000601712	14880768	417792
4100605253	14880768	417792
4200601356	14880768	417792
4300603439	14880768	417792
4400598911	14880768	417792
4500608632	14880768	417792
4600612244	14880768	417792
4700605182	14880768	417792
4800601261	14880768	417792
4900592708	14880768	417792
5000600291	14880768	417792
5100585403	14880768	417792
5200606741	14880768	417792
5300603938	14880768	417792
5400599736	14880768	417792
5500584182	14880768	417792
5600603896	14880768	417792
5700604263	14880768	417792
5800584343	14880768	417792
