time	rss	kernel
0	786432	139264
100552945	11898880	393216
200560376	11898880	393216
300556081	11898880	393216
400555405	11898880	393216
500555463	11898880	393216
600558820	11898880	397312
700563569	17534976	405504
800562144	17534976	405504
900559724	17534976	405504
1000558618	17534976	405504
1100560973	17534976	405504
1200558605	17534976	405504
1300561980	17534976	405504
1400569144	24743936	421888
1500565401	24743936	421888
1600564433	24743936	421888
1700564695	24743936	421888
1800559490	24743936	421888
1900563269	24743936	421888
