time	rss	kernel
0	921600	192512
100596838	36777984	487424
200614771	36777984	487424
300629073	36777984	487424
400601867	36777984	487424
500610716	36777984	487424
600633939	37302272	491520
700621550	37302272	491520
800618183	37302272	491520
900605984	42151936	499712
1000616352	42151936	499712
1100611213	42151936	499712
1200604768	42151936	499712
1300606128	42151936	499712
1400626005	42283008	499712
1500614067	42938368	503808
1600604252	42938368	503808
1700617250	49229824	516096
1800620167	49229824	516096
1900632273	49229824	516096
2000626093	49229824	516096
2100627087	49229824	516096
2200604118	49229824	516096
2300641103	50147328	516096
2400637449	50147328	516096
