time	rss	kernel
0	929792	192512
100516767	14041088	471040
200540493	52658176	561152
300545760	62980096	585728
400544694	73465856	606208
500545577	79233024	626688
600552113	88276992	643072
700561765	88276992	643072
800566303	89575424	663552
900552481	97529856	675840
1000552053	159133696	798720
1100549782	159133696	798720
1200557927	206319616	892928
1300547491	442380288	1351680
1400549514	442380288	1351680
1500531453	442380288	1351680
1600533811	442380288	1351680
1700531226	446312448	1359872
1800530569	447492096	1363968
1900530619	127164416	1368064
2000535486	145063936	1368064
2100541213	169705472	1368064
2200528252	172457984	1368064
2300538016	177176576	1368064
2400531585	178356224	1368064
2500527420	179527680	1368064
2600532679	183713792	1368064
2700532504	184107008	1368064
2800532909	184107008	1368064
2900524525	184107008	1368064
3000539853	173522944	1368064
3100534144	164806656	1368064
3200530227	164839424	1368064
3300528710	164745216	1368064
3400527855	165109760	1368064
3500531031	165142528	1368064
3600525046	161865728	1368064
3700528905	161554432	1368064
3800528302	161570816	1368064
3900530295	161591296	1368064
4000526266	161611776	1368064
4100528301	161628160	1368064
4200518815	161525760	1368064
4300546650	170749952	1368064
4400551933	170749952	1368064
4500543436	170749952	1368064
4600543184	170749952	1368064
4700554426	170749952	1368064
4800555336	161021952	1368064
4900548708	160817152	1368064
5000528498	160808960	1368064
5100529135	159776768	1368064
5200531541	159703040	1368064
5300530443	159805440	1372160
5400529905	159731712	1372160
5500532301	159789056	1372160
5600533365	159764480	1372160
5700530764	159080448	1372160
5800529523	159797248	1372160
5900524489	159772672	1372160
6000527524	159748096	1372160
6100527776	158937088	1372160
6200532754	172019712	1372160
6300535723	172019712	1372160
6400550569	172019712	1372160
6500567188	172019712	1372160
6600524388	172019712	1372160
6700563976	162209792	1372160
6800561461	350560256	1372160
6900551825	350560256	1372160
7000566472	413868032	1400832
7100588896	413868032	1400832
7200548227	413868032	1400832
7300561076	413868032	1400832
7400560208	413868032	1400832
7500560954	413868032	1400832
7600564151	413868032	1400832
7700564562	413868032	1400832
7800563323	413868032	1400832
7900530365	413868032	1400832
8000544502	413868032	1400832
8100563222	413868032	1400832
8200563996	413868032	1400832
8300568957	413868032	1400832
8400556054	413868032	1400832
8500547439	413868032	1400832
8600563139	413868032	1400832
8700565900	413868032	1400832
8800564703	413868032	1400832
8900557714	413868032	1400832
9000536694	413868032	1400832
9100542807	413868032	1400832
9200543130	352653312	1400832
9300549955	352780288	1400832
9400548515	411353088	1605632
9500550242	163811328	1773568
9600539933	336379904	1925120
9700554709	127406080	1925120
9800561867	127025152	1925120
9900558467	126857216	1925120
10000556847	132407296	1925120
10100551892	133062656	1925120
10200532997	132739072	1925120
10300531937	134074368	1925120
10400537107	133062656	1925120
10500532950	132210688	1925120
10600534154	133455872	1925120
10700531579	133378048	1925120
10800532972	133185536	1925120
10900536722	127594496	1925120
11000532675	129286144	1925120
11100533262	128802816	1925120
11200527347	129056768	1925120
11300527586	129335296	1925120
11400528119	129810432	1925120
11500525639	130105344	1925120
11600526886	130449408	1925120
11700526227	130736128	1925120
11800512496	131407872	1925120
11900518373	131981312	1925120
12000528897	132571136	1925120
12100527380	133087232	1925120
12200537970	194936832	1925120
12300534347	156086272	1925120
12400539104	181907456	1925120
12500546888	208228352	1925120
12600534891	230846464	1925120
12700527927	235212800	1925120
12800529736	239603712	1925120
12900529285	243150848	1925120
13000540419	245903360	1925120
13100540108	173166592	1925120
13200555331	188039168	1925120
13300557140	162062336	1929216
13400565191	170975232	1929216
13500559857	197451776	1929216
13600553650	227319808	1929216
13700552983	230727680	1929216
13800556424	223662080	1929216
13900543002	223662080	1929216
14000517831	223662080	1929216
14100518092	223662080	1929216
14200535737	223662080	1929216
14300534748	223662080	1929216
14400519772	223662080	1929216
14500517521	223662080	1929216
14600540419	223662080	1929216
14700516969	197050368	1929216
14800529790	198479872	1929216
14900540657	196276224	1929216
15000538520	196501504	1929216
15100519439	196620288	1929216
15200520995	197656576	1929216
15300536333	197083136	1929216
15400535413	197066752	1929216
15500523121	197050368	1933312
15600525100	197033984	1933312
15700535711	197021696	1933312
15800521900	197140480	1933312
15900527286	197271552	1933312
16000505739	197271552	1933312
16100547991	197271552	1933312
16200559632	197271552	1933312
16300560015	198713344	1933312
16400557159	197611520	1933312
16500543440	201412608	1933312
16600541898	203870208	1933312
16700544295	205443072	1933312
16800528608	214749184	1933312
16900542313	237506560	1933312
17000532961	212779008	1933312
17100553387	225099776	1933312
17200552503	215007232	1933312
17300553226	150560768	1966080
17400563251	141262848	1966080
17500536100	134938624	1966080
17600547306	130170880	1966080
17700542832	131076096	1966080
17800557234	133365760	1970176
17900537104	127840256	1970176
18000537741	129019904	1970176
18100520313	129028096	1970176
18200562450	130940928	1974272
18300535285	130420736	1974272
18400563550	132124672	1974272
