time	rss	kernel
0	770048	229376
100626358	15298560	499712
200641483	16023552	503808
300637406	17027072	524288
400648372	21966848	540672
500642899	21405696	548864
600646507	23842816	552960
700642203	20623360	552960
800642864	21803008	557056
900642409	22683648	557056
1000648087	25174016	557056
1100644211	24993792	561152
1200646814	27332608	561152
1300642311	30711808	569344
1400645062	29777920	573440
1500650022	33710080	581632
1600642659	35147776	585728
1700639077	38277120	589824
1800636913	38793216	593920
1900638132	40730624	602112
2000635664	37847040	602112
2100640587	42762240	606208
2200647989	44228608	610304
2300647755	42848256	614400
2400643749	43548672	614400
2500639283	43405312	614400
2600642325	45076480	614400
2700646095	49926144	622592
2800637705	50307072	626688
2900651385	52363264	630784
3000648658	52576256	630784
3100641661	52998144	638976
3200641750	53547008	638976
3300633389	52854784	638976
3400641042	52940800	638976
3500639192	53755904	643072
3600640846	55058432	643072
3700652418	55799808	643072
3800634923	58507264	651264
3900637677	62697472	675840
4000642824	64454656	679936
4100640118	68546560	692224
4200639139	73097216	696320
4300646535	74711040	700416
4400646634	81338368	720896
4500648444	76124160	720896
4600635647	72499200	741376
4700641542	72675328	745472
4800637426	74444800	745472
4900649022	77688832	745472
5000648534	85553152	745472
5100642851	84516864	745472
5200645788	84516864	745472
5300648530	87347200	745472
5400646916	85389312	749568
5500644329	75837440	757760
5600639813	73986048	757760
5700642439	76976128	757760
5800638116	76414976	757760
5900633732	76881920	761856
6000646004	78012416	761856
6100648500	79716352	761856
6200646513	78741504	761856
6300640181	80379904	765952
6400641632	80240640	765952
6500641514	80924672	765952
6600638620	84119552	765952
6700643733	85942272	770048
6800634576	86429696	770048
6900639677	87638016	770048
7000636883	88276992	774144
7100646046	89911296	774144
7200636907	90050560	774144
7300639015	88813568	774144
7400648051	91299840	778240
7500642517	91365376	778240
7600643577	93114368	778240
7700647749	95342592	778240
7800637111	94666752	782336
7900640934	96866304	786432
8000638335	97710080	790528
8100638700	97271808	794624
8200641569	97574912	794624
8300640249	100065280	798720
8400642043	100376576	798720
8500633457	100114432	802816
8600646685	103432192	806912
8700642659	103333888	806912
8801003456	103669760	811008
8900637623	104345600	815104
9000641950	106049536	819200
9100641441	106172416	819200
9200638707	106512384	819200
9300645030	109109248	827392
9400640913	109469696	827392
