time	rss	kernel
0	720896	139264
100592818	34017280	499712
200614882	41033728	512000
300610568	45764608	524288
400579890	48648192	540672
500613872	51269632	544768
600609691	53891072	548864
700614481	55726080	552960
800615747	58347520	561152
900608447	60051456	561152
1000614188	61755392	565248
1100602637	62803968	569344
1200612284	64770048	573440
1300610360	66605056	573440
1400613557	68046848	585728
1500589750	69881856	589824
1600610849	70799360	589824
1700586161	71847936	593920
1800609023	73289728	598016
1900602071	74207232	598016
2000614468	74993664	598016
2100607491	76173312	602112
2200612464	77746176	606208
2300615081	78532608	606208
2400621462	79843328	610304
2500602814	81022976	610304
2600609262	81940480	614400
2700603388	84291584	618496
2800609088	85209088	618496
2900613078	86781952	622592
3000580148	87175168	622592
3100603442	88223744	626688
3200611760	89403392	626688
3300611804	90320896	630784
3400609280	91369472	630784
3500613431	92155904	634880
3600608521	94646272	638976
3700620747	228339712	901120
3800622111	103677952	909312
3900597353	103677952	909312
4000598322	103677952	909312
4100616667	107479040	909312
4200634237	115343360	909312
4300580479	112963584	909312
4400587613	200212480	909312
4500606380	301400064	1052672
4600623698	301400064	1052672
4700606464	301400064	1052672
4800602868	301400064	1052672
4900611973	380043264	1208320
5000621547	603258880	1646592
5100623982	881786880	2187264
5200625774	881786880	2187264
5300604594	881786880	2187264
5400604314	881786880	2187264
5500610846	881786880	2187264
5600607452	881786880	2187264
5700608043	884146176	2191360
5800603468	884621312	2195456
5900599763	886063104	2195456
6000600631	887373824	2195456
6100597156	887898112	2195456
6200590485	240996352	2203648
6300609499	243494912	2203648
6400649519	331149312	2228224
6500619303	379592704	2228224
6600602399	382345216	2228224
6700596670	384049152	2228224
6800611022	389029888	2228224
6900602329	389816320	2228224
7000605910	390602752	2228224
7100607759	392044544	2228224
7200572083	393355264	2228224
7300599110	394928128	2228224
7400613136	396107776	2228224
7500611322	415752192	2228224
7600603074	415883264	2228224
7700599944	415883264	2228224
7800602643	415883264	2228224
7900602701	415883264	2228224
8000597238	415883264	2228224
8100600769	415883264	2228224
8200611973	415883264	2228224
8300605410	415883264	2228224
8400605434	415883264	2228224
8500607543	389971968	2228224
8600602490	371113984	2228224
8700601306	372019200	2228224
8800597502	371568640	2228224
8900595331	371458048	2228224
9000603847	367194112	2228224
9100600517	367218688	2228224
9200602794	366899200	2228224
9300599556	367218688	2228224
9400597916	367300608	2228224
9500598780	367292416	2228224
9600603620	367001600	2228224
