time	rss	kernel
0	716800	139264
100541493	54792192	544768
200591329	92536832	630784
300557106	93573120	647168
400551080	100904960	659456
500584081	100753408	659456
600569605	100753408	659456
700564238	109395968	684032
800555232	121249792	708608
900563636	159260672	778240
1000517807	159260672	778240
1100525596	430710784	1306624
1200528360	656154624	1744896
1300513954	702029824	1835008
1400507592	702029824	1835008
1500500604	702029824	1835008
1600498659	702029824	1835008
1700501365	702029824	1835008
1800500932	702029824	1835008
1900501558	702029824	1835008
2000507410	701894656	1843200
2100512880	707792896	1851392
2200517001	713691136	1863680
2300524307	141316096	1863680
2400524533	153812992	1867776
2500515617	175964160	1867776
2600509546	177537024	1867776
2700503549	178978816	1867776
2800511793	184352768	1867776
2900508351	184352768	1867776
3000510615	185532416	1867776
3100510685	186843136	1867776
3200514073	188284928	1867776
3300512822	189464576	1867776
3400515830	190504960	1867776
3500514837	191684608	1867776
3600516858	209248256	1867776
3700516389	208039936	1867776
3800508206	208039936	1867776
3900508021	208039936	1867776
4000507584	208039936	1867776
4100517329	208039936	1867776
4200509386	208039936	1867776
4300504511	208039936	1867776
4400504664	208039936	1867776
4500506183	208039936	1867776
4600508983	208039936	1867776
4700509034	208039936	1867776
4800515768	188362752	1867776
4900523499	188493824	1867776
5000515724	158212096	1867776
5100508547	157401088	1867776
5200508194	157499392	1867776
5300507060	156696576	1867776
5400508697	158089216	1867776
5500508565	158089216	1867776
5600508460	157425664	1867776
5700509100	157425664	1867776
5800507441	157491200	1867776
5900508981	157491200	1867776
6000507492	157425664	1867776
6100508152	157429760	1867776
6200506201	157466624	1867776
6300504981	156585984	1867776
6400502856	155967488	1867776
6500505535	157450240	1867776
6600504317	157429760	1867776
6700504489	157466624	1867776
6800503868	157503488	1871872
6900505131	157466624	1871872
7000504586	157446144	1871872
7100504913	157093888	1871872
7200522037	167161856	1871872
7300527232	167161856	1871872
7400526383	167161856	1871872
7500517065	167161856	1871872
7600522704	167161856	1871872
7700521000	167161856	1871872
7800525690	167161856	1871872
7900525768	167161856	1871872
8000529995	167161856	1871872
8100516037	167161856	1871872
8200520359	158171136	1871872
8300515103	158167040	1871872
8400512686	158158848	1871872
8500514922	158154752	1871872
8600521261	158150656	1871872
8700520364	155926528	1871872
8800511988	155815936	1871872
8900508840	155848704	1871872
9000507883	155873280	1871872
9100508329	155897856	1871872
9200507453	155930624	1871872
9300508849	155832320	1871872
9400507471	155856896	1871872
9500507702	155881472	1871872
9600507387	154726400	1871872
9700504818	155938816	1871872
9800505957	155963392	1871872
9900502076	155848704	1871872
10000505354	155881472	1871872
10100506334	155914240	1871872
10200505720	155938816	1871872
10300506079	155955200	1871872
10400506053	155987968	1871872
10500508234	155881472	1871872
10600507586	155914240	1871872
10700504966	155938816	1871872
10800527031	168177664	1871872
10900532711	168177664	1871872
11000527153	168177664	1871872
11100525978	168177664	1871872
11200526973	168177664	1871872
11300517270	168177664	1871872
11400535038	168177664	1871872
11500525760	168177664	1871872
11600525180	160284672	1871872
11700522528	160215040	1871872
11800525160	386183168	1871872
11900521578	471248896	1871872
12000520094	639414272	1871872
12100522873	665759744	1871872
12200521848	665759744	1871872
12300517371	665759744	1871872
12400519395	665759744	1871872
12500519729	665759744	1871872
12600521580	665759744	1871872
12700518901	665759744	1871872
12800518779	665759744	1871872
12900517084	665759744	1871872
13000521064	665759744	1871872
13100514883	665759744	1871872
13200518289	665759744	1871872
13300518591	665759744	1871872
13400518697	665759744	1871872
13500522575	665759744	1871872
13600519496	665759744	1871872
13700519930	665759744	1871872
13800519269	665759744	1871872
13900520598	665759744	1871872
14000517752	665759744	1871872
14100517776	665759744	1871872
14200515695	665759744	1871872
14300517814	665759744	1871872
14400513522	665759744	1871872
14500521061	665759744	1871872
14600521578	665759744	1871872
14700520840	665759744	1871872
14800518819	665759744	1871872
14900518181	665759744	1871872
15000516653	665759744	1871872
15100520353	665759744	1871872
15200525736	712159232	1961984
15300525258	781934592	2158592
15400527340	889528320	2560000
15500523354	897081344	2576384
15600519458	672178176	2576384
15700522959	239423488	3153920
15800527834	468537344	3153920
15900525955	158691328	3153920
16000519397	154480640	3153920
16100520317	159199232	3153920
16200521544	154402816	3153920
16300519036	167702528	3153920
16400521575	166391808	3153920
16500527998	175087616	3153920
16600527161	175009792	3153920
16700524924	166961152	3153920
16800530614	172711936	3153920
16900530740	172773376	3153920
17000522387	169029632	3153920
17100530262	175153152	3153920
17200530669	177545216	3153920
17300525967	163225600	3153920
17400532369	170340352	3153920
17500521455	170332160	3153920
17600527136	176300032	3153920
17700528688	169304064	3153920
17800516894	177573888	3153920
17900520624	174530560	3153920
18000523112	179576832	3301376
18100526307	177979392	3444736
18200528271	169984000	3592192
18300518764	173699072	3743744
18400545150	173965312	3891200
18500550352	176566272	4055040
18600529137	172085248	4218880
18700526662	175235072	4382720
18800524333	174891008	4542464
18900522253	162029568	4706304
19000525200	165896192	4886528
19100524029	163860480	5042176
19200528318	173375488	5124096
19300517173	157515776	5128192
19400512504	157507584	5128192
19500513183	157499392	5128192
19600515702	154841088	5128192
19700509296	154869760	5128192
19800505616	154918912	5128192
19900507859	154816512	5128192
20000507681	154845184	5128192
20100507788	154873856	5128192
20200505010	154902528	5128192
20300504773	153489408	5128192
20400503229	154927104	5128192
20500506838	154845184	5128192
20600523460	186802176	5128192
20700524794	186413056	5128192
20800518048	168218624	5128192
20900511362	169766912	5128192
21000571301	171233280	5128192
21100532970	171548672	5128192
21200533677	174477312	5128192
21300534233	176095232	5128192
21400535090	177639424	5128192
21500545401	178569216	5128192
21600545037	182763520	5128192
21700565588	182763520	5128192
21800543616	182374400	5128192
21900542928	182358016	5128192
22000551025	185372672	5128192
22100550111	218927104	5128192
22200561570	178016256	5128192
22300581595	178016256	5128192
22400581386	178016256	5128192
22500576040	178016256	5128192
22600579636	178016256	5128192
22700582183	178016256	5128192
22800582066	178016256	5128192
