time	rss	kernel
0	1011712	241664
100513061	55271424	606208
200664154	92753920	679936
300567964	93667328	700416
400576645	100999168	712704
500513405	100962304	712704
600521163	100962304	712704
700587083	109604864	737280
800518771	121982976	761856
900552973	159469568	831488
1000512094	159469568	831488
1100583701	430919680	1359872
1200605308	664309760	1814528
1300560976	702189568	1888256
1400508514	702189568	1888256
1500500110	702189568	1888256
1600519998	702189568	1888256
1700544793	702189568	1888256
1800506959	702189568	1888256
1900503966	702189568	1888256
2000508775	702050304	1896448
2100512245	709128192	1912832
2200517722	713846784	1921024
2300525258	141471744	1921024
2400548257	153968640	1925120
2500516054	176119808	1925120
2600543518	177692672	1925120
2700516551	179134464	1925120
2800524144	184508416	1925120
2900541279	184508416	1925120
3000508363	185688064	1925120
3100515372	186998784	1925120
3200513966	188440576	1925120
3300516170	189620224	1925120
3400514172	190660608	1925120
3500521423	191840256	1925120
3600568819	209403904	1925120
3700541245	208199680	1925120
3800516624	208199680	1925120
3900515511	208199680	1925120
4000515061	208199680	1925120
4100515253	208199680	1925120
4200518323	208199680	1925120
4300515954	208199680	1925120
4400513079	208199680	1925120
4500505367	208199680	1925120
4600516537	208199680	1925120
4700510337	208199680	1925120
4800512546	208199680	1925120
4900524387	188522496	1925120
5000549751	157663232	1925120
5100511566	156852224	1925120
5200506144	157749248	1925120
5300506460	157585408	1925120
5400506206	157650944	1925120
5500509661	157642752	1925120
5600505052	157577216	1925120
5700505362	157638656	1925120
5800509984	158154752	1925120
5900509530	157560832	1925120
6000505843	157564928	1925120
6100509519	157671424	1925120
6200507910	156614656	1925120
6300507261	157642752	1925120
6400505003	157679616	1925120
6500508817	157589504	1929216
6600511084	157622272	1929216
6700509882	157663232	1929216
6800508260	157655040	1929216
6900507761	157560832	1929216
7000515063	157597696	1929216
7100506519	157638656	1929216
7200514417	161329152	1929216
7300517187	167358464	1929216
7400553098	167358464	1929216
7500554021	167358464	1929216
7600587757	167358464	1929216
7700546388	167358464	1929216
