time	rss	kernel
0	856064	192512
100571480	10543104	487424
200593756	10543104	487424
300571648	10543104	487424
400575275	10543104	487424
500575575	10543104	487424
600585499	18669568	507904
700582597	18669568	507904
800574145	18669568	507904
900574765	18669568	507904
1000575071	18669568	507904
1100574734	18669568	507904
1200575906	18669568	507904
1300575980	18669568	507904
1400584397	24829952	520192
1500590698	27058176	532480
1600579337	27058176	532480
1700592322	27058176	532480
1800577457	27058176	532480
1900574900	27058176	532480
2000575679	27058176	532480
2100575855	27058176	532480
2200580467	27058176	532480
2300580838	27058176	532480
2400574926	27058176	532480
2500576204	27058176	532480
2600575898	27058176	532480
2700580127	29024256	536576
2800577493	29024256	536576
2900575789	29024256	536576
3000575472	29024256	536576
3100580916	29024256	536576
3200580332	29024256	536576
3300578204	29024256	536576
3400574727	29024256	536576
3500575124	29024256	536576
3600575032	29024256	536576
3700573457	29024256	536576
3800599446	37150720	548864
3900580050	37150720	548864
4000577343	37150720	548864
4100576837	37150720	548864
4200575372	37150720	548864
4300613983	37150720	548864
4400579601	37150720	548864
4500575007	37150720	548864
4600575897	37150720	548864
4700578506	37150720	548864
4800582424	37150720	548864
4900595285	37150720	548864
5000585126	37150720	548864
5100579978	37150720	548864
5200579306	37150720	548864
5300579529	39116800	552960
5400576991	39116800	552960
5500575208	39116800	552960
5600573927	39116800	552960
5700575481	39116800	552960
5800574186	39116800	552960
5900590269	47112192	573440
6000580852	47112192	573440
6100585372	47112192	573440
6200578741	47112192	573440
6300580485	47112192	573440
6400586643	47112192	573440
6500586017	47112192	573440
6600579343	47112192	573440
6700579283	47112192	573440
6800577589	47112192	573440
6900584190	47112192	573440
7000576768	47112192	573440
7100576635	47112192	573440
7200583944	47112192	573440
7300582476	47112192	573440
7400579654	47112192	573440
7500577180	47112192	573440
7600579350	47112192	573440
7700589314	49078272	577536
7800587126	49078272	577536
7900585340	49078272	577536
8000579001	49078272	577536
8100585349	49078272	577536
8200579877	49078272	577536
8300583866	49078272	577536
8400575553	49078272	577536
8500580288	49078272	577536
8600580429	49078272	577536
8700579586	49078272	577536
8800585612	49078272	577536
8900578310	49078272	577536
9000590362	49078272	577536
9100585003	49078272	577536
9200585972	57204736	593920
9300582655	57204736	593920
9400578151	57204736	593920
9500579123	57204736	593920
9600579044	57204736	593920
9700582118	57204736	593920
9800581745	57204736	593920
9900594053	57204736	593920
10000588287	57204736	593920
10100586594	57204736	593920
10200581051	57204736	593920
10300578762	57204736	593920
10400577105	57204736	593920
10500579869	57204736	593920
10600599336	57204736	593920
10700579825	57204736	593920
10800582008	57204736	593920
10900579310	57204736	593920
11000577823	57204736	593920
11100579655	57204736	593920
11200591207	59170816	598016
11300590904	59170816	598016
11400577789	59170816	598016
11500580574	59170816	598016
11600583066	59170816	598016
11700580809	59170816	598016
11800579110	59170816	598016
11900582096	59170816	598016
12000580534	59170816	598016
12100591271	59170816	598016
12200593388	59170816	598016
12300592369	59170816	598016
