time	rss	kernel
0	573440	176128
100581048	5705728	462848
200592386	7409664	462848
300587722	9244672	471040
400577357	10948608	475136
500589444	10948608	475136
600580302	12652544	479232
700579329	12652544	479232
800589136	14487552	483328
900579746	14487552	483328
1000574577	16191488	483328
1100602676	16191488	483328
1200610551	16191488	483328
1300613155	17895424	487424
1400611602	17895424	487424
1500597354	17895424	487424
1600612577	19599360	487424
1700594284	19599360	487424
1800585273	19599360	487424
1900604567	21303296	495616
2000599233	21303296	495616
2100599131	21303296	495616
2200609438	21303296	495616
2300612172	21827584	495616
2400612577	21827584	495616
2500612233	21827584	495616
2600611776	21827584	495616
2700604209	22220800	495616
2800614967	22220800	495616
2900611011	22220800	495616
3000614278	22745088	495616
3100613589	22745088	495616
3200611966	22745088	495616
3300610767	22745088	495616
3400593425	23138304	495616
3500609580	23138304	495616
3600615861	23138304	495616
3700611095	23269376	495616
3800609941	23662592	495616
3900612004	23662592	495616
4000609635	23662592	495616
4100613912	24055808	495616
4200597443	24055808	495616
4300592866	24055808	495616
4400593337	24055808	495616
4500579118	23478272	495616
4600598697	23478272	495616
4700610649	23478272	495616
4800611076	23556096	495616
4900609017	23556096	495616
5000610950	23556096	495616
5100614527	23556096	495616
5200610659	23633920	495616
5300612890	23633920	495616
5400612099	23633920	495616
5500608347	23633920	495616
5600600190	23613440	495616
5700612187	23613440	495616
5800599442	23613440	495616
5900600443	23588864	495616
6000608460	23588864	495616
6100609954	23588864	495616
6200615435	23588864	495616
6300611406	23560192	495616
6400602325	23560192	495616
6500583085	23560192	495616
6600609762	23560192	495616
6700612578	23638016	495616
6800611149	23638016	495616
6900603187	23638016	495616
7000610963	23482368	495616
7100602475	23482368	495616
7200603690	23482368	495616
7300608988	23482368	495616
7400599155	23453696	495616
7500611529	23453696	495616
7600601460	23453696	495616
7700602047	23298048	495616
7800610971	23429120	495616
7900612060	23429120	495616
8000609961	23429120	495616
8100613200	23506944	495616
8200610830	23506944	495616
8300609370	23506944	495616
8400609184	23506944	495616
8500615807	23584768	495616
8600597605	23584768	495616
8700611431	23584768	495616
8800601933	23560192	495616
8900610657	23560192	495616
9000611736	23560192	495616
9100611404	23560192	495616
9200601362	23539712	495616
9300609721	23539712	495616
9400612875	23539712	495616
9500609346	23539712	495616
9600612383	23506944	495616
9700607770	23506944	495616
9800609357	23506944	495616
9900611445	23453696	495616
10000613439	23453696	495616
10100584987	23453696	495616
10200600020	23453696	495616
10300608793	23429120	495616
10400599367	23429120	495616
