time	rss	kernel
0	749568	192512
100554247	10412032	487424
200559822	10412032	487424
300556981	10412032	487424
400557345	10412032	487424
500557232	10412032	487424
600565634	18538496	516096
700564240	18538496	516096
800557585	18538496	516096
900558075	18538496	516096
1000557511	18538496	516096
1100557752	18538496	516096
1200557939	18538496	516096
1300557085	18538496	516096
1400573790	26927104	544768
1500565932	26927104	544768
1600558756	26927104	544768
1700559061	26927104	544768
1800558426	26927104	544768
1900557613	26927104	544768
2000557110	26927104	544768
2100557935	26927104	544768
2200557399	26927104	544768
2300559146	26927104	544768
2400558655	26927104	544768
2500558708	26927104	544768
2600565986	26927104	544768
2700565876	28893184	548864
2800560498	28893184	548864
2900559456	28893184	548864
3000558857	28893184	548864
3100558015	28893184	548864
3200559084	28893184	548864
3300558307	28893184	548864
3400558059	28893184	548864
3500558753	28893184	548864
3600558560	28893184	548864
3700569533	35053568	561152
3800571807	37019648	565248
3900564595	37019648	565248
4000560803	37019648	565248
4100560588	37019648	565248
4200558183	37019648	565248
4300558469	37019648	565248
4400557523	37019648	565248
4500558150	37019648	565248
4600558928	37019648	565248
4700557349	37019648	565248
4800557519	37019648	565248
4900558018	37019648	565248
5000558578	37019648	565248
5100558647	37019648	565248
5200563793	38330368	565248
5300561589	38985728	569344
5400556550	38985728	569344
5500556708	38985728	569344
5600556795	38985728	569344
5700556610	38985728	569344
5800568369	47112192	585728
5900565238	47112192	585728
6000564221	47112192	585728
6100561433	47112192	585728
6200562287	47112192	585728
6300564143	47112192	585728
6400561817	47112192	585728
6500563490	47112192	585728
6600561623	47112192	585728
6700561135	47112192	585728
6800561130	47112192	585728
6900563086	47112192	585728
7000560095	47112192	585728
7100561460	47112192	585728
7200560640	47112192	585728
7300561183	47112192	585728
7400561255	47112192	585728
7500638932	48947200	585728
7600606762	48947200	585728
7700560887	48947200	585728
7800556767	48947200	585728
7900598547	48947200	585728
8000600796	48947200	585728
8100588854	48947200	585728
8200598725	48947200	585728
8300590974	48947200	585728
8400599636	48947200	585728
8500615047	48947200	585728
8600616516	48947200	585728
8700556188	48947200	585728
8800592056	48947200	585728
8900597014	48947200	585728
9000609811	49602560	585728
9100611287	57073664	606208
9200602329	57073664	606208
9300612480	57073664	606208
9400602197	57073664	606208
9500601148	57073664	606208
9600601433	57073664	606208
9700598511	57073664	606208
9800619105	57073664	606208
9900598641	57073664	606208
10000590638	57073664	606208
10100597720	57073664	606208
10200600561	57073664	606208
10300592269	57073664	606208
10400601931	57073664	606208
10500597572	57073664	606208
10600604759	57073664	606208
10700616525	57073664	606208
10800616993	57073664	606208
10900598216	57073664	606208
11000592501	57073664	606208
11100602324	59039744	610304
11200618880	59039744	610304
11300558923	59039744	610304
11400597815	59039744	610304
11500602165	59039744	610304
11600615870	59039744	610304
11700606988	59039744	610304
11800597335	59039744	610304
11900562294	59039744	610304
12000563022	59039744	610304
12100557650	59039744	610304
12200617864	59039744	610304
12300609431	59039744	610304
12400599099	59039744	610304
12500604674	59039744	610304
12600603301	59039744	610304
12700601821	59039744	610304
12800599061	59695104	610304
12900600266	61267968	614400
13000619898	61267968	614400
13100615918	61267968	614400
13200600626	61267968	614400
13300593247	61267968	614400
13400599220	61267968	614400
13500613170	61267968	614400
13600618053	61267968	614400
13700597552	61267968	614400
13800601960	61267968	614400
13900618826	61267968	614400
14000617617	61267968	614400
14100599738	61267968	614400
14200603792	61267968	614400
14300590945	61267968	614400
14400599593	61267968	614400
14500620389	61267968	614400
14600615686	61267968	614400
14700600204	61267968	614400
14800594168	63234048	618496
14900589903	63234048	618496
15000586274	63234048	618496
15100589163	63234048	618496
15200589175	63234048	618496
15300591278	63889408	618496
15400596083	65462272	622592
15500593571	65462272	622592
15600594628	65462272	622592
15700598122	65462272	622592
15800596933	65462272	622592
15900597612	65462272	622592
16000600017	65462272	622592
16100605478	65462272	622592
16200558273	65462272	622592
16300575300	65462272	622592
16400590867	65462272	622592
16500598237	65462272	622592
16600599351	65462272	622592
16700618834	65462272	622592
16800611776	65462272	622592
16900599807	65462272	622592
17000599326	65462272	622592
17100601262	65462272	622592
17200617338	65462272	622592
17300611024	65486848	622592
17400602166	65486848	622592
17500602520	65486848	622592
17600620740	65486848	622592
17700621137	65486848	622592
17800600548	65486848	622592
17900600029	65486848	622592
18000615485	65486848	622592
18100614135	65486848	622592
18200598650	65486848	622592
18300588936	65486848	622592
18400597958	65486848	622592
18500620408	65486848	622592
18600615437	65486848	622592
18700600731	65486848	622592
18800600139	65486848	622592
18900615478	65486848	622592
19000620732	63512576	622592
19100607567	65871872	622592
19200601676	65871872	622592
19300594978	65871872	622592
19400618068	65871872	622592
19500618432	65871872	622592
19600599194	65871872	622592
19700599976	65871872	622592
19800592182	65871872	622592
19900600753	65871872	622592
20000619704	65871872	622592
20100599672	65871872	622592
20200557959	65871872	622592
20300610186	65871872	622592
20400558084	65871872	622592
20500558224	65871872	622592
20600558249	65871872	622592
20700598521	65871872	622592
20800619117	65871872	622592
20900616514	65871872	622592
21000603889	65560576	622592
21100602036	65560576	622592
21200619661	65560576	622592
21300609422	65560576	622592
21400601922	65560576	622592
21500557772	65560576	622592
21600593720	65560576	622592
21700603121	65560576	622592
21800575582	65560576	622592
21900620746	65560576	622592
22000599036	65560576	622592
22100597901	65560576	622592
22200599952	65560576	622592
22300614945	65560576	622592
22400620989	65560576	622592
22500601820	65560576	622592
22600603815	65560576	622592
22700603357	65560576	622592
22800598359	65949696	622592
22900599751	65949696	622592
23000600829	65949696	622592
23100617260	65949696	622592
23200618540	65949696	622592
23300600249	65949696	622592
23400600006	65949696	622592
23500617648	65949696	622592
23600619687	65949696	622592
23700598958	65949696	622592
23800594161	65949696	622592
23900598637	65949696	622592
24000615819	65949696	622592
24100618894	65949696	622592
24200593702	65949696	622592
24300593304	65949696	622592
24400591617	65949696	622592
24500592149	65949696	622592
24600616245	65949696	622592
24700600410	65949696	622592
24800591486	65507328	622592
24900587861	65507328	622592
25000587962	65507328	622592
25100587179	65507328	622592
25200587703	65507328	622592
25300602890	65900544	622592
25400602344	65900544	622592
25500601178	65900544	622592
25600599943	65900544	622592
25700600885	65900544	622592
25800599453	65900544	622592
25900599733	65900544	622592
26000600179	65900544	622592
26100616624	65900544	622592
26200616958	65900544	622592
26300599042	65900544	622592
26400591641	65900544	622592
26500599168	65900544	622592
26600622070	65900544	622592
26700616623	65900544	622592
26800598613	65900544	622592
26900598669	65900544	622592
27000621191	65900544	622592
27100617045	65900544	622592
27200602974	65585152	622592
27300600788	65585152	622592
27400597234	65585152	622592
27500597484	65585152	622592
27600600513	65585152	622592
27700618970	65585152	622592
27800597651	65585152	622592
27900557600	65585152	622592
28000600171	65585152	622592
28100618040	65585152	622592
28200616657	65585152	622592
28300597931	65585152	622592
28400599003	65585152	622592
28500597028	65585152	622592
28600616152	65585152	622592
28700616095	65585152	622592
28800599774	65585152	622592
28900600470	65585152	622592
29000601430	65847296	622592
29100602535	65847296	622592
29200618000	65847296	622592
29300616580	65847296	622592
29400599446	65847296	622592
29500598434	65847296	622592
29600599604	65847296	622592
29700597998	65847296	622592
29800617291	65847296	622592
29900598896	65847296	622592
30000602865	65847296	622592
30100601335	65847296	622592
30200599238	65847296	622592
30300600427	65847296	622592
30400590911	65847296	622592
30500600201	65847296	622592
30600600164	65847296	622592
30700603077	65847296	622592
30800596902	65847296	622592
30900599754	65544192	622592
31000604888	65544192	622592
31100599807	65544192	622592
31200599751	65544192	622592
31300599087	65544192	622592
31400600076	65544192	622592
31500601359	65544192	622592
31600591810	65544192	622592
31700599103	65544192	622592
31800599551	65544192	622592
31900604333	65544192	622592
32000600161	65544192	622592
32100599056	65544192	622592
32200599965	65544192	622592
32300601878	65544192	622592
32400604201	65544192	622592
32500616762	65544192	622592
32600619041	63582208	622592
32700605770	65810432	622592
32800600894	65810432	622592
32900600560	65810432	622592
33000617523	65810432	622592
33100619320	65810432	622592
33200601406	65810432	622592
33300594410	65810432	622592
33400602862	65810432	622592
33500618484	65810432	622592
33600620225	65810432	622592
33700608573	65810432	622592
33800592649	65810432	622592
33900599425	65810432	622592
34000601232	65810432	622592
34100597179	65810432	622592
34200598058	65810432	622592
34300556635	65810432	622592
34400618236	65810432	622592
34500608577	65810432	622592
34600594323	65634304	622592
34700593743	65634304	622592
34800589203	65634304	622592
34900586937	65634304	622592
35000588081	65634304	622592
35100606388	65896448	622592
35200601468	65896448	622592
35300603425	65896448	622592
35400600974	65896448	622592
35500599210	65896448	622592
35600598943	65896448	622592
35700601196	65896448	622592
35800591178	65896448	622592
35900617636	65896448	622592
36000599719	65896448	622592
36100605017	65896448	622592
36200599722	65896448	622592
36300601419	65896448	622592
36400599304	65896448	622592
36500598664	65896448	622592
36600599344	65896448	622592
36700598598	65896448	622592
36800602063	65896448	622592
36900599862	65896448	622592
37000597846	65896448	622592
37100599233	65589248	622592
37200601597	65589248	622592
37300597349	65589248	622592
37400597681	65589248	622592
37500600059	65589248	622592
37600602308	65589248	622592
37700600595	65589248	622592
37800589829	65589248	622592
37900558765	65589248	622592
38000604725	65589248	622592
38100617009	65589248	622592
38200597358	65589248	622592
38300600197	65589248	622592
38400602269	65589248	622592
38500609774	65589248	622592
38600601227	65589248	622592
38700605116	65589248	622592
38800606560	65855488	622592
38900601917	65855488	622592
39000601755	65855488	622592
39100597982	65855488	622592
39200602164	65855488	622592
39300599563	65855488	622592
39400641091	65855488	622592
39500616157	65855488	622592
39600599144	65855488	622592
39700592644	65855488	622592
39800616069	65855488	622592
39900614606	65855488	622592
40000598585	65855488	622592
40100602820	65855488	622592
40200602799	65855488	622592
40300590738	65855488	622592
40400600068	65855488	622592
40500598355	65855488	622592
40600599864	65855488	622592
40700562854	65585152	622592
40800602758	65585152	622592
40900594387	65585152	622592
41000602909	65585152	622592
41100600290	65585152	622592
41200600043	65585152	622592
41300594203	65585152	622592
41400591456	65585152	622592
41500602513	65585152	622592
41600598607	65585152	622592
41700602073	65585152	622592
41800556899	65585152	622592
41900557424	65585152	622592
42000601656	65585152	622592
42100590887	65585152	622592
42200590098	65585152	622592
42300591975	65585152	622592
42400604081	63504384	622592
42500601472	65863680	622592
42600602300	65863680	622592
42700595614	65863680	622592
42800594224	65863680	622592
42900600882	65863680	622592
43000620353	65863680	622592
43100619149	65863680	622592
43200594885	65863680	622592
43300595677	65863680	622592
43400593659	65863680	622592
43500633577	65863680	622592
43600602348	65863680	622592
43700597363	65863680	622592
43800598276	65863680	622592
43900598068	65863680	622592
44000620930	65863680	622592
44100615648	65863680	622592
44200594621	65863680	622592
44300596614	65863680	622592
44400593227	65593344	622592
44500556919	65593344	622592
44600587038	65593344	622592
44700587918	65593344	622592
44800587071	65593344	622592
44900602877	65875968	622592
45000562017	65875968	622592
45100602630	65875968	622592
45200597346	65875968	622592
45300599371	65875968	622592
45400593167	65875968	622592
45500599213	65875968	622592
45600600016	65875968	622592
45700616702	65875968	622592
45800575047	65875968	622592
45900597378	65875968	622592
46000600239	65875968	622592
46100617739	65875968	622592
46200615341	65875968	622592
46300590748	65875968	622592
46400603958	65875968	622592
46500603011	65875968	622592
46600600536	65875968	622592
46700615297	65875968	622592
46800616684	65875968	622592
46900598232	65597440	622592
47000604047	65597440	622592
47100556888	65597440	622592
47200599349	65597440	622592
47300615738	65597440	622592
47400600867	65597440	622592
47500604848	65597440	622592
47600605259	65597440	622592
47700680843	65597440	622592
47800589772	65597440	622592
47900596900	65597440	622592
48000597068	65597440	622592
48100599714	65597440	622592
48200619729	65597440	622592
48300616298	65597440	622592
48400591580	65597440	622592
48500604390	65597440	622592
48600607952	65916928	622592
48700603715	65916928	622592
48800599368	65916928	622592
48900603911	65916928	622592
49000618308	65916928	622592
49100598688	65916928	622592
49200593832	65916928	622592
49300600926	65916928	622592
49400600127	65916928	622592
49500601336	65916928	622592
49600616800	65916928	622592
49700604627	65916928	622592
49800602042	65916928	622592
49900600206	65916928	622592
50000617315	65916928	622592
50100614005	65916928	622592
50200599102	65916928	622592
50300599116	65916928	622592
50400617326	65916928	622592
50500613169	65916928	622592
50600601263	65523712	622592
50700594832	65523712	622592
50800599957	65523712	622592
50900603203	65523712	622592
51000617767	65523712	622592
51100597309	65523712	622592
51200597924	65523712	622592
51300596733	65523712	622592
51400603807	65523712	622592
51500621306	65523712	622592
51600615487	65523712	622592
51700598404	65523712	622592
51800597641	65523712	622592
51900601527	65523712	622592
52000617032	65523712	622592
52100555592	65523712	622592
52200596166	65523712	622592
52300607233	65818624	622592
52400602010	65818624	622592
52500591758	65818624	622592
52600603950	65818624	622592
52700621003	65818624	622592
52800601681	65818624	622592
52900602029	65818624	622592
53000594470	65818624	622592
53100599521	65818624	622592
53200620617	65818624	622592
53300604387	65818624	622592
53400602827	65818624	622592
53500601186	65818624	622592
53600618091	65818624	622592
53700616084	65818624	622592
53800597773	65818624	622592
53900598368	65818624	622592
54000620692	65818624	622592
54100615773	65818624	622592
54200599931	65818624	622592
54300591288	65654784	622592
54400591727	65654784	622592
54500585876	65654784	622592
54600587294	65654784	622592
54700553516	65654784	622592
54800603447	65822720	622592
54900602568	65822720	622592
55000605242	65822720	622592
55100591357	65822720	622592
55200600266	65822720	622592
55300601831	65822720	622592
55400597681	65822720	622592
55500599239	65822720	622592
55600607664	65822720	622592
55700598924	65822720	622592
55800622142	65822720	622592
55900616977	65822720	622592
56000557762	65822720	622592
56100601506	65822720	622592
56200600220	65822720	622592
56300615718	65822720	622592
56400599564	65822720	622592
56500590901	65822720	622592
56600603357	65822720	622592
56700562332	65556480	622592
56800610039	65556480	622592
56900616672	65556480	622592
57000598362	65556480	622592
57100597934	65556480	622592
57200602020	65556480	622592
57300576257	65556480	622592
57400628006	65556480	622592
57500604708	65556480	622592
57600604773	65556480	622592
57700591777	65556480	622592
57800599104	65556480	622592
57900556709	65556480	622592
58000618569	65556480	622592
58100615005	65556480	622592
58200597077	65556480	622592
58300598559	65556480	622592
58400588249	65556480	622592
58500604048	65847296	622592
58600578412	65847296	622592
58700621059	65847296	622592
58800600128	65847296	622592
58900592219	65847296	622592
59000559826	65847296	622592
59100604376	65847296	622592
59200618146	65847296	622592
59300616117	65847296	622592
59400595840	65847296	622592
59500599367	65847296	622592
59600600873	65847296	622592
59700614556	65847296	622592
59800613960	65847296	622592
59900597324	65847296	622592
60000600056	65847296	622592
60100607884	65847296	622592
60200616994	65847296	622592
60300600578	65847296	622592
60400589983	65847296	622592
60500602433	65617920	622592
60600622688	65617920	622592
60700618388	65617920	622592
60800599387	65617920	622592
60900597697	65617920	622592
61000604824	65617920	622592
61100599605	65617920	622592
61200601842	65617920	622592
61300600165	65617920	622592
61400608731	65617920	622592
61500610082	65617920	622592
61600602638	65617920	622592
61700598483	65617920	622592
61800620949	65617920	622592
61900617019	65617920	622592
62000597837	65617920	622592
62100595545	65617920	622592
62200605309	65777664	622592
62300601371	65777664	622592
62400591932	65777664	622592
62500599675	65777664	622592
62600602132	65777664	622592
62700601749	65777664	622592
62800600458	65777664	622592
62900607329	65777664	622592
63000599276	65777664	622592
63100602212	65777664	622592
63200598653	65777664	622592
63300614755	65777664	622592
63400594936	65777664	622592
63500599728	65777664	622592
63600599693	65777664	622592
63700589215	65777664	622592
63800597213	65777664	622592
63900601335	65777664	622592
64000603649	65777664	622592
64100598636	65777664	622592
64200594278	65572864	622592
64300591884	65572864	622592
64400586801	65572864	622592
64500587315	65572864	622592
64600592282	65572864	622592
64700605455	65904640	622592
64800604456	65904640	622592
64900597048	65904640	622592
65000595742	65904640	622592
65100591199	65904640	622592
65200599296	65904640	622592
65300592549	65904640	622592
65400594325	65904640	622592
65500602607	65904640	622592
65600597379	65904640	622592
65700590347	65904640	622592
65800601261	65904640	622592
65900618953	65904640	622592
66000598544	65904640	622592
66100599940	65904640	622592
66200614679	65904640	622592
66300617402	65904640	622592
66400592489	65904640	622592
66500600687	65904640	622592
66600605031	65904640	622592
66700595709	65466368	622592
66800599967	65466368	622592
66900599964	65466368	622592
67000600553	65466368	622592
67100615995	65466368	622592
67200615348	65466368	622592
67300597529	65466368	622592
67400591842	65466368	622592
67500556625	65466368	622592
67600602564	65466368	622592
67700596104	65466368	622592
67800600172	65466368	622592
67900555859	65466368	622592
68000617988	65466368	622592
68100616265	65466368	622592
68200599574	65466368	622592
68300591631	65466368	622592
68400596844	63561728	626688
68500605080	65789952	626688
68600619380	65789952	626688
68700617238	65789952	626688
68800557657	65789952	626688
68900602591	65789952	626688
69000599049	65789952	626688
69100615270	65789952	626688
69200598020	65789952	626688
69300592017	65789952	626688
69400591080	65789952	626688
69500601091	65789952	626688
69600616146	65789952	626688
69700606722	65789952	626688
69800598584	65789952	626688
69900597064	65789952	626688
70000598393	65789952	626688
70100574832	65789952	626688
70200601705	65789952	626688
70300598658	65789952	626688
70400595876	65441792	626688
70500601304	65441792	626688
70600599733	65441792	626688
70700619467	65441792	626688
70800613760	65441792	626688
70900599570	65441792	626688
71000597662	65441792	626688
71100598826	65441792	626688
71200616238	65441792	626688
71300601198	65441792	626688
71400556876	65441792	626688
71500592393	65441792	626688
71600602789	65441792	626688
71700597494	65441792	626688
71800598358	65441792	626688
71900564093	65441792	626688
72000599186	65441792	626688
72100608418	63553536	626688
72200606439	65912832	626688
72300597711	65912832	626688
72400591736	65912832	626688
72500599290	65912832	626688
72600603773	65912832	626688
72700604449	65912832	626688
72800599909	65912832	626688
72900599352	65912832	626688
73000597660	65912832	626688
73100599602	65912832	626688
73200600454	65912832	626688
73300610010	65912832	626688
73400592301	65912832	626688
73500597667	65912832	626688
73600598169	65912832	626688
73700600491	65912832	626688
73800616550	65912832	626688
73900618674	65912832	626688
74000598696	65912832	626688
74100595246	65531904	626688
74200590053	65531904	626688
74300587345	65531904	626688
74400588364	65531904	626688
74500589455	65531904	626688
74600607941	65777664	626688
74700601171	65777664	626688
74800601091	65777664	626688
74900597725	65777664	626688
75000599980	65777664	626688
75100597844	65777664	626688
75200598663	65777664	626688
75300599373	65777664	626688
75400592496	65777664	626688
75500600528	65777664	626688
75600597709	65777664	626688
75700601448	65777664	626688
75800597637	65777664	626688
75900557033	65777664	626688
76000555579	65777664	626688
76100558591	65777664	626688
76200597624	65777664	626688
76300600770	65777664	626688
76400591844	65777664	626688
76500601669	65605632	626688
76600599665	65605632	626688
76700603215	65605632	626688
76800601380	65605632	626688
76900599457	65605632	626688
77000598876	65605632	626688
77100598585	65605632	626688
77200602196	65605632	626688
77300598175	65605632	626688
77400589973	65605632	626688
77500597859	65605632	626688
77600601785	65605632	626688
77700601256	65605632	626688
77800598280	65605632	626688
77900557746	65605632	626688
78000590596	65605632	626688
78100599949	65605632	626688
78200607936	63500288	626688
78300606106	65859584	626688
78400593138	65859584	626688
78500601732	65859584	626688
78600603962	65859584	626688
78700599956	65859584	626688
78800598762	65859584	626688
78900600048	65859584	626688
79000599749	65859584	626688
79100598239	65859584	626688
79200601776	65859584	626688
79300597407	65859584	626688
79400591511	65859584	626688
79500599642	65859584	626688
79600599420	65859584	626688
79700599381	65859584	626688
79800599098	65859584	626688
79900607043	65859584	626688
80000619244	65859584	626688
80100602458	65859584	626688
80200561741	65519616	626688
80300559829	65519616	626688
80400592218	65519616	626688
80500598990	65519616	626688
80600618526	65519616	626688
80700598818	65519616	626688
80800598337	65519616	626688
80900593032	65519616	626688
81000590552	65519616	626688
81100609864	65519616	626688
81200597444	65519616	626688
81300598537	65519616	626688
81400591122	65519616	626688
81500617780	65519616	626688
81600614963	65519616	626688
81700599479	65519616	626688
81800602733	65519616	626688
81900605132	65884160	626688
82000603658	65884160	626688
82100620771	65884160	626688
82200616574	65884160	626688
82300603550	65884160	626688
82400592388	65884160	626688
82500601895	65884160	626688
82600601900	65884160	626688
82700601119	65884160	626688
82800597561	65884160	626688
82900591844	65884160	626688
83000597662	65884160	626688
83100599743	65884160	626688
83200597453	65884160	626688
83300597550	65884160	626688
83400589065	65884160	626688
83500591368	65884160	626688
83600599086	65884160	626688
83700598400	65884160	626688
83800609443	65568768	626688
83900589948	65568768	626688
84000594404	65568768	626688
84100586670	65568768	626688
84200588173	65568768	626688
84300599434	63508480	626688
84400563007	65867776	626688
84500558895	65867776	626688
84600557978	65867776	626688
84700599670	65867776	626688
84800601018	65867776	626688
84900592289	65867776	626688
85000602164	65867776	626688
85100601319	65867776	626688
85200598563	65867776	626688
85300619613	65867776	626688
85400605740	65867776	626688
85500599326	65867776	626688
85600600745	65867776	626688
85700599475	65867776	626688
85800606883	65867776	626688
85900603337	65867776	626688
86000599519	65867776	626688
86100598301	65867776	626688
86200598849	65622016	626688
86300620476	65622016	626688
86400609201	65622016	626688
86500604857	65622016	626688
86600598044	65622016	626688
86700590367	65622016	626688
86800598836	65622016	626688
86900637089	65622016	626688
87000598094	65622016	626688
87100597875	65622016	626688
87200596071	65622016	626688
87300600364	65622016	626688
87400588324	65622016	626688
87500597562	65622016	626688
87600623357	65622016	626688
87700595660	65622016	626688
87800598805	65622016	626688
87900602392	63619072	626688
88000603278	65847296	626688
88100599987	65847296	626688
88200598522	65847296	626688
88300601154	65847296	626688
88400593243	65847296	626688
88500600764	65847296	626688
88600638462	65847296	626688
88700600904	65847296	626688
88800597255	65847296	626688
88900599992	65847296	626688
89000597364	65847296	626688
89100598123	65847296	626688
89200613800	65847296	626688
89300603182	65847296	626688
89400590128	65847296	626688
89500590302	65847296	626688
89600616351	65847296	626688
89700607705	65847296	626688
89800597744	65847296	626688
89900601571	65531904	630784
90000595671	65531904	630784
90100598233	65531904	630784
90200600358	65531904	630784
90300597813	65531904	630784
90400599148	65531904	630784
90500589909	65531904	630784
90600599129	65531904	630784
90700604802	65531904	630784
90800600864	65531904	630784
90900601889	65531904	630784
91000603777	65531904	630784
91100598606	65531904	630784
91200590795	65531904	630784
91300599034	65531904	630784
91400591335	65531904	630784
91500596983	65531904	630784
91600592463	65875968	638976
91700597654	65875968	638976
91800557446	65875968	638976
91900600064	65875968	638976
92000598386	65875968	638976
92100599493	65875968	638976
92200592359	65875968	638976
92300600733	65875968	638976
92400601426	65875968	638976
92500602763	65875968	638976
92600600498	65875968	638976
92700596777	65875968	638976
92800597316	65875968	638976
92900597033	65875968	638976
93000599170	65875968	638976
93100556622	65875968	638976
93200591042	65875968	638976
93300592713	65875968	638976
93400592858	65875968	638976
93500594883	65597440	643072
93600591624	65597440	643072
93700587781	65597440	643072
93800586651	65597440	643072
93900587223	65597440	643072
94000603337	63713280	655360
94100613275	65810432	655360
94200591196	65810432	655360
94300598271	65810432	655360
94400557806	65810432	655360
94500569544	65810432	655360
94600562241	65810432	655360
94700561391	65810432	655360
94800561274	65810432	655360
94900561318	65810432	655360
95000562111	65810432	655360
95100561799	65810432	655360
95200560465	65810432	655360
95300560460	65810432	655360
95400561244	65810432	655360
95500561642	65810432	655360
95600561871	65810432	655360
95700561740	65810432	655360
95800561410	65810432	655360
95900562644	65810432	655360
96000565768	65568768	655360
96100567395	65568768	655360
96200563635	65568768	655360
96300561859	65568768	655360
96400562242	65568768	655360
