time	rss	kernel
0	835584	192512
100606126	19058688	442368
200623745	19058688	442368
300624405	18944000	442368
400619307	18944000	442368
500624691	18944000	442368
600624494	18944000	442368
700625888	18944000	442368
800629906	18944000	442368
900624229	18944000	442368
1000623562	18944000	442368
1100624012	87232512	581632
1200618664	208211968	823296
1300622699	224595968	851968
1400614597	224595968	851968
1500626093	224595968	851968
1600628177	224595968	851968
1700625678	224595968	851968
1800616381	224595968	851968
1900625447	224595968	851968
2000627332	224595968	851968
2100623537	224595968	851968
2200628003	224595968	851968
2300625915	224595968	851968
2400631363	224595968	851968
2500623783	224595968	851968
2600624500	224595968	851968
2700602882	224595968	851968
2800626599	224595968	851968
2900623869	224595968	851968
3000620783	224595968	851968
3100626524	224595968	851968
3200627108	224595968	851968
3300613800	224595968	851968
3400628173	224595968	851968
3500627822	224595968	851968
3600623048	224595968	851968
3700607736	224595968	851968
3800616658	224595968	851968
3900615758	224595968	851968
4000614619	224595968	851968
4100629432	224595968	851968
4200621220	224595968	851968
4300624845	224595968	851968
4400623802	224595968	851968
4500624014	224595968	851968
4600625705	224595968	851968
4700615613	224595968	851968
4800626936	224595968	851968
4900625899	224595968	851968
5000608687	314642432	1032192
5100602584	212344832	1253376
5200619045	212344832	1253376
5300618310	221913088	1273856
5400625564	314056704	1454080
5500628072	340926464	1503232
5600613109	357441536	1536000
5700605524	362029056	1544192
5800594903	362029056	1544192
5900619026	362160128	1544192
6000615333	362160128	1544192
6100616004	362160128	1544192
6200615718	362160128	1544192
6300615181	362160128	1544192
6400625914	362160128	1544192
6500626252	362160128	1544192
6600626840	362160128	1544192
6700627937	362160128	1544192
6800627701	362160128	1544192
6900625044	362160128	1544192
7000627960	362160128	1544192
7100616108	362160128	1544192
7200625857	362160128	1544192
7300611347	362160128	1544192
7400607436	362160128	1544192
7500601960	362160128	1544192
7600584265	362160128	1544192
7700601260	362160128	1544192
7800605332	362160128	1544192
7900603735	362160128	1544192
8000621518	362160128	1544192
8100617188	362160128	1544192
8200613101	362160128	1544192
8300597489	362160128	1544192
8400587424	362160128	1544192
8500590674	362160128	1544192
8600587047	362160128	1544192
8700617698	362160128	1544192
8800615495	362160128	1544192
8900596609	362160128	1544192
9000585105	362160128	1544192
9100584978	362160128	1544192
9200603803	362160128	1544192
9300593108	362160128	1544192
9400602827	362160128	1544192
