time	rss	kernel
0	667648	143360
100475726	23592960	479232
200501160	39096320	512000
300502587	51539968	532480
400499528	62558208	552960
500485703	72105984	573440
600481084	80969728	589824
700508102	89169920	602112
800498515	96821248	618496
900499889	104824832	634880
1000500064	111763456	647168
1100510287	114958336	655360
1200505429	114958336	655360
1300505195	114958336	655360
1400493818	114958336	655360
1500486233	114958336	655360
1600487268	114958336	655360
1700487730	114958336	655360
1800485473	114958336	655360
1900487109	114958336	655360
2000486704	114958336	655360
2100486851	114958336	655360
2200475019	114958336	655360
2300482258	117186560	663552
2400480694	119939072	667648
2500499765	122953728	671744
2600483580	125960192	679936
2700480318	128974848	684032
2800487475	132120576	692224
2900480128	135127040	696320
3000482728	138117120	700416
3100497656	141131776	708608
3200498964	144146432	716800
3300483082	147030016	724992
3400481104	149905408	729088
3500479301	152772608	733184
3600484077	155656192	741376
3700503379	158539776	745472
3800497217	161423360	753664
3900480862	164405248	761856
4000481981	167395328	765952
4100505946	170278912	774144
4200498737	171720704	774144
4300494150	171982848	774144
4400499096	172101632	774144
4500503010	172232704	774144
4600497039	172363776	774144
4700496885	172494848	778240
4800496215	172756992	778240
4900497538	172888064	778240
5000497870	173019136	778240
5100499508	173150208	778240
5200497786	173281280	782336
5300496627	173543424	782336
5400496413	173674496	782336
5500499598	173805568	782336
5600497073	174067712	782336
5700495945	174198784	782336
5800500373	174329856	782336
5900496334	174460928	782336
6000496318	174723072	782336
6100495453	174854144	786432
6200498141	174985216	786432
6300497860	175247360	786432
6400495263	175378432	786432
6500494318	175509504	786432
6600496809	175640576	786432
6700497238	175902720	786432
6800496739	176033792	786432
6900495468	176164864	786432
7000498395	176295936	786432
7100498515	176558080	790528
7200494323	176689152	790528
7300461574	176820224	790528
7400504411	179539968	798720
7500503884	180252672	860160
7600507044	179970048	872448
7700498497	179986432	876544
7800498255	179695616	905216
7900506491	179453952	921600
8000507330	179445760	950272
8100506405	179179520	962560
8200504904	179212288	974848
8300505228	179818496	999424
8400506515	179953664	1003520
8500507749	180711424	1015808
8600508070	180379648	1036288
8700508868	180305920	1040384
8800504766	180772864	1040384
8900507765	179830784	1077248
9000505981	180146176	1077248
9100509035	180264960	1081344
9200514112	180469760	1085440
9300503105	180842496	1085440
9400508106	179920896	1105920
9500511890	180260864	1105920
9600507449	180117504	1114112
9700506188	180436992	1118208
9800504295	180027392	1130496
9900508384	181166080	1130496
10000507181	180473856	1146880
10100507080	181043200	1150976
10200504574	180465664	1150976
10300505002	180850688	1155072
10400508725	180420608	1159168
10500505460	180535296	1167360
10600522576	181166080	1171456
10700501627	180289536	1175552
10800508164	181342208	1179648
10900508513	180838400	1179648
11000500835	180703232	1191936
11100507090	181112832	1191936
11200506598	180531200	1200128
11300508860	180432896	1200128
11400502359	180649984	1204224
11500507453	180342784	1212416
11600508297	180924416	1216512
11700513511	180559872	1220608
11800505010	180219904	1232896
11900504242	180948992	1232896
12000502135	181211136	1241088
12100507329	180977664	1241088
12200506575	180281344	1257472
12300498421	180510720	1261568
12400506638	180367360	1265664
12500507558	180912128	1269760
12600508011	180588544	1273856
12700509877	180449280	1286144
12800503408	181248000	1286144
12900505204	181288960	1294336
