time	rss	kernel
0	827392	196608
100549744	23404544	552960
200579710	39079936	585728
300572388	51638272	606208
400582249	62763008	630784
500573877	72433664	647168
600581306	81154048	663552
700578032	89411584	679936
800579547	97361920	696320
900579295	105037824	708608
1000574973	111493120	720896
1100584433	114769920	729088
1200583508	114769920	729088
1300576321	114769920	729088
1400586488	114769920	729088
1500581129	114769920	729088
1600578938	114769920	729088
1700579179	114769920	729088
1800534574	114769920	729088
1900564070	114769920	729088
2000579448	114769920	729088
2100580807	114769920	729088
2200578563	114769920	729088
2300574907	116473856	737280
2400574710	118964224	741376
2500578175	121978880	745472
2600575571	124862464	757760
2700573314	127868928	761856
2800580850	130883584	765952
2900572985	133890048	774144
3000573897	136896512	778240
3100577022	139894784	786432
3200577364	142778368	794624
3300581008	145530880	798720
3400579582	148406272	802816
3500579504	151273472	811008
3600576797	153894912	815104
3700578779	156778496	819200
3800571411	159531008	827392
3900576929	162414592	835584
4000574552	165380096	839680
4100576065	168255488	847872
4200574114	171139072	851968
4300573566	171663360	851968
4400568464	171913216	851968
4500572930	172044288	851968
4600574534	172175360	856064
4700572997	172306432	856064
4800571755	172437504	856064
4900572845	172568576	856064
5000571464	172830720	856064
5100572649	172961792	856064
5200572826	173092864	856064
5300572205	173223936	860160
5400570831	173486080	860160
5500569866	173617152	860160
5600572658	173748224	860160
5700572042	173879296	860160
5800580586	174010368	860160
5900572323	174272512	860160
6000570200	174403584	860160
6100580355	174534656	864256
6200574411	174665728	864256
6300572024	174927872	864256
6400573230	175058944	864256
6500574825	175190016	864256
6600574671	175321088	864256
6700574818	175583232	864256
6800572543	175714304	864256
6900556155	175845376	864256
7000571407	175976448	864256
7100575227	176238592	864256
7200572971	176369664	864256
7300574595	176500736	868352
7400574487	176631808	872448
7500578762	177254400	872448
7600581158	179482624	929792
7700583074	179761152	946176
7800585850	179961856	958464
7900584071	179400704	978944
8000584459	179654656	1015808
8100582607	178769920	1048576
8200581358	179032064	1060864
8300585526	179052544	1069056
8400584707	179503104	1073152
8500582799	179138560	1093632
8600582276	179474432	1118208
8700585101	179273728	1134592
8800584346	179965952	1146880
8900584568	179806208	1159168
9000584516	179859456	1171456
